Climate change,Commodity,Eutrophication,Fisheries impact,Freshwater acidification,Freshwater ecotoxicity,Ionizing radiations,Land occupation,Land transformation,Marine acidification,Marine ecotoxicity,Photochemical ozone formation,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial,Source,Reference product
0.5365942495748843,Cu concentrate from Au mine,0.0068978389942347595,7.197063317729182e-19,0.01304304429723744,0.18625397192500395,2.1423133005751226e-10,0.1457633894612145,0.43790294285602793,0.16396618304602553,5.952136922216967e-07,0.05308498911122599,0.08906378704183049,0.02172558151963106,0.0012256961984501743,2.1093337073410656e-05,3.8015765302115457e-05,Ecoinvent,Cu concentrate
0.615876069007985,Cu concentrate from Cu mine,0.011055268493299138,6.86095450594936e-19,0.030580511304932348,8.26199148317159,1.2992237175798633e-09,0.5310157186493746,1.0598634120568975,0.1836937093385077,7.817670855595347e-06,0.1774380669244061,0.2572813919519928,0.2853464674320401,0.0006733846996375914,3.819405164215677e-05,7.486520938339559e-05,Ecoinvent,Cu concentrate
1493.0410351606233,Au-Ag ingot,19.192820042062166,2.0025394304162926e-15,36.29148169752274,518.2404083535404,5.960857427023273e-07,405.57782459773836,1218.438495660606,456.22598409616415,0.001656146046238852,147.70577076021098,247.81459943949866,60.450114649904044,3.410425655098075,0.05869093778523293,0.10577656809835428,Ecoinvent,Doré
0.24013253537503987,Pb concentrate,0.0030868679389488836,3.220774553645905e-19,0.005836922895148919,0.08335094606443846,9.587115781064897e-11,0.06523091227923565,0.1959669562857384,0.07337688631091593,2.663654469001595e-07,0.023756185864989506,0.03985714110966605,0.009722464900034639,0.000548514134949255,9.439528106985201e-06,1.70125232306603e-05,Ecoinvent,Pb concentrate
0.24268713954233506,Zn concentrate,0.0031197068804140675,3.255038189851814e-19,0.005899017941386446,0.08423766076925605,9.68910639484907e-11,0.06592485827702114,0.1980517224970097,0.07415749231670968,2.691991351306937e-07,0.024008911761177733,0.04028115408134378,0.009825895861815832,0.0005543493957082258,9.539948645958043e-06,1.7193507740167777e-05,Ecoinvent,Zn concentrate
0.010345035992259024,Fe concentrate,0.0001486061925990347,1.1228438342256784e-20,0.00019741506795205158,0.0014522517156531555,2.3394668306109613e-12,0.0032151384475582875,0.010407806172627314,0.002949120925093961,2.1679677205026815e-09,0.0013824327698914525,0.0015051821339290706,7.913234518034615e-05,1.2182559173244879e-05,2.813114479037417e-07,2.0652570095976012e-07,Ecoinvent,Fe concentrate
0.2534112735666008,Ni concentrate,0.001748242712805271,1.694847037000233e-19,0.004102390266250737,0.038015815523276326,1.2017384524009407e-11,0.029213925509208698,0.14115247955603757,0.07644768896855045,4.3589370712148806e-08,0.02871889227384243,0.030425389808399685,0.0015910694071226928,2.323227317577842e-05,1.383124251740363e-06,0.00030718601438047493,Ecoinvent,Ni concentrate
0.7605926975075193,Cu concentrate from Au mine,0.0066630363503872286,6.868683236787404e-19,0.06370856423972122,0.23294290815245972,2.491407712616297e-09,0.0948167807283942,0.32680787457872434,0.23439667530315905,7.101550155946101e-07,0.056539797402113526,0.13090842946140618,0.025921062596198093,0.0009195133450438376,2.1674412309288453e-05,9.996263484787959e-05,Regioinvent,Cu concentrate
0.6264428760648083,Cu concentrate from Cu mine,0.009350395853671992,6.749753639998293e-19,0.19623578255126875,8.245017282667224,1.296653857904313e-09,0.5367963345299617,1.0646857623547694,0.19039484958327318,7.892906637710845e-06,0.17967074852207665,0.3905572468471841,0.288092574261586,0.0006568857029663945,3.841304155127432e-05,0.0001450019247156312,Regioinvent,Cu concentrate
2116.3032106995397,Au-Ag ingot,18.53949591840573,1.911169653784961e-15,177.26522971784783,648.149554689887,6.932191650615973e-06,263.8219589760503,909.3231755838428,652.1945821258834,0.001975963336515645,157.31856701134566,364.244791983298,72.12378735474586,2.558490336265774,0.06030774460509272,0.27813999377831045,Regioinvent,Doré
