Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Voisey's Bay,1.2618639214426037,0.38487933680992403,1.1543617181570793e-19,0.19419750529748608,0.12436379159977068,0.09312960491949655,0.00022654710191789045,3.817223679659085e-11,0.09030248818792763,0.9123795275303974,0.4540497716515815,0.048544017104025665,1.2749221774831002e-07,1.4749153453675463e-07,0.09499921919391756,1.7097303635459842,1.7386990856963986,0.0046536681415780936,0.005383440937465165,0.002209832504323093,5.230178831650348e-05,2.957786010605007e-05
Raglan,0.667596242366602,0.2015017289320916,1.590278270190833e-19,0.07132039930987635,0.09904088791035937,0.053420022028712495,0.00019865565092074157,1.7839684942272578e-10,0.09290438268467595,0.17618718629030516,0.24854353092904377,0.026281836587726457,1.2477857502669427e-07,1.1295701850970181e-07,0.022619946649410055,0.7524969709280747,0.5777740116117112,0.004554542515031949,0.004122931137331283,0.000987675782105429,2.193424523172071e-05,2.4591267324276758e-05
Gibraltar (Mo),3.0113379489996803,0.864642728048551,2.1657652812874835e-18,0.05813550307981134,0.5832471812347421,0.26906563023596414,0.0011641760665965096,2.87067019341513e-10,0.5575279855568446,4.9049249055613995,1.0890231672305852,0.10682149654146622,7.180094512451454e-07,7.825273004329423e-07,0.017414411237743125,0.35032484282795506,0.422516596138478,0.026208247661157487,0.028562246096336365,0.0021168149452759936,0.00017154555052056528,0.00020986502339154377
Highland Valley (Mo),1.869487110677892,0.4660747240356529,6.989911768779321e-19,0.021444877110001405,0.20609415444168197,0.11359875983753293,0.00038121531067202924,1.0089432047295542e-10,0.43417968554505776,6.780647495320812,0.661994822047734,0.05838464431109038,2.3348836942352219e-07,2.548062045385182e-07,0.006643429257026269,0.15950768238903765,0.1591553560628856,0.008522650776658713,0.009300426344488667,0.0007185270460615538,0.00012961471418262635,7.119336485769138e-05
Kidd Creek (Zn),0.06409779976781249,0.016139046055964196,1.5295789359210308e-20,0.0026990536643603873,0.005666153984445056,0.0013572200077330335,8.016616348659318e-06,1.1289907931019754e-12,0.008288393479370644,0.1312199071703503,0.023159753914246375,0.0021798793002418535,5.245240075687722e-09,4.7629813439768555e-09,0.0008988873460578976,0.028077103076935107,0.021905050817523922,0.0001914622356739208,0.00017384881710728604,4.428668898783632e-06,3.616424308705712e-07,1.5055234151640302e-06
LaRonde (Zn),0.16601481644642088,0.04936198901038221,1.7215937555609779e-19,0.003867449453167469,0.02348069308130682,0.012954412037089223,3.272634130035677e-05,1.0954721218011606e-10,0.06507917287374504,0.21629880188883083,0.05780813307333595,0.005855147683670881,2.8301363216851912e-08,3.919637050063019e-08,0.0015551452098873345,0.01448519620990676,0.03137835475816276,0.0010331237892385976,0.0014306674957836277,0.0006109672990284765,1.4902577566159626e-05,1.028741890723218e-05
Snow Lake (Zn),0.252098740076055,0.07665811158336971,8.67945023330098e-20,0.004432944760971437,0.03328527848086512,0.01206084380836767,1.857211765008065e-05,6.533255002395151e-11,0.038367397175759585,0.04093081420862141,0.08717815113465563,0.009463398416604233,2.7660071789905227e-08,6.569185590862585e-08,0.0021657537038290444,0.006399474008120201,0.03800250665437721,0.0010096859514796528,0.0023977526754913312,0.0016569461641806288,4.392957041242894e-05,2.9043294872066403e-05
Key Lake + McArthur River,11.162543561909635,3.32821942024904,2.9539126300387453e-19,0.19621101058207505,0.40362386793570054,0.5838890765490072,0.00020385841039368321,1.9821566739120036e-10,0.7594804383138155,14.540913127072972,4.04525407644369,0.437379677036377,2.11748305743173e-07,2.5372608399453713e-07,0.08288498296803169,0.8920996993899682,1.6396828689138183,0.0077301056875218,0.009261001943889364,0.0014264000244115654,0.0017633467713724996,0.001581687419319863
Cigar Lake + McClean Lake,6.11835814765585,1.833847413749068,1.626847468364881e-19,0.1869779904174925,0.22095512633839626,0.3091691230838609,0.00011201878802131756,1.089943858802507e-10,0.2896197806071141,5.411796024456183,2.199019206164985,0.23870908612837888,1.1704010671537414e-07,1.410910553127211e-07,0.05242641209295111,0.7048765721278023,1.4050905548598354,0.004272558329101001,0.005149823451135372,0.0007955833491342896,0.000596728395527703,0.0008826882530573542
Market for Doré,7795.538343961926,2396.772505557058,8.520575529790483e-15,369.5940367305933,1380.8027205843018,583.856442643931,23.054949908949304,3.644026532569151e-05,915.7411754440486,5952.798942574618,2765.086678167374,290.51798079123904,0.0020472422266451197,0.002101606817960212,107.5499878152678,2857.9549506283392,2870.265579042328,74.72824555393424,76.70864726109313,11.094476971554913,0.46053863761331115,0.6472033235164597
Market for Cu concentrate,0.5458781050018948,0.1490660393606855,2.6784148931984567e-19,0.014505320426099654,0.08279991218285619,0.03980100144478596,0.001191489671212992,4.586444372902574e-11,0.109370658013849,1.2540719017304773,0.19552904054606537,0.01872918879497773,9.696173063258381e-08,1.0686090046171863e-07,0.004502076562530921,0.11330254016525154,0.11088852627020662,0.0035392589980588396,0.0039004228145809155,0.00046000706935301727,4.282357497284103e-05,3.0327083406643398e-05
Market for Ni concentrate,0.6045874012555853,0.18252416775757654,1.5888719686954092e-19,0.05571603766639943,0.12966566587428385,0.06359584103341714,0.0002303592123679503,9.852026218328483e-11,0.07242390150200585,0.4700386995241931,0.22064058458810443,0.023376927841382754,1.703586612865352e-07,1.514583617942403e-07,0.021712054708920164,0.5227192947323683,0.4698044590889996,0.0062182468621456485,0.005528230161549429,0.00082264743794564,2.0474901837420206e-05,3.2012135188986685e-05
Market for U concentrate,8.28015210043854,2.474292620407073,2.1955897346446125e-19,0.19093500467114422,0.29924173724278147,0.42690625638106633,0.0001513786299103276,1.472320815845147e-10,0.49098864454174795,9.324274982871597,2.990262795394894,0.3238536330488698,1.5762933876142984e-07,1.8936321514645307e-07,0.06548008701723394,0.7851150770442159,1.5056301608995601,0.005754364481905354,0.00691175726186702,0.001065933379220468,0.0010967077222119714,0.0011822593535948482
Market for Mo concentrate,2.300257639781181,0.6164370517671961,1.252341085487959e-18,0.035286650336157036,0.3483775451018268,0.17224963066230112,0.0006765922616513741,1.7112916140372443e-10,0.4807136203435476,6.073019156028086,0.8230939954449153,0.07665775649275064,4.162770452936176e-07,4.5389236191395716e-07,0.010706851072799218,0.23149467614127683,0.2585100676637453,0.015194655273007847,0.016567070995019896,0.0012460400958996646,0.000145433390273092,0.00012350813462749224
Market for Zn concentrate,0.15425517828519597,0.045200946540690186,6.082196411540161e-20,0.0035522927450150838,0.01918156225844175,0.0070416328528585806,1.4885387700946827e-05,3.892311855807606e-11,0.026565429026119042,0.10067451526998514,0.05385491297478154,0.005646753767726628,1.70321276906632e-08,3.4115451168886074e-08,0.0015035190372997803,0.017506306190065823,0.029695773310536494,0.0006217296390475176,0.0012452139362271763,0.0007693773158117173,2.0391194551258596e-05,1.412659447167179e-05
