Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
LaRonde (Doré),0.04465435714463302,0.013271272102631064,4.4452642824619354e-05,0.0016453079618370609,0.000989650072853943,0.0003018372938678772,2.1874829049981234e-05,1.2631520318388868e-07,0.004872152351360565,8.208261237656724e-05,0.0365301177603623
Macassa,0.15033413140909135,0.051349810304911515,0.00022725976621220311,0.00382061018220848,0.006025242106671843,0.0022333143554047483,0.0003033020628629161,3.9703200188255376e-07,0.02909151906929072,0.00017479003627542561,0.03826065835509107
Musselwhite,0.07172380599617237,0.021960339251533317,0.00020522494754123498,0.0017688430902177215,0.00522790134787319,0.0015104347807661479,0.0006785958660854472,2.905908310268969e-07,0.018834069868495115,0.0003383618111450783,0.0316918491077689
Red Lake,0.08249584806354802,0.02309305637467808,0.010176742817949348,0.005936824264481137,0.27618340738001945,0.08876272473213165,0.0006395716520631467,2.508563194397127e-07,0.045831672090920185,9.580502873605666e-05,0.05895264476311901
Seabee Gold Operation,0.33062370764544063,0.09719209921561865,0.00017491684719786276,0.0019362545951189945,0.004623147648866962,0.0007739786305654143,5.711439344550679e-06,5.096603012428711e-07,0.0139660370651391,0.000184174749064902,0.021036572484395055
Snow Lake (Doré),0.06811517271168559,0.020710594035707165,0.00010855398390661234,0.0012278743035045061,0.0024711962506527825,0.000525902608997638,1.9476347072320212e-05,1.3926153375234202e-07,0.010186322583494728,1.3493839842342246e-05,0.10773539682274347
Timmins Operation,0.21320550017655016,0.06415442919518889,0.05391650169519701,0.007825536868381935,0.847696884099686,0.0025694408014954114,0.0013268003198520077,5.663675111242202e-07,0.016909875657821587,0.00019528702804624498,0.07720664294917778
Westwood-Doyon,0.06898579969275083,0.02121848827178757,3.812517238011035e-05,0.0011370503239283302,0.0011658820060567205,0.0005286419255206823,2.18219423290936e-05,2.2025415849958691e-07,0.009000770095632065,1.915145491054494e-05,0.028559994410873202
Nunavik Nickel,5.956927174173069e-06,1.8216819907503356e-06,8.738338385113812e-09,1.2931328473191747e-06,2.661928304960419e-07,5.194886402074931e-08,1.0202160011122984e-09,1.1462677843217749e-11,1.4725855534955197e-06,2.1879802861389862e-08,1.5864481694600747e-06
Thompson,5.878935036427617e-06,1.5137896784208761e-06,3.963219480518428e-07,1.1383576827086684e-06,1.7888079563201257e-06,5.180363935111803e-08,5.332324333388846e-10,1.1238556464647511e-11,9.9737514223361e-07,8.557047616976329e-09,1.8662626970689577e-06
Voisey's Bay,1.696505548363474e-05,5.174833428090775e-06,4.4871183060462615e-08,7.387174377294798e-07,9.834668560810772e-07,3.1211374558268073e-07,5.140954915790197e-10,4.344926664305816e-11,5.2686513080841655e-06,1.7776150010480748e-07,6.377460902240971e-06
Raglan,8.953932272921398e-06,2.7028674487497593e-06,1.5329344774858125e-08,7.234354642060962e-07,1.7930350476219548e-07,4.370059522471129e-08,1.834252961442989e-09,2.5144451815007255e-11,2.757019445860705e-06,7.83487065367269e-08,2.6677311511605914e-06
Gibraltar (Mo),3.916790079496689e-05,1.120003308401555e-05,3.147359899145964e-08,3.5394822568958616e-06,9.406977631914492e-07,2.4827773823251483e-07,4.073829662965524e-09,1.1780226778222908e-10,7.234339754406159e-06,3.516674649771408e-08,2.0849792727572255e-05
Highland Valley (Mo),2.474769476612271e-05,6.138321540110676e-06,1.1870533848515314e-08,1.1446556459387543e-06,3.3572400162200705e-07,8.93901574701415e-08,1.4373299741829528e-09,6.671870370755733e-11,2.215711575110596e-05,1.5673001895091318e-08,1.5798852588422307e-05
Kidd Creek (Zn),8.536717882217956e-07,2.1425949998490754e-07,6.630771375914716e-10,2.4778890808185265e-08,1.4033174486224233e-08,1.611256665679911e-09,1.5259122854547875e-11,2.725203233757244e-13,1.8284447133986263e-07,3.140286528332561e-09,4.3430832889799124e-08
LaRonde (Zn),2.223801154090545e-06,6.609135608928808e-07,2.2137557043727008e-09,8.193685802867968e-08,4.928488767474875e-08,1.5031593199217634e-08,1.0893734460099783e-09,6.2905372709362895e-12,2.426347361948908e-07,4.0877402435795406e-09,1.8192114706298704e-06
Snow Lake (Zn),3.3921571196379593e-06,1.0313941259777597e-06,5.406022647788462e-09,6.114852867859164e-08,1.230663533386384e-07,2.6190116129358692e-08,9.699282376602125e-10,6.935268365202183e-12,5.072820873098747e-07,6.719974875685815e-10,5.365256795618204e-06
Key Lake + McArthur River,0.00015043646486796188,4.485514817790425e-05,1.8428721289568415e-07,6.311991185470904e-07,2.664642905054613e-06,3.6296403459984717e-07,2.435421890049437e-09,2.705296058611193e-10,7.20854250344925e-06,1.0229111715373542e-07,0.00021537939368756792
Cigar Lake + McClean Lake,8.245694389945027e-05,2.4714711120900142e-05,2.186500587542899e-07,2.9099094835383386e-07,3.937796021790823e-06,2.0201851559110834e-07,1.3408363862178156e-09,1.4894909271754134e-10,6.630832846481492e-06,5.855009739846305e-08,7.288583397857323e-05
Market for Doré,0.10134046740976761,0.031082038253827857,0.003464069282818673,0.004866073636243069,0.0826699842335471,0.021732600919776433,0.000335855709473353,3.1247740383376535e-07,0.022773958663832847,0.00029547890982497556,0.054169664177953436
Market for Cu concentrate,8.024528319354861e-06,2.213204861143065e-06,2.0077146469197426e-08,5.0195335398939e-07,5.133199076806845e-07,1.436304926281823e-07,7.372376425819056e-10,2.362150097032887e-11,3.564219490792735e-06,1.2864861583978559e-08,5.502416410501948e-06
Market for Ni concentrate,5.757746980055946e-06,1.7382588147766664e-06,3.16942989037446e-08,7.664742970340366e-07,3.242244210619514e-07,5.973733492781792e-08,7.887761535751359e-10,1.3393791773324968e-11,1.5886853892567623e-06,3.870680810474677e-08,1.7691678612024664e-06
Market for U concentrate,0.00011159102706135605,3.3346327824776516e-05,2.0392313118486813e-07,4.3679445998586346e-07,3.392159083696068e-06,2.709951733006954e-07,1.8099445039087177e-09,2.0105503187858713e-10,6.878422899541475e-06,7.729625065330637e-08,0.000133954505204116
Market for Mo concentrate,3.0187809685119727e-05,8.047884581760462e-06,1.926591550456712e-08,2.0481192960848876e-06,5.639542210330581e-07,1.4933151314978858e-07,2.4319663380592755e-09,8.599030485405186e-11,1.6527403098588166e-05,2.3027141678373315e-08,1.7704352048763953e-05
Market for Zn concentrate,2.036758931308309e-06,5.96603868084769e-07,2.7942625377143283e-09,4.503805574739799e-08,6.300853517205169e-08,1.3189196326999186e-08,5.174806564785469e-10,3.6364951535608265e-12,3.220568083980339e-07,2.1387045285385437e-09,2.4494846472035165e-06
