Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Cu concentrate from Au mine,0.5854107295613334,0.17518183958015623,6.868678818155697e-19,0.06370855717931098,0.19099492845629798,0.04194794814310656,0.0001931745084572068,2.491407691887322e-09,0.09481677814562636,0.32680787051752896,0.21144394050734677,0.02295269646610704,1.769269282807589e-07,5.332280082979644e-07,0.0064698595542708424,0.056539771543087765,0.13090838183846026,0.00645823804471216,0.019462821667356855,0.0009195133130333635,2.167441135136437e-05,9.996261955758894e-05
Cu concentrate from Cu mine,0.48043923136851213,0.14600310983340092,6.749735228879871e-19,0.19623575313264902,8.224464081954702,0.020553069240362456,0.00017383967387413712,1.2966537715328392e-09,0.5367963237683402,1.0646857454329823,0.1717509294450617,0.018643760429774076,7.774439649579231e-07,7.115462343517324e-06,0.009176546647805343,0.17967064077524028,0.3905570484165991,0.028378195585816,0.25971436665846537,0.0006568855695883056,3.841303755988499e-05,0.00014500186100556046
Au-Ag ingot,1628.8699727892151,487.43288073961236,1.911168424327453e-15,177.2652100726831,531.4318369478563,116.71762994756234,0.5374963948175964,6.932191592938844e-06,263.8219517896549,909.3231642838125,588.3299848168941,63.86449065889675,0.0004922884858241984,0.0014836746308345265,18.001993158314814,157.31849506017016,364.2446594753303,17.96965707266323,54.15412225716816,2.55849024719856,0.06030774193972653,0.2781399512340008
Pb concentrate,0.26197851039981135,0.07839603047671778,3.073818446198703e-19,0.02851036356985452,0.0854725821993175,0.01877222348454829,8.64479724231748e-05,1.1149356165100913e-09,0.04243167650951657,0.14625054425179318,0.09462376716072374,0.0102716143149261,7.917697917948554e-08,2.3862608996601324e-07,0.002895341870036218,0.025302243515830537,0.05858311240851495,0.002890141055243327,0.008709851999357055,0.00041149352378212393,9.699566000924296e-06,4.473450322698919e-05
Zn concentrate,0.26476551676079507,0.07923003107676996,3.106518721683461e-19,0.02881366575575283,0.08638186707710963,0.018971928172356406,8.736763079765125e-05,1.1267966277926007e-09,0.04288307758197958,0.14780640931047787,0.0956304033106565,0.01038088684335942,8.001928787839191e-08,2.4116467748652386e-07,0.0029261432980455682,0.025571416802835246,0.05920633804587311,0.0029208872516409854,0.008802510440830105,0.00041587111949325324,9.80275290132549e-06,4.52104023747414e-05
Fe concentrate,0.009341473621759152,0.002960873835806019,1.076768526365916e-20,0.0011537082161370124,0.0015427259125442964,0.000443719342798266,4.3075655601929864e-05,3.0652065317584424e-11,0.0027865432643407553,0.007613744374966577,0.003272074564747063,0.0003551867405892435,2.0936490025807185e-09,1.95660541466674e-09,0.00013056877967118863,0.0014034675257734689,0.002003977487790588,7.642158191471633e-05,7.141609614561718e-05,8.378054086063981e-06,2.895136183122184e-07,9.447928918665277e-07
Ni concentrate,0.178988193780551,0.05485547893863574,1.6232119564216587e-19,0.01603218153641533,0.02984001580745948,0.00532542662595046,4.791794720010001e-05,2.1028769204474376e-11,0.035624542025266104,0.16735244135306102,0.06386656660746491,0.006932838752236714,3.1350840636863145e-08,3.4290060502019974e-08,0.0015556444026208845,0.027457232025004556,0.03181612715929511,0.0011443549802382157,0.0012515871880380517,2.0711175376019895e-05,1.1291340962521413e-06,0.0008171754976821459
U yellowcake,32.09619800763375,9.70376031283339,5.0463161048406524e-17,9.632884532397247,1980.7983803026464,1.9888496724349352,0.00723480395328612,7.727339025105435e-09,5.321873871384665,6.103890533276852,11.66053182733712,1.265760841738867,0.007362280048763668,5.674668549755896e-05,1.1794618167845687,8.484257161670747,28.32913206764062,268.7361672888891,2.0712539622997954,0.007281630382503264,0.00047295804187493206,0.0030123417411197706
