Climate change,Commodity,Freshwater acidification,Freshwater ecotoxicity,Land occupation,Land transformation,Marine acidification,Other,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial,Source,Reference product
0.5365942495748843,Cu concentrate from Au mine,0.01304304429723744,0.18625397192500395,0.1457633894612145,0.43790294285602793,0.16396618304602553,0.0599834235333843,0.08906378704183049,0.02172558151963106,0.0012256961984501743,2.1093337073410656e-05,3.8015765302115457e-05,Ecoinvent,Cu concentrate
0.615876069007985,Cu concentrate from Cu mine,0.030580511304932348,8.26199148317159,0.5310157186493746,1.0598634120568975,0.1836937093385077,0.18850115438778456,0.2572813919519928,0.2853464674320401,0.0006733846996375914,3.819405164215677e-05,7.486520938339559e-05,Ecoinvent,Cu concentrate
1493.0410351606233,Au-Ag ingot,36.29148169752274,518.2404083535404,405.57782459773836,1218.438495660606,456.22598409616415,166.90024754440515,247.81459943949866,60.450114649904044,3.410425655098075,0.05869093778523293,0.10577656809835428,Ecoinvent,Doré
0.24013253537503987,Pb concentrate,0.005836922895148919,0.08335094606443846,0.06523091227923565,0.1959669562857384,0.07337688631091593,0.02684332026525645,0.03985714110966605,0.009722464900034639,0.000548514134949255,9.439528106985201e-06,1.70125232306603e-05,Ecoinvent,Pb concentrate
0.24268713954233506,Zn concentrate,0.005899017941386446,0.08423766076925605,0.06592485827702114,0.1980517224970097,0.07415749231670968,0.027128887937617994,0.04028115408134378,0.009825895861815832,0.0005543493957082258,9.539948645958043e-06,1.7193507740167777e-05,Ecoinvent,Zn concentrate
0.010345035992259024,Fe concentrate,0.00019741506795205158,0.0014522517156531555,0.0032151384475582875,0.010407806172627314,0.002949120925093961,0.0015310411327976745,0.0015051821339290706,7.913234518034615e-05,1.2182559173244879e-05,2.813114479037417e-07,2.0652570095976012e-07,Ecoinvent,Fe concentrate
0.2534112735666008,Ni concentrate,0.004102390266250737,0.038015815523276326,0.029213925509208698,0.14115247955603757,0.07644768896855045,0.030467178588035798,0.030425389808399685,0.0015910694071226928,2.323227317577842e-05,1.383124251740363e-06,0.00030718601438047493,Ecoinvent,Ni concentrate
53.93245005331186,U yellowcake,3.62035054822438,1988.8578102748927,3.7190760913459493,6.040875450910173,16.619941750677906,10.28715052497895,23.60448616987275,270.919085605021,0.008011311656215,0.0004197398876793837,0.004266999678917832,Ecoinvent,U concentrate
0.7605926975075193,Cu concentrate from Au mine,0.06370856423972122,0.23294290815245972,0.0948167807283942,0.32680787457872434,0.23439667530315905,0.06320354639892406,0.13090842946140618,0.025921062596198093,0.0009195133450438376,2.1674412309288453e-05,9.996263484787959e-05,Regioinvent,Cu concentrate
0.6264428760648083,Cu concentrate from Cu mine,0.19623578255126875,8.245017282667224,0.5367963345299617,1.0646857623547694,0.19039484958327318,0.18902903857904022,0.3905572468471841,0.288092574261586,0.0006568857029663945,3.841304155127432e-05,0.0001450019247156312,Regioinvent,Cu concentrate
