Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Cu concentrate from Au mine,0.41149345205076077,0.1251007975241235,7.197063317729182e-19,0.01304304429723744,0.15119469033404775,0.035059281590956205,0.0001912805021672397,2.1423133005751226e-10,0.1457633894612145,0.43790294285602793,0.14791023561133754,0.016055947434687984,9.294379439299315e-08,5.022698978287036e-07,0.00670655849206752,0.05308498911122599,0.08906378704183049,0.0033927308557070855,0.018332850663923976,0.0012256961984501743,2.1093337073410656e-05,3.8015765302115457e-05
Cu concentrate from Cu mine,0.4690857221670826,0.14679034684090242,6.86095450594936e-19,0.030580511304932348,8.215391739099854,0.046599744071736754,0.00013191804672975938,1.2992237175798633e-09,0.5310157186493746,1.0598634120568975,0.1657061350445947,0.01798757429391302,7.380183227738162e-07,7.079652532821531e-06,0.010923350446569379,0.1774380669244061,0.2572813919519928,0.026939158849839797,0.25840730858220035,0.0006733846996375914,3.819405164215677e-05,7.486520938339559e-05
Au-Ag ingot,1144.9556345193844,348.08540064123895,2.0025394304162926e-15,36.29148169752274,420.69007669874634,97.55033165479406,0.5322264361887591,5.960857427023273e-07,405.57782459773836,1218.438495660606,411.5512817709288,44.67470232523535,0.00025861048776728256,0.0013975355584715694,18.66059360587341,147.70577076021098,247.81459943949866,9.440068454141764,51.01004619576228,3.410425655098075,0.05869093778523293,0.10577656809835428
Pb concentrate,0.18414838772320372,0.05598414765183615,3.220774553645905e-19,0.005836922895148919,0.06766148558711875,0.015689460477319714,8.560038137497067e-05,9.587115781064897e-11,0.06523091227923565,0.1959669562857384,0.06619165208979341,0.007185234221122521,4.159349260140678e-08,2.2477195429875274e-07,0.003001267557573913,0.023756185864989506,0.03985714110966605,0.0015182888396912289,0.00820417606034341,0.000548514134949255,9.439528106985201e-06,1.70125232306603e-05
Zn concentrate,0.18610741521916843,0.05657972432316663,3.255038189851814e-19,0.005899017941386446,0.06838129081760852,0.015856369951647534,8.65110227439029e-05,9.68910639484907e-11,0.06592485827702114,0.1980517224970097,0.06689581935216231,0.007261672964547375,4.203597746447089e-08,2.271631576662228e-07,0.0030331958576701647,0.024008911761177733,0.04028115408134378,0.0015344408814487068,0.008291454980367124,0.0005543493957082258,9.539948645958043e-06,1.7193507740167777e-05
Ni concentrate,0.19352752202850224,0.05988375153809857,1.694847037000233e-19,0.004102390266250737,0.027153839490939212,0.010861976032337115,2.527149283550022e-05,1.2017384524009407e-11,0.029213925509208698,0.14115247955603757,0.06896175849641303,0.007485930472137421,1.7770818392026352e-08,2.5818552320122455e-08,0.001722971219969771,0.02871889227384243,0.030425389808399685,0.0006486922656599423,0.0009423771414627507,2.323227317577842e-05,1.383124251740363e-06,0.00030718601438047493
U yellowcake,41.345038394616445,12.587411658695418,4.584420363895828e-17,3.62035054822438,1985.1146532557245,3.743157019168202,0.005995229775109599,3.514590200021848e-09,3.7190760913459493,6.040875450910173,14.992489256394464,1.6274524942834414,0.007364346397496414,5.7739443069170434e-05,1.2136876128732004,9.060045592975484,23.60448616987275,268.8115959924072,2.1074896126137723,0.008011311656215,0.0004197398876793837,0.004266999678917832
