Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
0.6350073827549029,Hemlo,0.010774444441943995,0.018541121875272272,4.179900455082366e-05,1.5621892825435892e-05,0.16375707351699823,0.00034427517285755244,0.003444386694028068,MetalliCan,Doré
0.14372906552947934,Meliadine,0.001177415298206865,0.0026109169143083166,6.297044842598228e-06,6.226198938767887e-07,0.03231225296695587,0.0008895299015652446,0.0010927822454454307,MetalliCan,Doré
0.6232333712984643,Rainy River,0.020289951215440256,0.015182577212471302,0.002780395627289537,1.643995714420761e-06,0.09408394465747966,0.00014444871777138436,0.0067977791165795606,MetalliCan,Doré
0.20595084705804392,Meadowbank complex,0.0019165641175621943,0.004564755929895066,1.0379491227789602e-05,8.255590111383791e-07,0.04151710996711662,0.0009323295568409682,0.0018630097125772688,MetalliCan,Doré
0.21333163364216418,Porcupine complex,0.007080818934877709,0.009551244854685038,0.0006713286411039705,4.891391953415703e-07,0.01126428926187617,3.184584727409349e-05,0.0006400802971014031,MetalliCan,Doré
0.11015246448944031,Canadian Malartic,0.001357213091475881,0.002559870452745092,1.747836604540477e-05,3.746052903867917e-07,0.09535225336834105,0.00021191191894862307,0.0011335489677058983,MetalliCan,Doré
0.20753478085348187,Detour Lake,0.0022667806529620316,0.0047190333030893,0.00095090139914869,7.565965743105154e-07,0.048757853117874284,0.000401148058658706,0.0021989023941093064,MetalliCan,Doré
0.08747750587236393,Kiena,0.0011410730059631875,0.0022123417356560374,1.9110458454231353e-05,3.116295068677208e-07,0.014388414225530659,2.0062396505215585e-05,0.0011846162845808254,MetalliCan,Doré
0.09313610633771117,Magino,0.0017624687531147625,0.00468680842097966,1.0005103924664425e-05,2.324175171139246e-07,0.042755252839009134,0.0009012369663127062,0.001987218039843465,MetalliCan,Doré
0.02238444143055253,Elk,0.00039216108325177714,0.0008207948225750259,2.404849724519153e-06,5.586440742778956e-08,0.004698964381845502,6.296744549384581e-06,0.00047765228543947887,MetalliCan,Doré
1.2064944935809052,Brucejack,0.002391978312999714,0.003759720483776868,3.7436397350776724e-05,1.7677735989188594e-06,0.03616167113482344,0.0005392441453159245,0.0009883999764059867,MetalliCan,Doré
0.1434907615996066,Eagle River,0.001369830648753738,0.0027324490072905038,0.00038461289311199587,4.4733558822056284e-07,0.022401648473056084,0.00029448910659362406,0.001353969283922985,MetalliCan,Doré
0.2217627418623387,Éléonore,0.010885627424514578,0.01047023996912056,2.616504438209025e-05,3.3497490236207433e-07,1.4879184151824691,9.787119517060805e-05,0.0005812003716045204,MetalliCan,Doré
0.11018680170150212,Goldex (Au),0.0016339936185239077,0.004077406413932337,2.8447897198810614e-05,3.2560466439299526e-07,0.021063105848385395,2.5597690612506387e-05,0.0017339740686095517,MetalliCan,Doré
0.26876321523312424,Island,0.000681153085579439,0.0017969484457629212,0.0006090867822447825,2.9683155698422235e-07,0.059418895852482355,0.0005873769937219413,0.00044338680285308885,MetalliCan,Doré
0.05439237277049515,LaRonde (Doré),0.0006699454753194975,0.00529497484450746,2.2047673796313304e-05,2.0061855548079375e-07,0.018818521911829783,2.866351763057093e-05,0.00043197938606771,MetalliCan,Doré
0.021690449130680016,Lamaque,0.00011598075488580757,0.00014525530220960698,5.119079337516963e-06,9.158342017086966e-08,0.0013848741111423205,1.7384559951697785e-06,4.561242006987777e-05,MetalliCan,Doré
0.40488012167525816,Macassa,0.006849222494139732,0.015266848949509266,0.0007231293072864295,1.115708984307157e-06,0.11499134430223797,0.00021853365848820082,0.00797221433758539,MetalliCan,Doré
0.23593481555335294,Musselwhite,0.004191150081310403,0.015276146379548593,0.000682591436240751,4.1198187719805e-07,0.021901324056837028,0.0002996652753332898,0.0004823232635614124,MetalliCan,Doré
0.1671098290286239,Red Lake,0.001646547576774146,0.015985278141074675,0.0018868562549902766,4.878082325111532e-07,0.03602508544313454,1.7601046859916507e-05,0.0006477804106292714,MetalliCan,Doré
0.5080797123526081,Seabee Gold Operation,0.0012861816053710586,0.005263821488869138,5.0213893204933595e-06,9.166023887958495e-07,0.017573842823328883,9.807972720179537e-05,0.00040308189917744573,MetalliCan,Doré
0.008977497357313815,Snow Lake (Doré),0.0001137794191059674,0.00115010002302078,1.0455891416118416e-06,3.377064170313427e-08,0.054782846613715803,9.939592234195171e-07,6.270906412673151e-05,MetalliCan,Doré
0.20871246928749732,Timmins Operation,0.05049290380208485,0.8926504875119126,0.001325645972308033,5.497333387443838e-07,0.016159584640529273,0.00010347247383559243,0.0012541313559468433,MetalliCan,Doré
0.16847027920730656,Westwood-Doyon,0.0020862301709471814,0.0037052442572034954,3.336915312950292e-05,4.7444853589366645e-07,0.08557857440489239,3.339268803965588e-05,0.0019632200336001373,MetalliCan,Doré
0.2217627418623387,Eleonore,0.010885627424514578,0.01047023996912056,2.616504438209025e-05,3.3497490236207433e-07,1.4879184151824691,9.787119517060805e-05,0.0005812003716045204,MetalliCan,Doré
5.7979859371393e-06,Nunavik Nickel,1.37240664191243e-08,1.6714893579458055e-08,6.052477137578475e-11,1.263740624027336e-11,9.616025180600694e-08,2.3515421411830867e-10,7.966232790570702e-09,MetalliCan,Ni concentrate
3.905969072734165e-06,Thompson,2.3286267485576705e-08,3.734885036023423e-08,1.1947613997344097e-10,1.479599472688188e-11,2.2010101724059828e-07,4.0234045833810565e-10,1.9503104570755787e-08,MetalliCan,Ni concentrate
1.741502187713681e-05,Voisey's Bay,1.136260775894018e-07,2.6890319579522696e-07,2.76497598645465e-10,7.009706404041013e-11,5.903787445868807e-05,1.7656296162041376e-07,3.186649587416714e-08,MetalliCan,Ni concentrate
8.576573166131538e-06,Raglan,7.589372475129006e-08,2.620091739669418e-07,1.0998640677576363e-10,3.544362447409601e-11,8.527638647030137e-06,7.708797256079146e-08,9.772059244854192e-09,MetalliCan,Ni concentrate
8.751222218889373e-05,Gibraltar (Mo),1.1665632233307864e-06,2.350946218094014e-06,8.474854884844911e-09,2.775171757270823e-10,2.5763537825959024e-05,4.636160914406188e-08,1.2882171132395265e-06,MetalliCan,Mo concentrate
3.694317984626888e-05,Highland Valley (Mo),3.680841992398737e-07,7.49804197254591e-07,2.1360821089080265e-09,1.2128809709573564e-10,1.2129202933574515e-05,1.923741483979004e-08,4.0035836201264637e-07,MetalliCan,Mo concentrate
4.089404746460782e-08,Kidd Creek (Zn),3.0200778024367615e-09,1.734309106138461e-07,4.390900146578205e-12,1.0200015088769883e-13,1.0217813595688665e-07,2.8793251246924343e-09,8.721224735033434e-10,MetalliCan,Zn concentrate
2.708757437786452e-06,LaRonde (Zn),3.336349808453838e-08,2.636914333592152e-07,1.0979811720838435e-09,9.990867707555682e-12,9.371683782485085e-07,1.4274522499603646e-09,2.1512711508364743e-08,MetalliCan,Zn concentrate
4.4708222819691604e-07,Snow Lake (Zn),5.666251172534854e-09,5.727534497261651e-08,5.2070672433209287e-11,1.681788722506026e-12,2.7282030791312065e-06,4.9499486059283166e-11,3.122931373953643e-09,MetalliCan,Zn concentrate
