Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Eleonore,0.14726686426064498,0.04224956607381265,0.00016139605527167722,0.003817280686698417,0.007158392216685658,0.0018285470550246773,1.997925573809646e-05,2.40354888338688e-07,0.852793526396935,8.751432321343758e-05,0.0002411026027716646
Nunavik Nickel,5.752225631882055e-06,1.7094365452498747e-06,2.493834530572761e-09,4.4859771397156314e-08,7.993289621618022e-08,4.499087936852292e-08,7.575623805712199e-10,1.6984268471103206e-11,2.731289715871141e-06,2.094667611928222e-08,4.024555037370246e-08
Thompson,4.549947535708246e-06,1.3622243138464551e-06,5.26831792516903e-07,1.0712789295286599e-06,1.0321567218432241e-06,7.485299689910615e-07,4.013542243565121e-10,1.6838055167558586e-11,3.0702555396699648e-06,7.455685452286721e-09,3.464235479715977e-08
Voisey's Bay,1.5843223846352503e-05,4.6547619426952736e-06,3.0129650717394714e-08,1.370956138606732e-07,4.5937195718240364e-07,1.2364201094447443e-07,3.668111860880926e-10,7.6957345289791e-11,5.803082036504711e-05,1.7727526032513063e-07,4.781655856122966e-08
Raglan,7.120777918879343e-06,2.1269729677735427e-06,1.8809324215363537e-08,7.108230995984472e-08,2.2175705446842794e-07,6.619644460604878e-08,1.6161554111659708e-09,3.577191800529995e-11,6.037956682621424e-06,7.721387680798465e-08,1.3166613971651562e-08
Gibraltar (Mo),7.341067580166252e-05,2.3476150929481736e-05,1.1436333478175234e-07,1.436497318362492e-06,3.778465962039987e-06,2.2666517813555744e-06,1.0978848629200132e-08,3.241901211208485e-10,2.0382708207267647e-05,4.921119714812699e-08,1.461886815826739e-06
Highland Valley (Mo),3.466973327078964e-05,1.072670414655914e-05,3.76894602467033e-08,4.810289238047406e-07,1.2332109561541708e-06,7.349416209399501e-07,3.6198726416155334e-09,1.4288050680508005e-10,1.3871429142197543e-05,2.0450092116160498e-08,4.7036020455177636e-07
Kidd Creek (Zn),7.558289579231406e-07,2.163155294259728e-07,1.6082063374809277e-09,3.796573578893171e-09,1.082490697637325e-07,4.868990734736488e-08,2.381000595659094e-11,4.84237176690977e-13,1.4285944069166765e-07,2.907651827510423e-09,2.3377711406451496e-09
LaRonde (Zn),1.8631590195713982e-06,5.529481123773193e-07,2.4374932059622862e-09,2.293248062453466e-08,7.261718763602715e-08,7.802412088982436e-08,1.0769681879812633e-09,9.135715129099187e-12,6.573333587626629e-07,1.3157853288942665e-09,1.164192395325589e-08
Snow Lake (Zn),3.171870243098892e-06,9.533368705200748e-07,4.06330119671513e-09,4.462457581117874e-08,1.0803925036725635e-07,5.2183526219321315e-08,9.578356942888844e-10,8.496849210237073e-12,7.627836046661463e-07,5.429011112932701e-10,5.1743191675763024e-08
Key Lake + McArthur River,0.0001426423308472445,4.208056907926727e-05,2.087551646239688e-07,9.384653570794841e-07,2.6866367030793163e-06,7.763434311705797e-07,2.8212181126670395e-09,5.332411278723125e-10,9.59937374898007e-05,7.900460586628347e-08,2.4084489096048373e-07
Cigar Lake + McClean Lake,7.801820644910096e-05,2.2812078253220775e-05,1.3627489496145435e-07,4.484192152186068e-07,2.6798204761084714e-06,1.3676781082382668e-06,1.4088980560662191e-09,2.904581095920459e-10,0.00012442779548284646,5.263864227395951e-08,1.243989948123487e-07
