technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,site_id,activity_name,mining_processing_type,archetypes,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-e7e6a960-2023.0-3.0,2023.0,Energy,Light Fuel & Gasoline,GJ,42833.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,42833000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Hybrid free-miling-refactory,Au,29.039084533163262,1.0,mining,1475012.063520246,Doré,concentrate_economic
TECH-e7e6a960-2023.0-4.0,2023.0,Energy,Natural gas,GJ,162805.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,162805000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Hybrid free-miling-refactory,Au,29.039084533163262,1.0,mining,5606409.520729663,Doré,concentrate_economic
TECH-e7e6a960-2023.0-5.0,2023.0,Energy,Propane,GJ,1463.60937,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,1463609.37,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Hybrid free-miling-refactory,Au,29.039084533163262,1.0,mining,50401.36056384721,Doré,concentrate_economic
TECH-b86f7d07-2023.0-1.0,2023.0,Energy,Diesel|Mobile equipment,gallons,2785135.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,378542030.2939668,lhv+density,"diesel MJ/kg=43.0, dens=0.835 kg/L",MJ,False,QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Free-miling,Au,3.5165997959183577,1.0,mining,107644330.39361843,Doré,concentrate_economic
TECH-b86f7d07-2023.0-2.0,2023.0,Energy,Electricity consumption|Not specified,kWh,137676647.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,495635929.2,direct_unit,kwh→MJ factor=3.6,MJ,False,QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Free-miling,Au,3.5165997959183577,1.0,mining,140941806.84855697,Doré,concentrate_economic
TECH-b86f7d07-2023.0-3.0,2023.0,Energy,Gasoline|Mobile equipment,gallons,144321.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,17908178.0536758,lhv+density,"gasoline MJ/kg=44.0, dens=0.745 kg/L",MJ,False,QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Free-miling,Au,3.5165997959183577,1.0,mining,5092469.741499001,Doré,concentrate_economic
TECH-b86f7d07-2023.0-4.0,2023.0,Energy,Propane,gallons,494423.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,42813081.77158993,lhv+density,"propane MJ/kg=46.4, dens=0.493 kg/L",MJ,False,QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Free-miling,Au,3.5165997959183577,1.0,mining,12174567.552805457,Doré,concentrate_economic
TECH-599152a0-2023.0-1.0,2023.0,Energy,Diesel,TJ,80.96,Share of primary energy source derived from the all group,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,80960000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,63500.0,1.0,mining,1274.9606299212599,Cu concentrate,concentrate_economic
TECH-599152a0-2023.0-2.0,2023.0,Energy,Electricity consumption,TJ,1968.0,,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,1968000000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,63500.0,1.0,mining,30992.12598425197,Cu concentrate,concentrate_economic
TECH-599152a0-2023.0-3.0,2023.0,Energy,Gasoline,TJ,0.368,Share of primary energy source derived from the all group,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,368000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,63500.0,1.0,mining,5.7952755905511815,Cu concentrate,concentrate_economic
