site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,npv,operation_periods,data_source,value_formula,parameter_distribution,value_normalized,reference_mass_unit
QC-MAIN-9de9bb0d,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Au–Ag free-milling,Unspecified NPV,1936–1996; 2005–2013; 2021–open,MetalliCan,,,2816.2794379807956,kg
QC-MAIN-a555d9b9,transformation_from,Nb concentrate,land_concentrate_economic,,m2,Underground mining and beneficiation at Niobec,"Underground, concentrator",Nb mine,Cool Mixed Forest,1976–open,MetalliCan,,,,kg
QC-MAIN-a555d9b9,transformation_to,Nb concentrate,land_concentrate_economic,,m2,Underground mining and beneficiation at Niobec,"Underground, concentrator",Nb mine,Cool Mixed Forest,1976–open,MetalliCan,,,,kg
QC-MAIN-a555d9b9,occupation,Nb concentrate,land_concentrate_economic,,m2*year,Underground mining and beneficiation at Niobec,"Underground, concentrator",Nb mine,Cool Mixed Forest,1976–open,MetalliCan,,,,kg
QC-MAIN-a97821c0,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Raglan,"Underground, concentrator",Ni–Cu sulfide,Low and High Shrub Tundra,1998–open,MetalliCan,,,0.0008173488849457022,kg
QC-MAIN-a97821c0,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Raglan,"Underground, concentrator",Ni–Cu sulfide,Low and High Shrub Tundra,1998–open,MetalliCan,,,0.0008173488849457022,kg
QC-MAIN-a97821c0,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Raglan,"Underground, concentrator",Ni–Cu sulfide,Low and High Shrub Tundra,1998–open,MetalliCan,,,0.016346977698914047,kg
QC-MAIN-b86f7d07,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1988–1991; 1993–open,MetalliCan,,,88.19452563723019,kg
QC-MAIN-b86f7d07,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1988–1991; 1993–open,MetalliCan,,,88.19452563723019,kg
QC-MAIN-b86f7d07,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1988–1991; 1993–open,MetalliCan,,,1763.8905127446035,kg
QC-MAIN-c0660aec,transformation_from,Cu concentrate,land_concentrate_economic,0.003859237362487364,m2,Underground mining and beneficiation at Goldex,"Underground, concentrator",Au–Ag polymetallic,Unspecified NPV,2008–2011; 2013–open,MetalliCan,,,0.0019898400984171595,kg
