site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,npv,operation_periods,data_source,value_formula,parameter_distribution,value_normalized,reference_mass_unit
BC-MAIN-aa76f6f2,transformation_from,Cu concentrate,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Temperate Evergreen Needleleaf Open Woodland,2012–open,MetalliCan,,,0.003453767347973285,kg
BC-MAIN-aa76f6f2,transformation_to,Cu concentrate,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Temperate Evergreen Needleleaf Open Woodland,2012–open,MetalliCan,,,0.003453767347973285,kg
BC-MAIN-aa76f6f2,occupation,Cu concentrate,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Temperate Evergreen Needleleaf Open Woodland,2012–open,MetalliCan,,,0.06907534695946572,kg
BC-MAIN-bf503b6b,transformation_from,Cu concentrate,land_concentrate_economic,0.9785607445570883,m2,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,Cool Evergreen Needleleaf Forest,,MetalliCan,,,0.009163150088370656,kg
BC-MAIN-bf503b6b,transformation_to,Cu concentrate,land_concentrate_economic,0.9785607445570883,m2,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,Cool Evergreen Needleleaf Forest,,MetalliCan,,,0.009163150088370656,kg
BC-MAIN-bf503b6b,occupation,Cu concentrate,land_concentrate_economic,0.9785607445570883,m2*year,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,Cool Evergreen Needleleaf Forest,,MetalliCan,,,0.18326300176741314,kg
BC-MAIN-bf503b6b,transformation_from,Mo concentrate,land_concentrate_economic,0.021439255442911746,m2,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,Cool Evergreen Needleleaf Forest,,MetalliCan,,,0.03883050849042869,kg
BC-MAIN-bf503b6b,transformation_to,Mo concentrate,land_concentrate_economic,0.021439255442911746,m2,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,Cool Evergreen Needleleaf Forest,,MetalliCan,,,0.03883050849042869,kg
BC-MAIN-bf503b6b,occupation,Mo concentrate,land_concentrate_economic,0.021439255442911746,m2*year,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,Cool Evergreen Needleleaf Forest,,MetalliCan,,,0.7766101698085739,kg
BC-MAIN-ed23117f,transformation_from,Cu concentrate,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Mount Milligan,"Open-pit, concentrator",Cu Porphyry,Cold Evergreen Needleleaf Forest,2014–open,MetalliCan,,,0.006739168473275041,kg
