site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,value_formula,parameter_distribution,Stream,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key,reference_mass_unit
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Explosives,4549.5,t,MetalliCan,,,,Au,12.41413683010194,1.0,mining,0.3664773525750353,Doré,concentrate_economic,kg
BC-MAIN-ed23117f,Open-pit mining and beneficiation at Mount Milligan,"Open-pit, concentrator",Cu Porphyry,Material use,Explosives,646.875,t,MetalliCan,,,,Cu,93533.69434666667,1.0,mining,6.915956912836868e-06,Cu concentrate,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Cement,9417.6,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,1.6484832896619352,Doré,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Grinding media,726.071,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,0.12709351752125075,Doré,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Hydrochloric acid (HCL),68.068,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,0.01191481487435319,Doré,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Lime,924.081,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,0.1617537468987949,Doré,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Lubricants,296.13848,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,0.051836915531121006,Doré,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Sodium cyanide (NaCN),390.003,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,0.06826722608923969,Doré,concentrate_economic,kg
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Tires,100.705343372947,t,MetalliCan,,,,Au,5.712887755102041,1.0,mining,0.01762774759280182,Doré,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,2'' balls,980.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,1.3674252732785454e-05,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,3/4'' balls,179.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,2.4976441216006085e-06,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Anti-scalant,38.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,5.302261263733135e-07,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Explosives,522.6,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,7.29200456954457e-06,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Flocculant,192.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,2.6790372700967417e-06,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Lime,2724.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,3.800884126949753e-05,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Polyfroth h57,55.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,7.67432551329796e-07,Cu concentrate,concentrate_economic,kg
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,S60 SAG Balls,583.0,t,MetalliCan,,,,Cu,71667.53600000001,1.0,mining,8.134785044095837e-06,Cu concentrate,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Cement,12578.0,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,1.5242459728128546,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Grinding media,1932.222,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,0.234153410882525,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Hydrochloric acid (HCL),2.68345,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,0.0003251898438340479,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Lime,4346.921,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,0.5267750698350793,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Lubricants,545.0420799999999,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,0.06605010299360324,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Nitric acid (HNO3),0.26425,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,3.2022737980266875e-05,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Sodium cyanide (NaCN),734.521,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,0.08901182033681591,Doré,concentrate_economic,kg
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Sulfuric acid (H2SO4),0.009200000000000002,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,1.1148881340338898e-06,Doré,concentrate_economic,kg
