technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,mass,mass_source,mass_note,needs_density,site_id,activity_name,mining_processing_type,archetypes,metal,mass_t,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-6dc537e6-2023.0-10.0,2023,Material use,Nitric acid (HNO3),l,26575.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,40.12825,L×density→t,l×density=1.51 kg/L,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,0.07211849325243497,"Ag, usable ore",metal_economic
TECH-6dc537e6-2023.0-12.0,2023,Material use,Sodium cyanide (NaCN),t,838.8,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,838.8,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,116.16459028258267,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-12.0,2023,Material use,Sodium cyanide (NaCN),t,838.8,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,838.8,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,1.5074914091729006,"Ag, usable ore",metal_economic
TECH-6dc537e6-2023.0-13.0,2023,Material use,Sulfuric acid (H2SO4),l,73.96,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,0.1360864,L×density→t,l×density=1.84 kg/L,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,0.018846472221067785,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-13.0,2023,Material use,Sulfuric acid (H2SO4),l,73.96,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,0.1360864,L×density→t,l×density=1.84 kg/L,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,0.0002445744860577814,"Ag, usable ore",metal_economic
TECH-6dc537e6-2023.0-14.0,2023,Material use,Tires,t,241.250566996281,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,241.250566996281,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,33.41055468593675,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-14.0,2023,Material use,Tires,t,241.250566996281,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,241.250566996281,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,0.43357553314852754,"Ag, usable ore",metal_economic
TECH-687b8c8d-2023.0-6.0,2023,Material use,Total blasting agents used e.g. ANFO,t,486.3,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,AlamosGoldInc_Data_2023,486.3,t,reported in tonnes,False,ON-MAIN-687b8c8d,Underground mining and beneficiation at Island,"Underground, concentrator",Free-miling,Au,4.0869999,1.0,mining,118.98703496420443,"Au, usable ore",metal_economic
TECH-687b8c8d-2023.0-7.0,2023,Material use,Total sodium cyanide used,t,245.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,AlamosGoldInc_Data_2023,245.0,t,reported in tonnes,False,ON-MAIN-687b8c8d,Underground mining and beneficiation at Island,"Underground, concentrator",Free-miling,Au,4.0869999,1.0,mining,59.94617225216961,"Au, usable ore",metal_economic
TECH-44857446-2023.0-5.0,2023,Material use,Surface/underground emulsion & ANFO,pounds,511210.0,"Explosives, treated as material input because in t",YT-MAIN-44857446,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,231.88076632,lbs→t,lbs×0.453592/1000,False,YT-MAIN-44857446,Underground mining and beneficiation at Keno Hill Silver District,"Underground, concentrator",High-grade polymetallic Pb-Zn-Ag,Ag,46.7354037195,0.8400656382176023,mining,4.168040681067674,"Ag, usable ore",metal_economic
TECH-44857446-2023.0-5.0,2023,Material use,Surface/underground emulsion & ANFO,pounds,511210.0,"Explosives, treated as material input because in t",YT-MAIN-44857446,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,231.88076632,lbs→t,lbs×0.453592/1000,False,YT-MAIN-44857446,Underground mining and beneficiation at Keno Hill Silver District,"Underground, concentrator",High-grade polymetallic Pb-Zn-Ag,Zn,1339.0,0.09236316898100091,mining,0.015994953250976957,"Zn, usable ore",metal_economic
TECH-44857446-2023.0-5.0,2023,Material use,Surface/underground emulsion & ANFO,pounds,511210.0,"Explosives, treated as material input because in t",YT-MAIN-44857446,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,231.88076632,lbs→t,lbs×0.453592/1000,False,YT-MAIN-44857446,Underground mining and beneficiation at Keno Hill Silver District,"Underground, concentrator",High-grade polymetallic Pb-Zn-Ag,Pb,1225.0,0.06757119280139672,mining,0.012790579565668847,"Pb, usable ore",metal_economic
TECH-9de9bb0d-2023.0-4.0,2023,Material use,Explosives,t,506.0,"Explosives, treated as material input because in t",QC-MAIN-9de9bb0d,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,506.0,t,reported in tonnes,False,QC-MAIN-9de9bb0d,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Free-miling,Au,1.1053250795,0.9989391993518907,mining,457.2982593507295,"Au, usable ore",metal_economic
TECH-9de9bb0d-2023.0-4.0,2023,Material use,Explosives,t,506.0,"Explosives, treated as material input because in t",QC-MAIN-9de9bb0d,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,506.0,t,reported in tonnes,False,QC-MAIN-9de9bb0d,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Free-miling,Ag,0.090448978,0.0010608006481092256,mining,5.9344521056199016,"Ag, usable ore",metal_economic
TECH-fefeaee4-2023.0-3.0,2023,Material use,Cement,t,9417.6,,ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,9417.6,t,reported in tonnes,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,1682.1258057774849,"Au, usable ore",metal_economic
TECH-fefeaee4-2023.0-8.0,2023,Material use,Grinding media,t,726.071,"Explosives, treated as material input because in t",ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,726.071,t,reported in tonnes,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,129.68726277678647,"Au, usable ore",metal_economic
TECH-fefeaee4-2023.0-9.0,2023,Material use,Hydrochloric acid (HCL),kl,57.2,,ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,68.068,L×density→t,kl×density=1.19 kg/L,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,12.157974361584888,"Au, usable ore",metal_economic
TECH-fefeaee4-2023.0-10.0,2023,Material use,Lime,t,924.081,,ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,924.081,t,reported in tonnes,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,165.0548437742805,"Au, usable ore",metal_economic
TECH-fefeaee4-2023.0-11.0,2023,Material use,Lubricants,kl,336.521,,ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,296.13848,L×density→t,kl×density=0.88 kg/L,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,52.89481176645001,"Au, usable ore",metal_economic
TECH-fefeaee4-2023.0-13.0,2023,Material use,Sodium cyanide (NaCN),t,390.003,,ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,390.003,t,reported in tonnes,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,69.66043478493846,"Au, usable ore",metal_economic
TECH-fefeaee4-2023.0-15.0,2023,Material use,Tires,t,100.705343372947,,ON-MAIN-fefeaee4,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,100.705343372947,t,reported in tonnes,False,ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Free-miling,Au,5.59863,1.0,mining,17.987497543675328,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-1.0,2023,Material use,2'' balls,t,980.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,980.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,197.51230137693008,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-1.0,2023,Material use,2'' balls,t,980.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,980.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.026313040898196593,"Cu, usable ore",metal_economic
TECH-aa76f6f2-2023.0-2.0,2023,Material use,3/4'' balls,t,179.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,179.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,36.076226475990296,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-2.0,2023,Material use,3/4'' balls,t,179.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,179.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.004806157470180807,"Cu, usable ore",metal_economic
TECH-aa76f6f2-2023.0-3.0,2023,Material use,Anti-scalant,kg,38000.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,38.0,kg→t,kg/1000,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,7.6586402574728,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-3.0,2023,Material use,Anti-scalant,kg,38000.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,38.0,kg→t,kg/1000,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.0010203015858484394,"Cu, usable ore",metal_economic
TECH-aa76f6f2-2023.0-8.0,2023,Material use,Flocculant,t,192.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,192.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,38.69628761670467,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-8.0,2023,Material use,Flocculant,t,192.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,192.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.005155208012707904,"Cu, usable ore",metal_economic
TECH-aa76f6f2-2023.0-10.0,2023,Material use,Lime,t,2724.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,2724.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,549.0035805619975,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-10.0,2023,Material use,Lime,t,2724.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,2724.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.07313951368029338,"Cu, usable ore",metal_economic
TECH-aa76f6f2-2023.0-12.0,2023,Material use,Polyfroth h57,t,55.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,55.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,11.084874056868525,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-12.0,2023,Material use,Polyfroth h57,t,55.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,55.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.0014767522953069516,"Cu, usable ore",metal_economic
TECH-aa76f6f2-2023.0-14.0,2023,Material use,S60 SAG Balls,t,583.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,583.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Au,2.0974023155,0.42271710025276227,mining,117.49966500280635,"Au, usable ore",metal_economic
TECH-aa76f6f2-2023.0-14.0,2023,Material use,S60 SAG Balls,t,583.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,583.0,t,reported in tonnes,False,BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator","Porphyry sulfide, flotation-based",Cu,21500.2608,0.5772828997472378,mining,0.01565357433025369,"Cu, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-2.0,2023,Material use,Cement,t,12578.0,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,12578.0,t,reported in tonnes,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,1555.3530334825045,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-7.0,2023,Material use,Grinding media,t,1932.222,"Explosives, treated as material input because in t",,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,1932.222,t,reported in tonnes,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,238.93205192094385,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-8.0,2023,Material use,Hydrochloric acid (HCL),kl,2.255,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,2.68345,L×density→t,kl×density=1.19 kg/L,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,0.33182637125923253,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-9.0,2023,Material use,Lime,t,4346.921,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,4346.921,t,reported in tonnes,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,537.5255814643665,"Au, usable ore",metal_economic
