technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,mass_t,mass_source,mass_note,needs_density,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key
TECH-aa76f6f2-2023-14,2023,Material use,S60 SAG Balls,t,583.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,583.0,t,reported in tonnes,False,3065000.0,,3065000.0,0.0001902120717781403,main_id
TECH-GRP-0d911886-2023-2,2023,Material use,Cement,t,12578.0,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,12578.0,t,reported in tonnes,False,,2911000.0,2911000.0,0.004320851940913775,facility_group_id
TECH-GRP-0d911886-2023-7,2023,Material use,Hydrochloric acid (HCL),kl,2.255,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,,missing_density,volume reported; no density mapping for this subflow,True,,2911000.0,2911000.0,,facility_group_id
TECH-GRP-0d911886-2023-8,2023,Material use,Lime,t,4346.921,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,4346.921,t,reported in tonnes,False,,2911000.0,2911000.0,0.001493274132600481,facility_group_id
TECH-GRP-0d911886-2023-9,2023,Material use,Lubricants,kl,619.366,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,545.0420799999999,L×density→t,kl→L × density kg/L; density=0.88,False,,2911000.0,2911000.0,0.00018723534180693918,facility_group_id
TECH-GRP-0d911886-2023-11,2023,Material use,Nitric acid (HNO3),l,175.0,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,,missing_density,volume reported; no density mapping for this subflow,True,,2911000.0,2911000.0,,facility_group_id
TECH-GRP-0d911886-2023-13,2023,Material use,Sodium cyanide (NaCN),t,734.521,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,734.521,t,reported in tonnes,False,,2911000.0,2911000.0,0.0002523260048093439,facility_group_id
TECH-GRP-0d911886-2023-14,2023,Material use,Sulfuric acid (H2SO4),l,5.0,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,,missing_density,volume reported; no density mapping for this subflow,True,,2911000.0,2911000.0,,facility_group_id
TECH-GRP-0d911886-2023-15,2023,Material use,Tires,t,626.983579787717,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,626.983579787717,t,reported in tonnes,False,,2911000.0,2911000.0,0.00021538425963164444,facility_group_id
TECH-0aadf28f-2023-2,2023,Material use,2.5'' balls,t,5977.02,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,5977.02,t,reported in tonnes,False,8764000.0,,8764000.0,0.0006819968051118211,main_id
TECH-0aadf28f-2023-3,2023,Material use,5.5'' balls,t,2819.39,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,2819.39,t,reported in tonnes,False,8764000.0,,8764000.0,0.00032170127795527157,main_id
TECH-0aadf28f-2023-4,2023,Material use,Anti-scalant,kg,231239.82,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,231.23982,kg→t,kg/1000,False,8764000.0,,8764000.0,2.6385191693290736e-05,main_id
