Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability
1.0250486806782673e-05,Cu concentrate from Au mine,4.803653809957644e-07,2.98567412715912e-06,2.4296377177141664e-08,2.8071510907648228e-11,6.460809938336835e-06,5.7607901054949885e-09,5.056601522564829e-08
8.442553361872307e-06,Cu concentrate from Cu mine,5.920735223397099e-07,8.259879341685209e-07,1.2777436725511593e-08,2.073062179517769e-11,4.405097495685763e-05,1.8349384247160245e-08,1.530835549100795e-07
0.028521360001899,Au-Ag ingot,0.0013365876391080726,0.008307457663763099,6.760320361980968e-05,7.810728288115583e-08,0.0179768125988284,1.602905008132868e-05,0.0001406968803263
4.5872190738830555e-06,Pb concentrate,2.1496942607361662e-07,1.3361259734279919e-06,1.0872927926679185e-08,1.256234689598818e-11,2.8912919439795714e-06,2.5780244605743952e-09,2.2628914485964943e-08
4.636019293063851e-06,Zn concentrate,2.1725633494903527e-07,1.3503400153273888e-06,1.0988597317713533e-08,1.2695988898804496e-11,2.9220504024358525e-06,2.6054503029262395e-09,2.286964793687029e-08
0.0837670708533793,Au refined,0.0043106944268598,0.0148425214637804,2.3735517198972996e-05,3.384560953476302e-07,0.4834065674226318,0.0001928268007797,0.0003854269134957
0.001081265539572,Ag refined,5.564245512975329e-05,0.0001915873049057421,3.063781156478961e-07,4.36879204748063e-09,0.0062398131271754,2.4890088021692967e-06,4.975091527814471e-06
1.6579840947957226e-07,Fe concentrate,1.9863346760829684e-09,2.4349372229034154e-09,2.9684257104992443e-10,5.834396218068653e-13,2.907284855906716e-07,1.4269319014834083e-10,7.638756895511224e-10
3.151504870145916e-06,Ni concentrate,4.099883673821772e-08,9.02671355562615e-08,2.5723857309530465e-10,8.684618380790581e-12,5.236908566066908e-06,2.7948790378614594e-09,1.3243118837977324e-08
