Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Brucejack (Au),7.68001754141688,2.5233833542635327,3.0801971815335666e-18,0.19604067848752427,1.6453768764166836,1.0651872386938979,0.0007365074801468697,2.63930431893793e-09,0.6161985624735549,0.8154138071266289,2.6223186406884436,0.2846586125259683,1.605484713612922e-06,2.4420585373047935e-06,0.011828072071589275,0.4520279732192398,0.680146416202975,0.05860367708047232,0.08913513456685464,0.026040295567576508,0.0013322284203159812,0.0009455796324904943
Canadian Malartic (Au),0.881335922963183,0.3209085383428131,6.383762664451485e-19,0.030583776214287012,0.19921470260039026,0.19157267132217165,0.00011430674688960957,1.688400473199698e-09,0.5524516159955826,0.21278584430971426,0.30685139739013706,0.03330938320839125,1.8380011290028077e-07,2.1560311753292875e-07,0.0016494242939846125,0.06931394735133668,0.10180762862526989,0.006709056824439422,0.007869513628069057,0.00939402692092375,0.00019113989637620365,6.46192853475358e-05
Canadian Malartic (Ag),0.011437274967773548,0.004164495170770571,8.284338156906717e-21,0.0003968918644385778,0.002585249584791745,0.0024860774068850094,1.4833818316494438e-06,2.1910715018629527e-11,0.007169276548403464,0.002761365047150201,0.003982072799875563,0.0004322626195706203,2.3852113098202397e-09,2.7979253430099965e-09,2.140491353808779e-05,0.000899501151263358,0.0013211782392147078,8.706478991428764e-05,0.00010212427291907865,0.00012190819054774243,2.48046115964431e-06,8.385775639382095e-07
Casa Berardi (Au),1.209407289290865,0.4347744090383798,1.6387610292077007e-18,0.045038434783412885,0.2799698877265419,0.2233339032231422,0.00015788596488508554,2.7505430461486033e-09,0.8936645307686818,0.2819097876046156,0.42087794012245394,0.04568721555662686,3.145628203978058e-07,3.981488226361257e-07,0.0022105739244510517,0.09084371536991868,0.14461492170278778,0.011482041572196896,0.014532431710812936,0.015192638560991173,0.0003089228569169728,9.73361782122461e-05
Casa Berardi (Ag),0.015694723409231014,0.005642155569704794,2.1266533721390525e-20,0.0005844728939390623,0.003633225949728191,0.0028982492455880957,2.0489181385847385e-06,3.5694355772297026e-11,0.011597266152926534,0.0036584004329251628,0.0054618182944902414,0.0005928922520360921,4.082145542603731e-09,5.166858031762455e-09,2.8687065377103564e-05,0.001178897281086987,0.0018766971314143083,0.00014900478309745513,0.00018859031406624806,0.0001971579571695373,4.008954674807359e-06,1.2631513211233582e-06
Detour Lake (Au),4.568237816158849,1.5497343725368897,1.4728868498051753e-17,0.14991833045303846,1.895299815835729,0.47124041390166377,0.001165692084249255,1.1170922316343374e-07,0.3343191193880482,0.43956036037391677,1.5173584232157964,0.1647122420020577,3.7564082176203985e-06,3.5672226692048052e-06,0.016247477382960458,0.26214979701525787,0.7208633097069426,0.1371164273999573,0.13020362405631014,0.0071294561081252155,0.00038282577749065676,0.0014926298553447942
Detour Lake (Ag),0.05928294751174177,0.02011121686584436,1.9113951377810438e-19,0.0019455205434595955,0.02459568951524805,0.00611538219550205,1.5127422508849131e-05,1.4496731923093706e-09,0.004338526943759296,0.005704263742565816,0.019691067607875257,0.002137504127886457,4.8747669953545446e-08,4.629257159968446e-08,0.00021084680722304675,0.0034019710013133905,0.009354789252524405,0.0017793876386353192,0.0016896788196596568,9.252039492194884e-05,4.9680075893884925e-06,1.9370160294799982e-05
Eagle River (Au),1.989748903631019,0.6832022294725297,7.061690422663654e-18,0.06723101539979168,0.7817128385695276,0.22132654438347124,0.0005196562550541966,4.030384748133523e-08,0.14388623975431833,0.19377939617281892,0.6619796327268289,0.07185918212241862,1.4608967371360294e-06,1.5380835619027412e-06,0.007112354310349334,0.12098486555873904,0.3188235782485799,0.053325627306330316,0.05614004857577549,0.002668877201625121,0.00014084123668460958,0.0006423633542590735
Éléonore (Au),2.013084524741563,0.6859471505250819,8.105846854520462e-18,0.07157432489743254,0.554619446909968,0.16410361358107917,0.0008045819931876894,2.138280538992548e-09,0.6870317756827181,0.2050281340084988,0.6780949805271244,0.07360857332564558,6.519698320630347e-07,1.3914577444993958e-06,0.010634090094285124,0.11775435451127057,0.32015800462248356,0.023798117387102198,0.05078820648225528,0.01070231151935123,0.00022232713221791527,0.0006378298796876971
Éléonore (Ag),0.02612420657853922,0.008901675428346325,1.0519122123332056e-19,0.0009288345431838257,0.00719740916948324,0.002129605872675311,1.0441223991495408e-05,2.7748899795164786e-11,0.00891575055557337,0.0026606916661621495,0.008799776224997934,0.0009552333996094226,8.460744870894532e-09,1.8057229779613566e-08,0.00013800074762163007,0.0015281221593508637,0.0041547554450746885,0.0003088330007276473,0.0006590888714874242,0.00013888606436389758,2.8851842313164087e-06,8.277247955298323e-06
