Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability
0.00013751095239012643,Brucejack (Au),2.4133025669980297e-06,3.7790807227342464e-06,3.8032319115866496e-08,1.7999460259029327e-09,2.519765314933508e-05,3.9998550449670484e-08,9.75186351585881e-07
1.6202615426265022e-05,Canadian Malartic (Au),3.4622907489451674e-07,4.1660088485341776e-07,1.643302907630816e-08,3.4383923268314086e-10,4.450557048304334e-06,5.801281905769565e-09,9.270784540594493e-08
2.1026462558971747e-07,Canadian Malartic (Ag),4.493084898820998e-09,5.406314139032061e-09,2.1325474776346012e-10,4.4620714584423195e-12,5.775578090286266e-08,7.528441172919169e-11,1.2030885062914596e-09
2.215859137623077e-05,Casa Berardi (Au),4.997899943607115e-07,6.262731130749089e-07,2.6737207170315254e-08,4.2870726762034127e-10,6.914393384455788e-06,7.676519214444149e-09,1.305484032115695e-07
2.875565291955043e-07,Casa Berardi (Ag),6.485876003069906e-09,8.127273093828738e-09,3.4697416784643327e-10,5.5634209375406795e-12,8.972948515373868e-08,9.961974375548092e-11,1.694153070762877e-09
8.24517423759265e-05,Detour Lake (Au),1.5850068263256256e-06,2.9136398474249816e-06,1.07597625929164e-06,7.329568918725256e-10,1.520165587805766e-05,2.4247003954390482e-08,1.3378464205873775e-06
1.0699929626205556e-06,Detour Lake (Ag),2.0568954608190182e-08,3.781089458272116e-08,1.3963161631367064e-08,9.511729829745512e-12,1.9727496826199694e-07,3.1465828104091717e-10,1.736150415965366e-08
3.602328866315456e-05,Eagle River (Au),7.211861214913185e-07,1.2754397622032487e-06,3.8839661153373483e-07,3.6202297188791324e-10,6.9908734764940855e-06,1.1077675632808194e-08,5.741033062063758e-07
3.637477541237422e-05,Éléonore (Au),6.950262991420054e-07,1.1699157383797936e-06,2.2176927462249964e-08,2.8801771043738006e-10,9.039350012054002e-06,1.0950516077465593e-08,5.192564921413623e-07
4.720428453270784e-07,Éléonore (Ag),9.019497327257275e-09,1.518223405731901e-08,2.8779448186564636e-10,3.737664219580677e-12,1.1730547926420435e-07,1.4210707003704398e-10,6.738496991589797e-09
4.555125510211913e-05,Goldex (Au),8.750777287108266e-07,1.6162932978153732e-06,2.4334065134449112e-08,2.2280953100857075e-10,1.139433553841057e-05,1.284335859026496e-08,8.237508394155647e-07
5.911278746394411e-07,Goldex (Ag),1.1356061181213917e-08,2.09749659275266e-08,3.1578811610080486e-10,2.891444400440017e-12,1.4786660500075138e-07,1.6667086797023475e-10,1.0689981636753105e-08
2.2684669429649376e-09,Goldex (Zn),4.3579148421024404e-11,8.049191861332751e-11,1.2118442094662216e-12,1.109598520749446e-14,5.674415273191052e-10,6.396033269805775e-13,4.102305270560585e-11
0.0005513673579541,Hemlo (Au),1.0404995649305914e-05,1.1511997760532797e-05,4.0057524345447e-08,1.5880436758713746e-08,8.911393418657627e-05,2.360304744948828e-07,2.9993553193955587e-06
3.0443075594550825e-05,Kiena (Au),5.772122544486734e-07,1.0138610241998996e-06,1.6897182433660792e-08,2.466227181695268e-10,7.5861526731386255e-06,9.09938172565943e-09,4.767557436775714e-07
3.950659663628351e-07,Kiena (Ag),7.490600492335779e-09,1.315708017251682e-08,2.1927816386046628e-10,3.2004729775349706e-12,9.844704197547776e-08,1.1808452184433335e-10,6.1869560117808166e-09
6.016908679031532e-06,Lamaque (Au),1.4361563360345025e-07,1.609077254486268e-07,7.195925727134073e-09,1.280010402824314e-10,1.7139097535220706e-06,2.1286084340048694e-09,3.7880750160486366e-08
7.808264064830016e-08,Lamaque (Ag),1.863729126901491e-09,2.0881320953776347e-09,9.338298400872304e-11,1.6610953826721917e-12,2.2241753502490023e-08,2.762338206442719e-11,4.915861567771133e-10
1.9404769550756336e-05,LaRonde (Au),4.298671547967681e-07,6.416005602692097e-07,2.254305675415239e-08,1.9153306371683518e-10,5.920203031914673e-06,5.649694369800141e-09,2.462198018137755e-07
2.5181961926649275e-07,LaRonde (Ag),5.578472986361391e-09,8.326180224830247e-09,2.9254579794549816e-10,2.4855633297617032e-12,7.682767115513406e-08,7.331722693960243e-11,3.195244197318774e-09
2.585147782786712e-09,LaRonde (Cu),5.7267885714080156e-11,8.547549378581873e-11,3.0032375844024904e-12,2.5516473492114296e-14,7.887029874587288e-10,7.526652097602374e-13,3.280196481971257e-11
9.663636646331645e-10,LaRonde (Zn),2.1407520393029107e-11,3.195191094058919e-11,1.1226513781607097e-12,9.538407199043468e-15,2.9482798645305594e-10,2.813565671027883e-13,1.2261823954800213e-11
0.00018190931333595574,Macassa (Au),3.3108065443115846e-06,6.714890816378698e-06,7.157883921382208e-07,6.272552605836286e-10,3.680755220697859e-05,5.089068374693604e-08,3.744965111507004e-06
4.2021194235852394e-05,Meliadine (Au),7.62246039939784e-07,1.2364610120606109e-06,3.843987240959337e-09,6.119897839067547e-10,7.890114153617112e-06,1.4651075041739718e-08,5.901841438296147e-07
5.453175742405027e-07,Meliadine (Ag),9.89182172305143e-09,1.6045805603667856e-08,4.988420303131848e-11,7.941915981872109e-12,1.0239161383294737e-07,1.901299784775923e-10,7.658939391971343e-09
3.2013347653914534e-05,Musselwhite (Au),6.991487994496381e-07,1.1674211576398282e-06,6.932047764971437e-07,3.682778637941673e-10,5.9054389978777e-06,9.688999902997014e-09,4.1842933288015e-07
2.2042107840822657e-05,New Afton (Au),1.8327524877364413e-06,8.332616261705998e-07,3.778737767680227e-09,1.9954433181819318e-10,3.93162857438336e-06,6.953777045157063e-09,2.700597992813679e-07
