Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability
2.9365000089378424e-09,New Afton (Cu),2.4416348115731114e-10,1.1100901933824007e-10,5.034120846364397e-13,2.6583752988162995e-14,5.237805471458837e-10,9.263980840477557e-13,3.597798353531193e-11
0.00020666810809024023,Rainy River (Au),8.398776103651955e-06,7.992273162214916e-06,2.8103690416023794e-06,1.1595556827162575e-09,3.749961836312296e-05,5.708963276078e-08,3.4720152913492813e-06
0.0005002136094071,Red Chris (Au),8.826113483805538e-06,1.3262973273154288e-05,1.2429954151523558e-07,7.57704878552997e-09,8.983640207194942e-05,1.543590151945656e-07,3.4304668569684493e-06
6.663960212767903e-08,Red Chris (Cu),1.1758350427353696e-09,1.7669236654258206e-09,1.6559469593537166e-11,1.0094317753206134e-12,1.196821115461606e-08,2.056406128254449e-11,4.5701464873938237e-10
4.5482227468629804e-05,Red Lake (Au),1.0861958436907917e-06,1.8202291614150616e-06,1.9251444295336262e-06,4.926732777695094e-10,6.094739432051583e-06,1.1472446119958472e-08,6.17477948137983e-07
5.8829444372469853e-05,Westwood-Doyon (Au),1.1552082742317316e-06,1.952747207889957e-06,3.237867287548194e-08,3.8539557213242255e-10,3.175940085014279e-05,1.7391336314072936e-08,9.35140952506374e-07
7.634416231381687e-07,Westwood-Doyon (Ag),1.4991371872839795e-08,2.5341196314552453e-08,4.201845956014467e-10,5.001356388874967e-12,4.121481678429398e-07,2.256908957651239e-10,1.2135513749419617e-08
6.203850431054549e-05,Young-Davidson (Au),1.1453896384884214e-06,2.1281719909537833e-06,1.2667906565117969e-06,3.999030025312897e-10,9.628115122434712e-06,1.5873073686971394e-08,9.402831581757593e-07
7.63462125316742e-05,Meadowbank complex (Au),1.3762409569512394e-06,2.3477106559771573e-06,7.232681791211408e-09,9.43109092314687e-10,1.4640659966665202e-05,2.5724571335145843e-08,1.173277813584457e-06
9.907602783891704e-07,Meadowbank complex (Ag),1.785975792291263e-08,3.0466717077571585e-08,9.385997776205576e-11,1.2238918025917876e-11,1.899948123870318e-07,3.3383297828397377e-10,1.5225863978483113e-08
3.9242778698723526e-05,Porcupine complex (Au),7.719278670204358e-07,1.2939502692108855e-06,6.796209215353376e-07,4.1685168320912365e-10,6.517249766217572e-06,1.1816565680334504e-08,5.291475470834121e-07
6.442501042328185e-05,Timmins Operation (Au),1.31221375319927e-06,2.396637686968253e-06,1.3494270657989325e-06,5.330673766436177e-10,1.1020455678697108e-05,1.776826397139195e-08,1.0467886374748698e-06
8.360564265682499e-07,Timmins Operation (Ag),1.7028864036885545e-08,3.110165360074443e-08,1.7511789498004333e-08,6.917723218524965e-12,1.4301468806720896e-07,2.305823624277656e-10,1.3584388497084732e-08
0.00025453512750346185,Seabee Gold Operation (Au),1.267927341764371e-06,4.682996782765351e-06,5.031433525155238e-09,9.33161323756436e-10,1.3667563453889588e-05,4.7450221981381775e-08,3.9294895894197874e-07
2.006233355445957e-05,Snow Lake (Au),2.6584039974316815e-07,4.6643740605644453e-07,4.392031288846865e-09,1.4370305003219903e-10,2.220967649713129e-06,3.835228586248413e-09,2.3515168797176277e-07
2.6035296071063583e-07,Snow Lake (Ag),3.4498646504698383e-09,6.053052571711945e-09,5.699627838605444e-11,1.864863567529476e-12,2.882194653018384e-08,4.977053737105473e-11,3.051611016154924e-09
2.6727500595540977e-09,Snow Lake (Cu),3.5415867241301766e-11,6.213986031240928e-11,5.851164766380688e-13,1.914444935789156e-14,2.9588239965060274e-10,5.109379388851265e-13,3.132744693653706e-11
9.991105449086062e-10,Snow Lake (Zn),1.3238935963393953e-11,2.3228730082408538e-11,2.1872454287932634e-13,7.156457622808187e-15,1.1060489131307592e-10,1.9099559849018614e-13,1.1710628202360096e-11
