Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Brucejack (Au),0.00010350338446701285,3.400756792312643e-05,9.446208774500767e-08,2.318840479253022e-06,2.6718322028764522e-06,1.1072485198577944e-06,3.8032319115866496e-08,1.7999460259029327e-09,2.519765314933508e-05,3.9998550449670484e-08,9.75186351585881e-07
Canadian Malartic (Au),1.1877739910834352e-05,4.324875515430668e-06,1.1380303471363008e-08,3.3484877142315373e-07,2.893210468050512e-07,1.2727983804836651e-07,1.643302907630816e-08,3.438392326831409e-10,4.450557048304334e-06,5.8012819057695656e-09,9.270784540594491e-08
Canadian Malartic (Ag),1.541398390969547e-07,5.612478649276276e-08,1.4768450552895384e-10,4.345400393292044e-09,3.754577879273361e-09,1.6517362597587009e-09,2.1325474776346014e-10,4.46207145844232e-12,5.775578090286266e-08,7.528441172919169e-11,1.2030885062914598e-09
Casa Berardi (Au),1.6299148661411958e-05,5.859442714818815e-06,1.623790629160476e-08,4.835520880691067e-07,4.3026656873307493e-07,1.9600654434183394e-07,2.6737207170315254e-08,4.287072676203413e-10,6.9143933844557875e-06,7.676519214444149e-09,1.305484032115695e-07
Casa Berardi (Ag),2.115173542544078e-07,7.603917494109646e-08,2.10722599351578e-10,6.2751534037183274e-09,5.583656442676976e-09,2.543616651151762e-09,3.469741678464333e-10,5.56342093754068e-12,8.972948515373868e-08,9.961974375548093e-11,1.694153070762877e-09
Detour Lake (Au),6.156601499872889e-05,2.0885727377197608e-05,7.643306418718283e-08,1.5085737621384428e-06,2.053796325146564e-06,8.598435222784177e-07,1.0759762592916401e-06,7.329568918725257e-10,1.520165587805766e-05,2.424700395439048e-08,1.3378464205873775e-06
Detour Lake (Ag),7.989546478439858e-07,2.7103831477656986e-07,9.918873541334682e-10,1.9577067254056715e-08,2.6652530964354104e-08,1.1158363618367056e-08,1.3963161631367064e-08,9.511729829745512e-12,1.9727496826199694e-07,3.146582810409172e-10,1.736150415965366e-08
Eagle River (Au),2.6815791071133773e-05,9.207497592020786e-06,3.269472081730364e-08,6.884914006740149e-07,8.931548162110158e-07,3.8228494599223287e-07,3.8839661153373483e-07,3.620229718879133e-10,6.9908734764940855e-06,1.1077675632808194e-08,5.741033062063758e-07
Éléonore (Au),2.713028459240841e-05,9.244490819965805e-06,2.6073618597808858e-08,6.689526805441966e-07,7.877998985985381e-07,3.8211583978125536e-07,2.2176927462249964e-08,2.880177104373801e-10,9.039350012054002e-06,1.0950516077465591e-08,5.192564921413623e-07
Éléonore (Ag),3.520752112073509e-07,1.199676341197275e-07,3.383626416330833e-10,8.681134685624192e-09,1.022343922502211e-08,4.958794832296897e-09,2.877944818656464e-10,3.737664219580677e-12,1.1730547926420434e-07,1.4210707003704398e-10,6.738496991589797e-09
Goldex (Au),3.399046427250411e-05,1.1560790829615025e-05,3.486980697216789e-08,8.402079217386587e-07,1.0812972645792756e-06,5.349960332360977e-07,2.433406513444911e-08,2.2280953100857075e-10,1.139433553841057e-05,1.2843358590264959e-08,8.237508394155647e-07
Goldex (Ag),4.4110114780882713e-07,1.50026726830614e-07,4.5251255639939803e-10,1.0903548624814518e-08,1.4032213895363143e-08,6.942752032163454e-09,3.157881161008049e-10,2.891444400440017e-12,1.4786660500075135e-07,1.6667086797023477e-10,1.0689981636753105e-08
Goldex (Zn),1.692735895362862e-09,5.757310476020757e-10,1.736527440279648e-12,4.184262098074476e-11,5.38489465468613e-11,2.6642972066466206e-11,1.2118442094662216e-12,1.1095985207494461e-14,5.674415273191053e-10,6.396033269805774e-13,4.102305270560585e-11
Hemlo (Au),0.0003983659844341536,0.00015300137352000287,3.741361353485248e-07,1.0030859513957387e-05,8.343965836243829e-06,3.168031924288969e-06,4.0057524345446996e-08,1.5880436758713746e-08,8.911393418657627e-05,2.3603047449488276e-07,2.9993553193955587e-06
Kiena (Au),2.2638828609740195e-05,7.80424698481063e-06,2.2989106118732508e-08,5.542231483299409e-07,6.830675219220634e-07,3.3079350227783603e-07,1.6897182433660792e-08,2.466227181695268e-10,7.5861526731386255e-06,9.09938172565943e-09,4.767557436775714e-07
Kiena (Ag),2.9378867046005793e-07,1.0127729590277711e-07,2.983342928916499e-10,7.192266199444128e-09,8.864305789362948e-09,4.292774383153873e-09,2.1927816386046628e-10,3.2004729775349702e-12,9.844704197547776e-08,1.1808452184433335e-10,6.1869560117808166e-09
Lamaque (Au),4.406870630417779e-06,1.610038048613753e-06,4.172789070724516e-09,1.3944284453272573e-07,1.1100108559103939e-07,4.990663985758739e-08,7.195925727134073e-09,1.2800104028243141e-10,1.7139097535220706e-06,2.1286084340048698e-09,3.7880750160486366e-08
Lamaque (Ag),5.718885131420537e-08,2.0893789334094786e-08,5.4151127556066143e-11,1.8095779993454247e-09,1.4404835362824434e-09,6.476485590951916e-10,9.338298400872305e-11,1.6610953826721915e-12,2.2241753502490026e-08,2.762338206442719e-11,4.915861567771133e-10
LaRonde (Au),1.442711975551546e-05,4.977649795240876e-06,1.4372271996833637e-08,4.1549488279993437e-07,4.3089146919304304e-07,2.107090910761666e-07,2.2543056754152387e-08,1.9153306371683516e-10,5.920203031914673e-06,5.6496943698001416e-09,2.462198018137755e-07
LaRonde (Ag),1.8722365103919286e-07,6.459596822729984e-08,1.865118805976472e-10,5.391961105763744e-09,5.59176573980508e-09,2.7344144850251673e-09,2.9254579794549816e-10,2.4855633297617032e-12,7.682767115513406e-08,7.331722693960243e-11,3.1952441973187746e-09
LaRonde (Cu),1.922013891346087e-09,6.631338914406252e-10,1.9147069452563073e-12,5.535317876882385e-11,5.740434687129309e-11,2.8071146914525637e-11,3.0032375844024904e-12,2.5516473492114296e-14,7.887029874587288e-10,7.526652097602374e-13,3.280196481971257e-11
LaRonde (Zn),7.18475129621929e-10,2.4788853501123533e-10,7.157436937224347e-13,2.069177669930667e-11,2.145853152230797e-11,1.0493379418281215e-11,1.1226513781607097e-12,9.538407199043468e-15,2.9482798645305594e-10,2.813565671027883e-13,1.2261823954800213e-11
Macassa (Au),0.00013599245304866142,4.591686028735574e-05,1.4977659538295547e-07,3.161029948928629e-06,4.548450850237978e-06,2.1664399661407198e-06,7.157883921382208e-07,6.272552605836287e-10,3.680755220697859e-05,5.089068374693603e-08,3.7449651115070037e-06
Meliadine (Au),3.0916844795498794e-05,1.1104349440353602e-05,3.0768748626476673e-08,7.314772913133073e-07,8.491377838264063e-07,3.8732322823420457e-07,3.843987240959337e-09,6.119897839067548e-10,7.890114153617112e-06,1.4651075041739718e-08,5.901841438296147e-07
Meliadine (Ag),4.0121417548114445e-07,1.4410339875935825e-07,3.992923007573222e-10,9.492529422294109e-09,1.1019433441870893e-08,5.026372161796963e-09,4.9884203031318476e-11,7.94191598187211e-12,1.0239161383294735e-07,1.901299784775923e-10,7.658939391971343e-09
Musselwhite (Au),2.3989064546393702e-05,8.024283107520826e-06,3.2966340994061305e-08,6.661824584555769e-07,8.445070557031335e-07,3.229141019366947e-07,6.932047764971437e-07,3.6827786379416743e-10,5.9054389978777e-06,9.688999902997014e-09,4.1842933288015e-07
New Afton (Au),1.658517510641767e-05,5.456932734404987e-06,2.096282585451064e-08,1.8117896618819307e-06,6.238094368384598e-07,2.0945218933213995e-07,3.778737767680227e-09,1.9954433181819316e-10,3.93162857438336e-06,6.953777045157063e-09,2.700597992813679e-07
New Afton (Cu),2.2095149512781844e-09,7.269850576596579e-10,2.792715609221749e-12,2.4137076554808937e-10,8.310531987559537e-11,2.7903699462644706e-11,5.034120846364397e-13,2.6583752988162995e-14,5.237805471458837e-10,9.263980840477557e-13,3.597798353531193e-11
Rainy River (Au),0.00015553286244708483,5.1135245643240236e-05,2.083441030222162e-07,8.190432000629738e-06,5.776677806251734e-06,2.215595355963182e-06,2.8103690416023794e-06,1.1595556827162575e-09,3.7499618363122955e-05,5.708963276078e-08,3.4720152913492813e-06
Red Chris (Au),0.0003745387559986867,0.0001256748534085608,3.423950380654215e-07,8.483718445740117e-06,9.40484392870374e-06,3.858129344450548e-06,1.2429954151523558e-07,7.57704878552997e-09,8.983640207194942e-05,1.543590151945656e-07,3.4304668569684493e-06
Red Chris (Cu),4.98969104808433e-08,1.674269164683573e-08,4.561465079143762e-11,1.130220391943932e-09,1.2529348405790864e-09,5.139888248467342e-10,1.6559469593537166e-11,1.0094317753206134e-12,1.1968211154616059e-08,2.0564061282544486e-11,4.570146487393824e-10
Red Lake (Au),3.4409349875117236e-05,1.1072877593512561e-05,5.8701870192985495e-08,1.0274939734978063e-06,1.380066037632098e-06,4.4016312378296347e-07,1.9251444295336266e-06,4.926732777695094e-10,6.094739432051583e-06,1.1472446119958472e-08,6.17477948137983e-07
Westwood-Doyon (Au),4.3940189229306354e-05,1.4889255143163496e-05,4.28158362142871e-08,1.1123924380174445e-06,1.3105395882145262e-06,6.422076196754308e-07,3.237867287548194e-08,3.853955721324226e-10,3.175940085014279e-05,1.7391336314072936e-08,9.35140952506374e-07
Westwood-Doyon (Ag),5.702207414121283e-07,1.9322088172604032e-07,5.556297841529705e-10,1.4435742088686826e-08,1.7007137866482255e-08,8.334058448070196e-09,4.2018459560144673e-10,5.001356388874967e-12,4.121481678429398e-07,2.2569089576512392e-10,1.2135513749419617e-08
Young-Davidson (Au),4.6823761359896145e-05,1.5214742950649332e-05,5.864522612847992e-08,1.0867444123599414e-06,1.5354151467417061e-06,5.927568442120776e-07,1.2667906565117969e-06,3.9990300253128973e-10,9.628115122434712e-06,1.5873073686971394e-08,9.402831581757591e-07
Meadowbank complex (Au),5.633006387509954e-05,2.0016148656574653e-05,5.6534841658263306e-08,1.3197061152929759e-06,1.602858168510844e-06,7.448524874663136e-07,7.232681791211408e-09,9.431090923146872e-10,1.4640659966665202e-05,2.572457133514584e-08,1.173277813584457e-06
Meadowbank complex (Ag),7.31006659093949e-07,2.5975361929522135e-07,7.336641015376799e-10,1.712609382137495e-08,2.080061536861774e-08,9.66610170895384e-09,9.385997776205577e-11,1.2238918025917877e-11,1.899948123870318e-07,3.3383297828397377e-10,1.5225863978483113e-08
Porcupine complex (Au),2.9399393685772276e-05,9.843385012951248e-06,3.6139245943720844e-08,7.35788621076715e-07,9.308333956918842e-07,3.631168735190014e-07,6.796209215353376e-07,4.168516832091237e-10,6.517249766217572e-06,1.1816565680334505e-08,5.291475470834121e-07
Timmins Operation (Au),4.833962854309835e-05,1.6085381880183494e-05,6.61743341014158e-08,1.2460394190978539e-06,1.721052194985625e-06,6.755854919826278e-07,1.3494270657989323e-06,5.330673766436177e-10,1.1020455678697107e-05,1.776826397139195e-08,1.0467886374748698e-06
Timmins Operation (Ag),6.273131641548931e-07,2.0874326241335674e-07,8.587577660173731e-10,1.617010627086817e-08,2.233444361576935e-08,8.767209984975074e-09,1.751178949800433e-08,6.917723218524965e-12,1.4301468806720896e-07,2.3058236242776557e-10,1.3584388497084732e-08
Seabee Gold Operation (Au),0.00019615326952252102,5.838185798096186e-05,1.4317293530373565e-07,1.1247544064606354e-06,4.009435347328941e-06,6.735614354364109e-07,5.031433525155238e-09,9.33161323756436e-10,1.3667563453889588e-05,4.7450221981381775e-08,3.9294895894197874e-07
Snow Lake (Au),1.524146461717389e-05,4.820868937285679e-06,1.1988854473705176e-08,2.5385154526946294e-07,3.436912075203384e-07,1.2274619853610617e-07,4.392031288846865e-09,1.4370305003219903e-10,2.220967649713129e-06,3.835228586248413e-09,2.3515168797176275e-07
Snow Lake (Ag),1.9779156932030964e-07,6.256139139032614e-08,1.5558178973007606e-10,3.2942828607397628e-09,4.4601503228398065e-09,1.592902248872138e-09,5.699627838605444e-11,1.8648635675294757e-12,2.8821946530183837e-08,4.977053737105473e-11,3.0516110161549245e-09
Snow Lake (Cu),2.030502850753723e-09,6.422472088003749e-10,1.5971826699018797e-12,3.3818684571399884e-11,4.578733041695527e-11,1.635252989545401e-11,5.851164766380687e-13,1.9144449357891562e-14,2.9588239965060274e-10,5.109379388851265e-13,3.132744693653706e-11
Snow Lake (Zn),7.590297492002024e-10,2.4008079570840377e-10,5.970487396890614e-13,1.2641887223704891e-11,1.7115930634325758e-11,6.11279944808278e-12,2.1872454287932632e-13,7.156457622808187e-15,1.1060489131307593e-10,1.9099559849018614e-13,1.1710628202360095e-11
