Climate change,Commodity,Eutrophication,Fisheries impact,Freshwater acidification,Freshwater ecotoxicity,Ionizing radiations,Land occupation,Land transformation,Marine acidification,Marine ecotoxicity,Photochemical ozone formation,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial
10.203400895680412,Brucejack (Au),0.012564579551736,3.0801971815335666e-18,0.1960406784875242,2.7105641151105817,2.6393043189379303e-09,0.6161985624735549,0.8154138071266289,2.9069772532144125,4.047543250917715e-06,0.4520279732192398,0.680146416202975,0.14773881164732688,0.0260402955675765,0.0013322284203159,0.0009455796324904
1.202244461305996,Canadian Malartic (Au),0.0017637310408742,6.383762664451486e-19,0.030583776214287,0.3907873739225618,1.688400473199698e-09,0.5524516159955826,0.2127858443097142,0.3401607805985282,3.994032304332096e-07,0.0693139473513366,0.1018076286252698,0.0145785704525084,0.0093940269209237,0.0001911398963762,6.46192853475358e-05
0.015601770138544,Canadian Malartic (Ag),2.2888295369737236e-05,8.284338156906716e-21,0.0003968918644385,0.0050713269916767,2.1910715018629527e-11,0.0071692765484034,0.0027613650471502,0.0044143354194460995,5.183136652830235e-09,0.0008995011512633,0.0013211782392147,0.00018918906283328765,0.0001219081905477,2.48046115964431e-06,8.385775639382095e-07
1.6441816983292448,Casa Berardi (Au),0.002368459889336,1.6387610292077008e-18,0.0450384347834128,0.5033037909496841,2.7505430461486033e-09,0.8936645307686818,0.2819097876046156,0.4665651556790807,7.127116430339315e-07,0.0908437153699186,0.1446149217027877,0.026014473283009702,0.0151926385609911,0.0003089228569169,9.73361782122461e-05
0.0213368789789357,Casa Berardi (Ag),3.07359835156883e-05,2.1266533721390522e-20,0.000584472893939,0.0065314751953161,3.5694355772297026e-11,0.0115972661529265,0.0036584004329251,0.0060547105465262,9.249003574366186e-09,0.0011788972810869,0.0018766971314143,0.00033759509716359997,0.0001971579571695,4.008954674807359e-06,1.2631513211233582e-06
6.117972188695738,Detour Lake (Au),0.0174131694672096,1.4728868498051753e-17,0.1499183304530384,2.3665402297373928,1.1170922316343375e-07,0.3343191193880482,0.4395603603739167,1.682070665217854,7.323630886825204e-06,0.2621497970152578,0.7208633097069426,0.2673200514562674,0.0071294561081252,0.0003828257774906,0.0014926298553447
0.07939416437758601,Detour Lake (Ag),0.00022597422973184912,1.911395137781044e-19,0.0019455205434595,0.03071107171075,1.4496731923093706e-09,0.0043385269437592,0.0057042637425658,0.021828571735761602,9.504024155322992e-08,0.0034019710013133,0.0093547892525244,0.0034690664582949,9.252039492194884e-05,4.9680075893884925e-06,1.9370160294799985e-05
2.672951133103549,Eagle River (Au),0.007632010565403399,7.061690422663654e-18,0.0672310153997916,1.0030393829529989,4.0303847481335236e-08,0.1438862397543183,0.1937793961728189,0.7338388148492475,2.9989802990387706e-06,0.120984865558739,0.3188235782485799,0.1094656758821057,0.0026688772016251,0.0001408412366846,0.000642363354259
2.699031675266645,Éléonore (Au),0.0114386720874727,8.105846854520462e-18,0.0715743248974325,0.7187230604910471,2.138280538992548e-09,0.6870317756827181,0.2050281340084988,0.7517035538527699,2.0434275765624306e-06,0.1177543545112705,0.3201580046224835,0.0745863238693573,0.0107023115193512,0.0002223271322179,0.0006378298796876
0.0350258820068855,Éléonore (Ag),0.00014844197161309542,1.0519122123332057e-19,0.0009288345431838,0.0093270150421585,2.7748899795164783e-11,0.0089157505555733,0.0026606916661621,0.009755009624607298,2.65179746505081e-08,0.0015281221593508,0.0041547554450746,0.0009679218722149999,0.0001388860643638,2.8851842313164087e-06,8.277247955298323e-06
3.379932356443539,Goldex (Au),0.0114363582199919,1.2077284942703765e-17,0.0867856372012463,0.8928970263879078,2.3774737035617727e-09,0.8444534772305682,0.211064232412601,0.9159102563636178,3.1546966843921063e-06,0.1328893586505508,0.4527075352502372,0.1151479979452156,0.0128348250693052,0.0002691674593327,0.0010875371761882
0.0438620675941946,Goldex (Ag),0.00014841193885995353,1.5672937539874166e-19,0.0011262348170168,0.0115873057404956,3.085296027705697e-11,0.0109586446474045,0.0027390233774328,0.0118859531392017,4.093913873627986e-08,0.0017245321439477,0.0058748774718986,0.0014942989246499,0.0001665601388275,3.493040928967255e-06,1.4113190411455104e-05
0.00016832170272497137,Goldex (Zn),5.695342611581321e-07,6.014526159171263e-22,4.321952252276672e-06,4.446655491808006e-05,1.1839894953326425e-13,4.205405263993527e-05,1.051106580660877e-05,4.5612621119197934e-05,1.5710489495026964e-10,6.61793216304152e-06,2.254497868581132e-05,5.734406800634376e-06,6.391783889105155e-07,1.3404625442543698e-08,5.4159695816263386e-08
40.911811778589644,Hemlo (Au),0.0689108091538254,3.105545696225132e-18,0.9170962325907436,14.427144597567994,3.451466049747505e-09,0.7756274427043148,7.560551181996346,11.457794343232537,3.000008745277462e-06,2.8950122927765687,3.5184202086515945,0.10950995231453,0.0026256602799048,8.219653863058622e-05,0.0013492839674795
2.258895742998395,Kiena (Au),0.0068770115003025,6.726414797421602e-18,0.0578898001668747,0.5946703632539446,1.6676630425971839e-09,0.5821476489843717,0.1971828721516551,0.6174850083789725,1.81455407704138e-06,0.097620369584374,0.2845269560856008,0.0662321768794109,0.00901649864738,0.0001879213379374,0.0006099415398892
0.029314148199280198,Kiena (Ag),8.924437335043148e-05,8.729004969302622e-20,0.0007512476782576,0.0077171578962272995,2.1641601568781114e-11,0.0075546481265554,0.0025588821016047,0.0080132281883167,2.354783642719002e-08,0.0012668393299577,0.0036923640253458,0.0008595083977412999,0.000117008931869,2.438693320950286e-06,7.915335123091977e-06
