site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-aa76f6f2,"Au and Cu, Underground mining and beneficiation at New Afton","Cu, usable ore",1.56535743302536e-05,"consumption market for steel, low-alloyed","steel, low-alloyed, hot rolled",kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",1.5553530334825043,"consumption market for cement, unspecified","cement, unspecified",kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.23893205192094386,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.23893205192094386,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.00033182637125923247,"consumption market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.5375255814643666,consumption market for lime,lime,kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.06739806427918699,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",3.26762632451702e-05,"consumption market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.09082838809879176,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",1.1376409530958e-06,consumption market for sulfuric acid,sulfuric acid,kilogram,CA,Regioinvent
GRP-0d911886,"Au, Open-pit and underground mining at Porcupine complex","Au, usable ore",0.07753067361794765,consumption market for synthetic rubber,synthetic rubber,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.7573174325400723,"consumption market for steel, low-alloyed","steel, low-alloyed, hot rolled",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.35723039175528176,"consumption market for steel, low-alloyed","steel, low-alloyed, hot rolled",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.029299207093740436,consumption market for sodium bicarbonate,sodium bicarbonate,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.06667335999827864,"consumption market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.28756553020902925,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.0188916933842826,consumption market for polyacrylamide,polyacrylamide,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River","Au, usable ore",0.8096946841242085,consumption market for lime,lime,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.012175572779406228,consumption market for sodium bicarbonate,sodium bicarbonate,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.0001580048732756244,consumption market for sodium bicarbonate,sodium bicarbonate,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.020774141126444524,"consumption market for activated carbon, granular","activated carbon, granular",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.0002695902357584099,"consumption market for activated carbon, granular","activated carbon, granular",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.02978544075414065,"consumption market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.0003865316956403692,"consumption market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.0005159141008222977,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
