site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
QC-MAIN-6dc537e6,"Au, UG mining and beneficiation at Éléonore",Ore processed,3.0258934502598863e-07,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,"Au, UG mining and beneficiation at Éléonore",Ore processed,5.395009974378001e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,"Au, UG mining and beneficiation at Éléonore",Ore processed,1.358418338567345e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,"Au, UG mining and beneficiation at Éléonore",Ore processed,1.847572792537732e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,"Au, UG mining and beneficiation at Éléonore",Ore processed,0.00014921243297611223,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-6dc537e6,"Au, UG mining and beneficiation at Éléonore",Ore processed,2.1258921131848284e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,"Cu and Mo, OP mining and beneficiation at Gibraltar",Ore processed,1.3051573643410853e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,"Cu and Mo, OP mining and beneficiation at Gibraltar",Ore processed,2.9122372372372373e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,"Cu and Mo, OP mining and beneficiation at Gibraltar",Ore processed,1.7706155303030302e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
BC-MAIN-6b4800fe,"Cu and Mo, OP mining and beneficiation at Gibraltar",Ore processed,3.2543103448275863e-10,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,"Cu and Mo, OP mining and beneficiation at Gibraltar",Ore processed,1.5700614412333333e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,6.197658193788969e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,1.04283241403222e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,1.2755199262188896e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,1.2755199262188896e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,1.0508694672008572e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,1.0508694672008572e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-c0660aec,"Au and Ag and Zn, UG mining and beneficiation at Goldex",Ore processed,8.485941163393784e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-6e9be24e,"Au, OP and UG mining and beneficiation at Hemlo (Williams)",Ore processed,0.0004889380723201809,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-6e9be24e,"Au, OP and UG mining and beneficiation at Hemlo (Williams)",Ore processed,0.00023775502385844016,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-687b8c8d,"Au, UG mining and beneficiation at Island",Ore processed,1.6332276404985786e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-687b8c8d,"Au, UG mining and beneficiation at Island",Ore processed,0.00021144847989558278,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-687b8c8d,"Au, UG mining and beneficiation at Island",Ore processed,1.1193735728924579e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-687b8c8d,"Au, UG mining and beneficiation at Island",Ore processed,7.390741386477229e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-687b8c8d,"Au, UG mining and beneficiation at Island",Ore processed,3.5351547281519964e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
YT-MAIN-44857446,"Ag and Zn and Pb, UG mining and beneficiation at Keno Hill Silver District",Ore processed,1.0174466638193894e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
YT-MAIN-44857446,"Ag and Zn and Pb, UG mining and beneficiation at Keno Hill Silver District",Ore processed,1.4742949375847998e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
YT-MAIN-44857446,"Ag and Zn and Pb, UG mining and beneficiation at Keno Hill Silver District",Ore processed,6.195247107289702e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
YT-MAIN-44857446,"Ag and Zn and Pb, UG mining and beneficiation at Keno Hill Silver District",Ore processed,0.0001382123691258957,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-YK,ecoinvent-3.10-cutoff regionalized
QC-MAIN-9de9bb0d,"Au, OP mining and beneficiation at Kiena",Ore processed,5.189591311444535e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-9de9bb0d,"Au, OP mining and beneficiation at Kiena",Ore processed,1.3904607099409034e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-9de9bb0d,"Au, OP mining and beneficiation at Kiena",Ore processed,8.629676766408511e-09,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-9de9bb0d,"Au, OP mining and beneficiation at Kiena",Ore processed,0.00020122732123799362,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-9de9bb0d,"Au, OP mining and beneficiation at Kiena",Ore processed,0.00016768956851654214,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
ON-MAIN-a3c56a83,"Pt, OP and UG mining and beneficiation at Lac des Iles",Ore processed,1.128407006245121e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-a3c56a83,"Pt, OP and UG mining and beneficiation at Lac des Iles",Ore processed,1.349839968774395e-06,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-a3c56a83,"Pt, OP and UG mining and beneficiation at Lac des Iles",Ore processed,3.181111053864168e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,9.167824645433846e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,5.315430756620358e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,5.0205235396399585e-09,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,9.533709569133384e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,5.3672447785653697e-08,consumption market for liquefied petroleum gas,liquefied petroleum gas,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,2.2303883857593871e-07,consumption market for liquefied petroleum gas,liquefied petroleum gas,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,"Au, UG mining and beneficiation at Lamaque",Ore processed,2.6058244472903484e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,0.00017650518107533558,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,3.421769645999047e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,7.874422638482669e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,7.874422638482669e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
