main_id,facility_group_id,facility_name,facility_group_name,province,facility_type,mining_processing_type,commodities,ore_processed_t,Au_t,Ag_t,Cu_t,Ni_t,Co_t,Mo_t,Zn_t,Pb_t,Fe_t,Pt_t,Pd_t,U_t,Nb_t,Au_$,Ag_$,Cu_$,Ni_$,Co_$,Mo_$,Zn_$,Pb_$,Fe_$,Pt_$,U_$,N_$,Sum,%Au,%Cu,Main_product,facility_type.1,mining_processing_type.1,activity_name,site_id
,GRP-21eee27d,Key Lake + McArthur River,,Saskatchewan,mining,"Underground, Concentrator",Uranium,98408.8710325432,,,,,,,,,,,,6123.492,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1051.4035764,0.0,0.0,,,U,mining,"Underground, Concentrator","U, Underground mining and beneficiation at Key Lake + McArthur River",GRP-21eee27d
SK-MAIN-60ba74c4,,McClean Lake,,Saskatchewan,mining,Concentrator,Uranium,,,,,,,,,,,,,8164.656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1401.8714352,0.0,0.0,,,U,mining,Concentrator,"U, and beneficiation at McClean Lake",SK-MAIN-60ba74c4
ON-MAIN-7001a391,,McCreedy West,,Ontario,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",317660.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,mining,Underground,,ON-MAIN-7001a391
NU-MAIN-8b0264c9,,Meliadine,,Nunavut,mining,"Open-pit, underground, concentrator",Gold,1918143.0,11.3260595934999,0.8397945,,,,,,,,,,,,586612.1335441855,564.451077285,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,587176.5846214705,0.9990387030204059,0.0,Au (Ag),mining,"Open-pit, underground, concentrator","Au and Ag, Open-pit and underground mining and beneficiation at Meliadine",NU-MAIN-8b0264c9
BC-MAIN-ed23117f,,Mount Milligan,,British Columbia,mining,"Open-pit, concentrator","Copper, gold, silver",21680000.0,4.8021004685,,28060.108304,,,,,,,,,,,248715.83784858376,0.0,193614.74729760003,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,442330.5851461838,0.5622849655905816,0.43771503440941845,Au+Cu,mining,"Open-pit, concentrator","Au and Cu, Open-pit mining and beneficiation at Mount Milligan",BC-MAIN-ed23117f
BC-MAIN-3f490561,,Mount Polley,,British Columbia,mining,"Open-pit, concentrator","Gold, copper, silver",5948239.0,1.301183819,,13673.53084,,,,,,,,,,,67392.38919728257,0.0,94347.362796,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,161739.75199328258,0.4166717728124223,0.5833282271875776,Cu+Au,mining,"Open-pit, concentrator","Au and Cu, Open-pit mining and beneficiation at Mount Polley",BC-MAIN-3f490561
ON-MAIN-fefeaee4,,Musselwhite,,Ontario,mining,"Underground, concentrator","Gold, silver",1028000.0,5.59863,,,,,,,,,,,,,289970.59940505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,289970.59940505,1.0,0.0,Au,mining,"Underground, concentrator","Au, Underground mining and beneficiation at Musselwhite",ON-MAIN-fefeaee4
BC-MAIN-aa76f6f2,,New Afton,,British Columbia,mining,"Underground, concentrator","Gold, copper, silver",3065000.0,2.0974023155,,21500.2608,,,,,,,,,,,108631.0412760041,0.0,148351.79952,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,256982.8407960041,0.42271710025276227,0.5772828997472378,Cu+Au,mining,"Underground, concentrator","Au and Cu, Underground mining and beneficiation at New Afton",BC-MAIN-aa76f6f2
ON-MAIN-fcb287a4,GRP-de097f20,Nickel Rim South,Integrated Nickel Operations,Ontario,mining,Underground,"Nickel, copper, cobalt, platinum group metals, gold",320160.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,mining,Underground,,ON-MAIN-fcb287a4
QC-MAIN-a555d9b9,,Niobec,,Quebec,mining,"Underground, concentrator",Niobium,2200000.0,,,,,,,,,,,,,6568.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,517501.881,0.0,,,Nb,mining,"Underground, concentrator","Nb, Underground mining and beneficiation at Niobec",QC-MAIN-a555d9b9
