site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,0.00041819354039876873,consumption market for acetylene,acetylene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,1.8320327123765479,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,7.2526460705213145,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,2.1786333864238268,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,171.72607535313733,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,0.3320214060689548,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,0.9851085688518715,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,Doré,0.05964211956573842,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Doré,2.0484276991702863,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Doré,23.228174595145614,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Doré,0.03322099242162716,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Doré,0.03322099242162716,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Doré,0.15927299774800177,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Doré,0.001086236219048431,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,Doré,2.503356520781824,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,Doré,39.15053322277846,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,Doré,0.11469526444817571,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,Doré,0.2623829213966693,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,Cu concentrate,2.9650247207471164e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,Cu concentrate,0.008608930771653544,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,Cu concentrate,1.30524225012414e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,Cu concentrate,3.4346999728482216e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,3.8233005049940783,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,34.61137028296849,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,0.9034937057525884,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,0.9034937057525884,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,0.0674541949938429,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,0.0674541949938429,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,Doré,0.16379763029191632,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,Doré,0.8509264153780042,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,Doré,1.0311304312201794,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,Doré,13.8885823446087,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,Doré,0.09813522624348593,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,Doré,0.4489485483714514,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,Doré,0.06494474760290271,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,Doré,1.1579309280405392,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,Doré,0.010611167430751932,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,Doré,32.025462753873065,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,Doré,0.02915573122042136,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,Doré,0.39654452696953857,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,Cu concentrate,0.00021117543841960598,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,Mo concentrate,0.0008948941767230839,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,Cu concentrate,0.0025403711633313767,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
