site_id,activity_name,functional_unit,Amount,Unit,Flow Name,Compartments,Database
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.2192632046160677e-10,kilogram,Cyanide,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('soil',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('soil',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,6.56720744223122e-13,kilogram,Lead II,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('air', 'urban air close to ground')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('air', 'urban air close to ground')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('air', 'urban air close to ground')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('air', 'urban air close to ground')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('air', 'urban air close to ground')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('soil',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.7174651485094705e-11,kilogram,Manganese II,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.3777820049457866e-10,kilogram,"Nitric acid, CA-ON","('air',)",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.1908022862939996e-07,kilogram,Nitrogen oxides,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.1908022862939996e-07,kilogram,Nitrogen oxides,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.1908022862939996e-07,kilogram,Nitrogen oxides,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.1908022862939996e-07,kilogram,Nitrogen oxides,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.1908022862939996e-07,kilogram,Nitrogen oxides,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.264554290424558e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.264554290424558e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.264554290424558e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.264554290424558e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.264554290424558e-12,kilogram,Phosphorus,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.264554290424558e-12,kilogram,Phosphorus,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396473e-14,kilogram,Thallium I,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396473e-14,kilogram,Thallium I,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396473e-14,kilogram,Thallium I,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396473e-14,kilogram,Thallium I,"('soil',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396473e-14,kilogram,Thallium I,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396473e-14,kilogram,Thallium I,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,4.8024402837033614e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.5779957788708025e-12,kilogram,Vanadium V,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.5779957788708025e-12,kilogram,Vanadium V,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.5779957788708025e-12,kilogram,Vanadium V,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.5779957788708025e-12,kilogram,Vanadium V,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,3.5779957788708025e-12,kilogram,Vanadium V,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.8116434323396468e-12,kilogram,Zinc II,"('water',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,1.7481206260925753e-10,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,1.7481206260925753e-10,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,1.7481206260925753e-10,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,1.7481206260925753e-10,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,1.7481206260925753e-10,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,5.20974562825609e-10,kilogram,Nitrogen oxides,"('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,5.20974562825609e-10,kilogram,Nitrogen oxides,"('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,5.20974562825609e-10,kilogram,Nitrogen oxides,"('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,5.20974562825609e-10,kilogram,Nitrogen oxides,"('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,5.20974562825609e-10,kilogram,Nitrogen oxides,"('air',)",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,9.981018756238137e-11,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,9.981018756238137e-11,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,9.981018756238137e-11,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,9.981018756238137e-11,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,9.981018756238137e-11,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,3.5193187521995745e-11,kilogram,"Particulate Matter, < 2.5 um, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,3.5193187521995745e-11,kilogram,"Particulate Matter, < 2.5 um, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,3.5193187521995745e-11,kilogram,"Particulate Matter, < 2.5 um, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,3.5193187521995745e-11,kilogram,"Particulate Matter, < 2.5 um, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,3.5193187521995745e-11,kilogram,"Particulate Matter, < 2.5 um, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,4.534728752834206e-10,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,4.534728752834206e-10,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,4.534728752834206e-10,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,4.534728752834206e-10,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,4.534728752834206e-10,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,2.8846875018029295e-11,kilogram,"NMVOC, non-methane volatile organic compounds, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,2.8846875018029295e-11,kilogram,"NMVOC, non-methane volatile organic compounds, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,2.8846875018029295e-11,kilogram,"NMVOC, non-methane volatile organic compounds, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,2.8846875018029295e-11,kilogram,"NMVOC, non-methane volatile organic compounds, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,2.8846875018029295e-11,kilogram,"NMVOC, non-methane volatile organic compounds, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,Ore processed,2.8846875018029295e-11,kilogram,"NMVOC, non-methane volatile organic compounds, CA-QC","('air', 'low population density long term')",biosphere3_spatialized_flows
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('water',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,4.957758623835657e-13,kilogram,Arsenic ion,"('water',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('soil', 'industrial')",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('soil', 'industrial')",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('water',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.0622096475601664e-13,kilogram,Cadmium II,"('water',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,2.262618772427e-07,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,2.262618772427e-07,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,2.262618772427e-07,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,2.262618772427e-07,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,2.262618772427e-07,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.141729266274725e-13,kilogram,Chromium III,"('air',)",biosphere3
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,Ore processed,1.141729266274725e-13,kilogram,Chromium III,"('air',)",biosphere3
