main_id,facility_group_id,Amount,Activity,Product,Unit,Location,Database
QC-MAIN-02884fb5,,8.375241779497098e-08,"consumption market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,1.4506769825918763e-09,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,3.861702127659e-07,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,4.4680851063829786e-08,consumption market for polyacrylamide,polyacrylamide,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,4.3520309477756284e-09,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,1.9361702127649999e-07,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,4.902611218568601e-06,consumption market for lime,lime,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,1.827852998065764e-08,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,5.212765957446e-07,"consumption market for sulfur dioxide, liquid","sulfur dioxide, liquid",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,,7.833655705996132e-09,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
ON-MAIN-7607a50e,,6.795233017389e-07,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
