main_id,facility_group_id,Amount,Unit,Flow Name,Compartments,Database
,GRP-147b3123,1.2071156289707752e-12,kilogram,Zinc II,"('air',)",biosphere3
,GRP-147b3123,1.2071156289707752e-12,kilogram,Zinc II,"('air',)",biosphere3
,GRP-147b3123,1.2071156289707752e-12,kilogram,Zinc II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,1.2071156289707752e-12,kilogram,Zinc II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,1.2071156289707752e-12,kilogram,Zinc II,"('water',)",biosphere3
,GRP-147b3123,1.2071156289707752e-12,kilogram,Zinc II,"('water',)",biosphere3
,GRP-147b3123,6.353240152477763e-13,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,6.353240152477763e-13,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,6.353240152477763e-13,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,6.353240152477763e-13,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,6.353240152477763e-13,kilogram,Phosphorus,"('water',)",biosphere3
,GRP-147b3123,6.353240152477763e-13,kilogram,Phosphorus,"('water',)",biosphere3
,GRP-147b3123,1.2706480304955526e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,1.2706480304955526e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,1.2706480304955526e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,1.2706480304955526e-12,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
,GRP-147b3123,1.2706480304955526e-12,kilogram,Phosphorus,"('water',)",biosphere3
,GRP-147b3123,1.2706480304955526e-12,kilogram,Phosphorus,"('water',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('air',)",biosphere3
