technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key,subflow_type_agg
TECH-02884fb5-2023-3,2023,Energy,ANFO,GJ,1530.9,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,1530900.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1034000.0,,1034000.0,1.4805609284332688,main_id,Explosives
TECH-02884fb5-2023-4,2023,Energy,Emulsion ANFO,GJ,4260.6,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,4260600.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1034000.0,,1034000.0,4.120502901353965,main_id,Explosives
TECH-02884fb5-2023-5,2023,Energy,Propane,GJ,33.0,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,33000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1034000.0,,1034000.0,0.031914893617021274,main_id,LPG-Propane
TECH-02884fb5-2023-6,2023,Energy,Natural gas,GJ,63958.3,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,63958300.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1034000.0,,1034000.0,61.85522243713733,main_id,Natural gas
TECH-02884fb5-2023-7,2023,Energy,Electricity consumption|Grid electricity,GJ,525946.7,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,525946699.99999994,direct_unit,gj→MJ factor=1000.0,MJ,False,1034000.0,,1034000.0,508.65251450676976,main_id,Electricity
TECH-0aadf28f-2023-1,2023,Energy,Diesel,l,42378137.86,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_ESG_data_2023,1635796121.3960001,lhv_factor,diesel MJ/L=38.6,MJ,False,8764000.0,,8764000.0,186.64948897717937,main_id,Diesel
TECH-0aadf28f-2023-2,2023,Energy,Gasoline,l,1147190.1,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_ESG_data_2023,39233901.42000001,lhv_factor,gasoline MJ/L=34.2,MJ,False,8764000.0,,8764000.0,4.476711709265177,main_id,Gasoline
TECH-0aadf28f-2023-3,2023,Energy,Propane,l,3691412.93,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_ESG_data_2023,93392747.12900001,lhv_factor,propane MJ/L=25.3,MJ,False,8764000.0,,8764000.0,10.656406564240074,main_id,LPG-Propane
TECH-0aadf28f-2023-4,2023,Energy,Explosives,kg,14805627.0,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_ESG_data_2023,59222508.0,lhv_factor,explosives MJ/kg=4.0,MJ,False,8764000.0,,8764000.0,6.757474669100867,main_id,Explosives
TECH-0aadf28f-2023-5,2023,Energy,Electricity consumption,GJ,2919222.0,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_ESG_data_2023,2919222000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,8764000.0,,8764000.0,333.09242355089003,main_id,Electricity
TECH-fefeaee4-2023-1,2023,Energy,Diesel,GJ,287042.447231542,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,287042447.23154205,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,1729.1713688647112,main_id,Diesel
TECH-fefeaee4-2023-2,2023,Energy,Used oil,GJ,2344.0244,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,2344024.4,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,14.12062891566265,main_id,Other
TECH-fefeaee4-2023-3,2023,Energy,Gasoline,GJ,13568.45,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,13568450.0,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,81.73765060240964,main_id,Gasoline
TECH-fefeaee4-2023-4,2023,Energy,Propane,GJ,42071.0413,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,42071041.3,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,253.4400078313253,main_id,LPG-Propane
TECH-fefeaee4-2023-5,2023,Energy,Aviation fuel,GJ,72676.1107896,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,72676110.7896,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,437.80789632289157,main_id,Aviation fuel
TECH-fefeaee4-2023-6,2023,Energy,Acetylene,GJ,18.475650648,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,18475.650648,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,0.11129910028915661,main_id,LPG-Propane
TECH-fefeaee4-2023-7,2023,Energy,Electricity consumption,GJ,569009.5848,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,569009584.8,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,3427.76858313253,main_id,Electricity
TECH-fefeaee4-2023-8,2023,Energy,Electricity consumption|Generated on-site,GJ,86225.1173956,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,86225117.39559999,direct_unit,gj→MJ factor=1000.0,MJ,False,166000.0,,166000.0,519.4284180457831,main_id,Electricity
TECH-538513cd-2023-1,2023,Energy,Diesel,GJ,385327.7974,,ON-MAIN-538513cd,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,385327797.4,direct_unit,gj→MJ factor=1000.0,MJ,False,1661000.0,,1661000.0,231.98542889825404,main_id,Diesel
TECH-538513cd-2023-2,2023,Energy,Gasoline,GJ,10018.1179,,ON-MAIN-538513cd,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,10018117.899999999,direct_unit,gj→MJ factor=1000.0,MJ,False,1661000.0,,1661000.0,6.031377423239012,main_id,Gasoline
TECH-538513cd-2023-3,2023,Energy,Propane,GJ,142393.17415,,ON-MAIN-538513cd,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,142393174.15,direct_unit,gj→MJ factor=1000.0,MJ,False,1661000.0,,1661000.0,85.72737757375076,main_id,LPG-Propane
TECH-538513cd-2023-4,2023,Energy,Aviation fuel,GJ,21662.09888,,ON-MAIN-538513cd,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,21662098.880000003,direct_unit,gj→MJ factor=1000.0,MJ,False,1661000.0,,1661000.0,13.04160077062011,main_id,Aviation fuel
TECH-538513cd-2023-5,2023,Energy,Electricity consumption,GJ,892229.95044,,ON-MAIN-538513cd,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,892229950.44,direct_unit,gj→MJ factor=1000.0,MJ,False,1661000.0,,1661000.0,537.1643289825407,main_id,Electricity
TECH-538513cd-2023-6,2023,Energy,Electricity consumption|Generated on-site,GJ,3531.1068,,ON-MAIN-538513cd,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,3531106.8,direct_unit,gj→MJ factor=1000.0,MJ,False,1661000.0,,1661000.0,2.1258921131848285,main_id,Electricity
TECH-8eb8be0d-2023-1,2023,Energy,Diesel,GJ,308614.730821,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,308614730.821,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,300.2088821215953,main_id,Diesel
TECH-8eb8be0d-2023-2,2023,Energy,Gasoline,GJ,5437.635,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,5437635.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,5.289528210116732,main_id,Gasoline
TECH-8eb8be0d-2023-3,2023,Energy,Propane,GJ,229891.86895,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,229891868.95000002,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,223.6302227140078,main_id,LPG-Propane
TECH-8eb8be0d-2023-4,2023,Energy,Aviation fuel,GJ,27653.22904,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,27653229.04,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,26.900028249027237,main_id,Aviation fuel
TECH-8eb8be0d-2023-5,2023,Energy,Solar,GJ,1483.2,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,1483200.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,1.4428015564202334,main_id,Electricity
TECH-8eb8be0d-2023-6,2023,Energy,Biodiesel,GJ,11770.3702287417,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,11770370.2287417,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,11.44977648710282,main_id,Diesel
TECH-8eb8be0d-2023-7,2023,Energy,Electricity consumption,GJ,509889.6,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,509889600.0,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,496.00155642023344,main_id,Electricity
TECH-8eb8be0d-2023-8,2023,Energy,Electricity consumption|Generated on-site,GJ,3808.98428206273,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,3808984.28206273,direct_unit,gj→MJ factor=1000.0,MJ,False,1028000.0,,1028000.0,3.7052376284656905,main_id,Electricity
TECH-GRP-0d911886-2023-1,2023,Energy,Diesel,GJ,623021.868616,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,623021868.616,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,214.0233145365854,facility_group_id,Diesel
TECH-GRP-0d911886-2023-2,2023,Energy,Gasoline,GJ,17195.8465,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,17195846.5,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,5.907195637238063,facility_group_id,Gasoline
TECH-GRP-0d911886-2023-3,2023,Energy,Natural gas,GJ,166705.0,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,166705000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,57.26726210924081,facility_group_id,Natural gas
TECH-GRP-0d911886-2023-4,2023,Energy,Propane,GJ,6336.0580703,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,6336058.0703,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,2.176591573445551,facility_group_id,LPG-Propane
TECH-GRP-0d911886-2023-5,2023,Energy,Biodiesel,GJ,23524.436671511,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,23524436.671511002,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,8.081221804023016,facility_group_id,Diesel
TECH-GRP-0d911886-2023-6,2023,Energy,Electricity consumption,GJ,723967.2,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,723967200.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,248.700515286843,facility_group_id,Electricity
TECH-GRP-0d911886-2023-7,2023,Energy,Electricity consumption|Generated on-site,GJ,91025.4822599152,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_2023-Performance-data,91025482.2599152,direct_unit,gj→MJ factor=1000.0,MJ,False,,2911000.0,2911000.0,31.26948892473899,facility_group_id,Electricity
TECH-GRP-147b3123-2023-1,2023,Energy,Diesel,GJ,384285.8,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,384285800.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,244.14599745870393,facility_group_id,Diesel
