subflow_type_agg,mining_method,n,min,max,p05,p50,p95,best_dist,AIC,BIC,KS_p,params_json
Aviation fuel,Concentrator,1,0.0596176851589078,0.0596176851589078,0.0596176851589078,0.0596176851589078,0.0596176851589078,insufficient_data,,,,{}
Aviation fuel,"Open-pit, concentrator",1,24.66823842822938,24.66823842822938,24.66823842822938,24.66823842822938,24.66823842822938,insufficient_data,,,,{}
Aviation fuel,"Underground, concentrator",2,8.647769265051972,216.12883405956393,19.021822504777568,112.38830166230795,205.75478081983832,insufficient_data,,,,{}
Diesel,Concentrator,3,0.2144159895481208,539.8516773022543,0.2620463172618348,0.6907192666852608,485.93558149869733,lognormal,28.705226934238745,26.902451511574963,0.6810585962304909,"{'mu_log': 1.4604784489579676, 'sigma_log': 3.4491259123744684, 'scale': 4.308020203119133}"
Diesel,"Open-pit, concentrator",3,6.296527715123387,275.9442447203686,25.896081763085206,202.29206819474155,268.5790270678059,gamma,40.27764111708801,38.47486569442423,0.6259354051032573,"{'shape': 0.7262301300879758, 'scale': 222.39637297502242}"
Diesel,"Open-pit, underground, concentrator",2,4.366383367048331,14.724544451962648,4.884291421294047,9.54546390950549,14.206636397716933,insufficient_data,,,,{}
Diesel,"Underground, concentrator",8,28.042548074942513,826.2981461673744,45.264321771264925,172.47260489104872,660.3449937477671,lognormal,107.27229334210782,107.43117642546748,0.984594724889927,"{'mu_log': 5.06828667094848, 'sigma_log': 0.9678222154763556, 'scale': 158.90184283846926}"
Electricity,Concentrator,3,1.1879844206008088,799.0826645999209,1.5667659841544475,4.975800056137194,719.6719781455424,lognormal,35.59843011796339,33.79565469529961,0.773543318096162,"{'mu_log': 2.820102893452282, 'sigma_log': 2.7936908111886827, 'scale': 16.778576989035777}"
Electricity,"Open-pit, concentrator",3,7.483169194284101,670.3637987454416,32.81697903051152,260.82126755655827,629.4095456265533,gamma,43.78020338414868,41.9774279614849,0.9151725397832972,"{'shape': 0.5894015023196828, 'scale': 530.859542435282}"
Electricity,"Open-pit, underground, concentrator",2,5.567255582161539,32.28572544388292,6.903179075247608,18.92649051302223,30.949801950796846,insufficient_data,,,,{}
Electricity,"Underground, concentrator",8,139.89452613848638,1889.0468144936804,149.3775690561921,300.04511879787196,1523.465516266382,lognormal,117.66378474317136,117.82266782653103,0.7147676425923362,"{'mu_log': 5.903657418779654, 'sigma_log': 0.8036355524564354, 'scale': 366.3750072353926}"
Explosives,"Open-pit, concentrator",1,8.928646264592315,8.928646264592315,8.928646264592315,8.928646264592315,8.928646264592315,insufficient_data,,,,{}
Explosives,"Open-pit, underground, concentrator",1,0.04845837993757915,0.04845837993757915,0.04845837993757915,0.04845837993757915,0.04845837993757915,insufficient_data,,,,{}
Explosives,"Underground, concentrator",3,2.7970834180466757,15.364852522905952,2.7990624231213843,2.8168734687937618,14.110054617494733,lognormal,20.77771211960234,18.97493669693856,0.5242792243453798,"{'mu_log': 1.598762468685283, 'sigma_log': 0.8013835171002853, 'scale': 4.946906682847403}"
Gasoline,Concentrator,2,0.0010383599625959775,0.011615088926812869,0.001567196410806822,0.006326724444704423,0.011086252478602024,insufficient_data,,,,{}
Gasoline,"Open-pit, concentrator",3,0.15393649241168816,5.424754237790736,0.6489486780067626,5.104058348362432,5.392684648847905,gamma,17.453905320110586,15.651129897446808,0.5174395992375023,"{'shape': 0.7595860145772154, 'scale': 4.68796988252031}"
Gasoline,"Open-pit, underground, concentrator",2,0.09773246079254269,0.3973308394291882,0.11271237972437496,0.24753165011086542,0.38235092049735586,insufficient_data,,,,{}
Gasoline,"Underground, concentrator",8,0.457246927468157,40.74251035986341,0.8676279882608371,3.6265835959075066,40.72634990311457,lognormal,59.55665240498597,59.71553548834564,0.9324511213553733,"{'mu_log': 1.6354522336476447, 'sigma_log': 1.5187688027768802, 'scale': 5.1317782351329235}"
LPG-Propane,Concentrator,3,0.03498769287540182,164.75159202152042,0.08105138533086101,0.49562461742999375,148.32599528111137,lognormal,22.184032113622266,20.381256690958484,0.9229656662806609,"{'mu_log': 0.3499144888813062, 'sigma_log': 3.531840053855911, 'scale': 1.4189462077277455}"
LPG-Propane,"Open-pit, concentrator",2,0.16425284492934364,16.200475172466025,0.9660639613061778,8.182364008697684,15.39866405608919,insufficient_data,,,,{}
LPG-Propane,"Open-pit, underground, concentrator",1,0.01821019624816215,0.01821019624816215,0.01821019624816215,0.01821019624816215,0.01821019624816215,insufficient_data,,,,{}
LPG-Propane,"Underground, concentrator",7,0.031690095532782486,201.46157300385934,0.10519590748084494,42.928207530762535,178.9414821320043,gamma,67.17771577092157,67.0695360690322,0.8552902420928225,"{'shape': 0.3339996437331938, 'scale': 195.74681341691758}"
Naphtha,"Underground, concentrator",1,1.102114494043586,1.102114494043586,1.102114494043586,1.102114494043586,1.102114494043586,insufficient_data,,,,{}
Natural gas,"Open-pit, concentrator",2,1.76913369567442,150.14938349460542,9.18814618562097,75.95925859513991,142.73037100465885,insufficient_data,,,,{}
Natural gas,"Open-pit, underground, concentrator",1,1.372291989831999,1.372291989831999,1.372291989831999,1.372291989831999,1.372291989831999,insufficient_data,,,,{}
Natural gas,"Underground, concentrator",3,31.255910281170507,90.65992271409722,31.980284531331943,38.499652782784864,85.44389572096598,lognormal,31.064797105411003,29.26202168274722,0.7408546722033764,"{'mu_log': 3.8666577009843173, 'sigma_log': 0.4607974439402582, 'scale': 47.78241577422947}"
Other,Concentrator,1,42.99978311586787,42.99978311586787,42.99978311586787,42.99978311586787,42.99978311586787,insufficient_data,,,,{}
Other,"Underground, concentrator",1,7.039093245427429,7.039093245427429,7.039093245427429,7.039093245427429,7.039093245427429,insufficient_data,,,,{}
