Commodity,"Climate change, human health, long term","Climate change, human health, short term","Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, human health",Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, human health","Water availability, human health"
Gold,0.5067624517293482,0.15469196097602833,0.00517241047976792,0.014022438563373235,0.1464631954693102,0.02245221841713437,0.0002779658556284034,1.279119604792277e-06,0.1160507880552621,0.0005002005551117712,0.033605092200303534
Silver,0.5362863134242916,0.16498968335800426,0.001159248425724748,0.05288179624271731,0.04790184870359631,0.02980519383418625,0.0002775416158226256,1.7000832153395747e-06,0.13212298799881494,0.000799861260512444,0.03377382366160553
Copper,0.14990518594911234,0.046245151624482596,0.00935710968821408,0.018041579628945526,0.3258693175583554,0.22559961680241492,7.926103730411264e-05,3.877257203243841e-07,0.1919672699169222,0.0002561350030699979,0.0326789878937966
Cobalt,0.2853519032036708,0.0878152846983813,0.0019972374243002874,0.061024080178629515,0.068775469436798,0.027761623973796345,0.0008101138071965548,1.7576723112644782e-06,0.06335693524891452,0.00016709956040771517,0.40293849066830134
"Nickel, class 1",0.2616801842592026,0.0811365307252069,0.0026461845156759175,0.005301655215954161,0.026676116924991146,0.006927679404172983,0.00035648642367468305,1.028309251347147e-06,0.4343401418003753,0.00021263140825865753,0.18072136043879186
Platinum,0.5229479814153963,0.15948410512472816,0.0008678322389097813,0.0025422155563937956,0.02488910741533116,0.005698583919137776,6.85197997848581e-05,7.447482490926723e-07,0.2606538739310006,0.0019182175034900383,0.020928819211653474
Uranium ore,0.5210874219609689,0.15965434383463598,0.0003270942661196306,0.00441000252428056,0.014201910944117992,0.05826462407839835,0.08023613022858321,2.214167897849943e-06,0.11946837013657284,0.0016163818659907163,0.04073150503623871
