Commodity,Total HH (DALY)_EI,Total EQ (PDF.m2.yr)_EI,Total HH (DALY)_RI,Total EQ (PDF.m2.yr)_RI
Gold,0.49792647255732625,92327.93178623886,0.39168786387017895,67931.39269739354
Silver,0.004440813259211918,1114.6979008474318,0.0043106694183961645,1069.3479085910622
Copper,0.0002343814863877019,37.53012324735958,0.000315890125997562,46.48004433480435
Cobalt,0.000833879956225192,58.12680747716712,0.0008422338114810594,59.420517090608726
"Nickel, class 1",0.0003457721362700337,67.91615776285084,0.0004216973221140559,102.5111362517219
Uranium ore,0.00024845177515426056,92.67487056407144,0.00041436777651171133,93.52789399792134
