Commodity,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Ionizing radiations, ecosystem quality","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,"Photochemical ozone formation, ecosystem quality",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, terrestrial ecosystem"
Copper concentrate,0.24854921372628522,0.0755630611038653,4.347151625001345e-19,0.007878225980314188,0.09132422694658349,0.02117641685381098,0.00011553675563462353,1.2939945551007833e-10,0.08804362659990515,0.2645010062562694,0.08934035907510031,0.009698071963560633,5.613967100080676e-08,3.033797684059043e-07,0.004050878165145377,0.03206425822454163,0.05379607896652885,0.002049268542107641,0.011073361180283417,0.000740341856896686,1.2740743062450944e-05,2.2962184520686404e-05
Gold-silver ingot,0.2485492103246649,0.07556306012786368,4.347151794077197e-19,0.007878225885335466,0.09132422532580309,0.021176416944649515,0.00011553675656974735,1.2939945982854282e-10,0.08804362805837317,0.26450101365957257,0.08934035783421983,0.009698071828859782,5.6139670899314884e-08,3.033797546265251e-07,0.004050878186975552,0.032064257841970444,0.05379607832880422,0.0020492685384029103,0.011073360677336132,0.000740341876915977,1.2740743658471171e-05,2.2962184454190736e-05
Lead concentrate,0.24854921549769154,0.07556306167657781,4.347151764406935e-19,0.00787822594836096,0.0913242269998309,0.02117641724390987,0.00011553675761219432,1.293994552833635e-10,0.08804362760738858,0.2645010029710583,0.08934035971112257,0.009698072032602097,5.6139671292848595e-08,3.033797558456627e-07,0.004050878240948473,0.032064257705235834,0.05379607868019373,0.0020492685527683536,0.011073360721834617,0.0007403418494000398,1.2740743129319011e-05,2.2962184762500975e-05
Zinc concentrate,0.24854921184565001,0.07556306056051652,4.347151754605808e-19,0.007878225906626513,0.0913242275579906,0.021176417122197092,0.00011553675329720828,1.2939945219766534e-10,0.08804362548635367,0.26450101127531583,0.08934035839554452,0.009698071889793342,5.613967103702827e-08,3.033797644861036e-07,0.004050878031429244,0.032064257560533035,0.053796078395698436,0.0020492685434306073,0.011073361037210726,0.0007403418355369255,1.2740742835036848e-05,2.2962184460238718e-05
Gold refined,0.34441328607024124,0.10746273346996794,5.220787037800305e-19,0.009180936522851978,0.1149599123669593,0.03526970108108956,0.00010559731563150628,1.167762523887271e-10,0.05841548476981072,0.0405762352459652,0.12241799381826562,0.013288682768198066,6.44315050093908e-08,5.647827395930097e-07,0.011808873683127781,0.05142480960265736,0.06580289901620243,0.002351996913194344,0.020614569280577213,0.000720986887436535,9.88940760923729e-06,0.0011747750442663255
Silver refined,0.3444132853636926,0.10746273329513567,5.220787043273164e-19,0.009180936509334096,0.11495991188871431,0.035269700776224634,0.00010559731501132968,1.1677625359726164e-10,0.05841548569137129,0.04057623634894418,0.1224179935087341,0.013288682734599488,6.443150528679145e-08,5.647827441580688e-07,0.01180887359136479,0.05142480960989588,0.06580289894485468,0.0023519969233186063,0.020614569447201882,0.0007209868965169979,9.889407535399802e-06,0.0011747750115975511
Iron concentrate,0.24540958155373255,0.08098584580399802,3.542675863112712e-19,0.006228627480782179,0.028873314260691153,0.016946566860679493,0.0003895966644765458,7.381233632612586e-11,0.10144058352144032,0.328375884444778,0.08393616657071828,0.009111318754218962,2.5228412568000526e-08,4.317296865104319e-08,0.004299065779778068,0.04361702898469278,0.04748988463864388,0.0009208851582553003,0.001575813320346941,0.0003843709785676444,8.875635650554508e-06,6.516076355418827e-06
Nickel concentrate,0.31979614691064,0.09895539819714938,2.800663938412668e-19,0.0067790285666835684,0.0448705855994654,0.017948961711324683,4.176008637305116e-05,1.9858225984807267e-11,0.048274791699154086,0.23324857682131434,0.11395642552632368,0.012370187433485133,2.9365535142757524e-08,4.266407932185431e-08,0.002847137976081292,0.047456769954218374,0.050276685853227004,0.0010719368744784023,0.0015572388651370528,3.8390361059318196e-05,2.285555055782127e-06,0.0005076120582438102
