Commodity,"Climate change, human health, long term","Climate change, human health, short term","Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, human health",Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, human health","Water availability, human health"
Copper concentrate,0.391750252992262,0.11909853995954717,0.0005005382263372732,0.029710430949560263,0.016756615520574045,0.18997024294813994,0.00016642292707771776,1.1130117354224914e-06,0.06966403884926976,0.000384180602032304,0.18199763043667433
Gold-silver ingot,0.3917502481264176,0.11909853857189867,0.0005005382160495458,0.029710431109573956,0.01675661518884715,0.18997024157413248,0.00016642293176757483,1.1130117280268467e-06,0.06966403791363207,0.000384180598006418,0.1819976391811315
Lead concentrate,0.3917502514468636,0.11909853954358651,0.0005005382216036206,0.029710431078216352,0.016756615346144563,0.18997024710538052,0.0001664229248030513,1.1130117349644408e-06,0.06966403777679445,0.00038418059143222066,0.18199762937661856
Zinc concentrate,0.39175025680643194,0.11909854116387296,0.0005005382326784169,0.029710431129104844,0.016756615825568488,0.18997023717339476,0.000166422926173947,1.1130117529304096e-06,0.06966403921660572,0.0003841806006659078,0.18199763033694255
Gold refined,0.39862357876075927,0.12437725634167927,0.0004086933523292633,0.03603049193196332,0.012230581767244252,0.2350618828726906,0.00012187686822140312,1.5322558485732023e-06,0.08895919024473321,0.00044941361763894765,0.10373551058825592
Silver refined,0.398623583289976,0.1243772578076751,0.00040869335806757007,0.036030491169632646,0.01223058198974001,0.23506187550479404,0.00012187687085604712,1.5322558705427242e-06,0.08895919152593237,0.00044941362369364265,0.10373551120511412
Iron concentrate,0.52120124397996,0.17199786293427768,0.00021314937396555575,0.007826693095807531,0.0057628645638332626,0.003382716681267258,0.00012029311783725602,1.9228896939852175e-06,0.11795600149996219,0.000698075072371595,0.17083918004952098
Nickel concentrate,0.6160870768300274,0.19063751342818142,0.0004894935231655134,0.009573465111905372,0.014795410736115367,0.006902416818914171,4.301873214851754e-05,1.8692840254592704e-06,0.12087409556961724,0.000689967970784859,0.039905673371043685
