main_id,facility_group_id,flow_type,subflow_type,mass,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,functional_unit,normalization_key
BC-MAIN-aa76f6f2,,Material use,2'' balls,980.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,197.51230137693008,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,2'' balls,980.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.026313040898196593,"Cu, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,3/4'' balls,179.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,36.076226475990296,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,3/4'' balls,179.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.004806157470180807,"Cu, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Anti-scalant,38.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,7.6586402574728,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Anti-scalant,38.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.0010203015858484394,"Cu, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Flocculant,192.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,38.69628761670467,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Flocculant,192.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.005155208012707904,"Cu, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Lime,2724.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,549.0035805619975,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Lime,2724.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.07313951368029338,"Cu, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Polyfroth h57,55.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,11.084874056868525,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,Polyfroth h57,55.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.0014767522953069516,"Cu, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,S60 SAG Balls,583.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Au,2.0974023155,0.42271710025276227,117.49966500280635,"Au, usable ore",metal_economic
BC-MAIN-aa76f6f2,,Material use,S60 SAG Balls,583.0,BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Cu,21500.2608,0.5772828997472378,0.01565357433025369,"Cu, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,2.5'' balls,5977.02,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,757.3174325400723,"Au, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,5.5'' balls,2819.39,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,357.23039175528174,"Au, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,Anti-scalant,231.23982,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,29.299207093740435,"Au, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,Caustic soda,526.21,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,66.67335999827864,"Au, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,Cyanide,2269.57,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,287.56553020902925,"Au, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,Flocculant,149.1,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,18.891693384282597,"Au, usable ore",metal_economic
ON-MAIN-0aadf28f,,Material use,Lime,6390.4,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,809.6946841242086,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Anti-scalant,35.4,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,12.238016984915607,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Carbon,60.4,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,20.880684347144143,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Caustic soda,86.6,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,29.938199742759647,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Compressor oil,1.5,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,0.5185600417337122,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Cyanide,399.3,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,138.0406831095142,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Explosives,1483.4,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,512.8213106051925,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Flocculant,46.2,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,15.971649285398337,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Grease,4.5,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,1.5556801252011365,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Hydraulic oil,200.2,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,69.21048023672611,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Lime,5069.3,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,1752.490946373805,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Motor/drill oil,18.9,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,6.533856525844773,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Sulfur dioxide,539.0,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,186.33590832964725,"Au, usable ore",metal_economic
QC-MAIN-02884fb5,,Material use,Transmission oil,8.1,QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Au,2.8926255,1.0,2.8002242253620455,"Au, usable ore",metal_economic
ON-MAIN-7607a50e,,Material use,Total blasting agents used e.g. ANFO,2599.5,ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Au,5.75725784999999,1.0,451.51703601394274,"Au, usable ore",metal_economic
ON-MAIN-7607a50e,,Material use,Total sodium cyanide used,1955.7,ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Au,5.75725784999999,1.0,339.6929668522669,"Au, usable ore",metal_economic
