main_id,facility_type,facility_name,commodities,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
SK-MAIN-0684a5d8,advanced project,Patterson Lake South,Uranium,0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
MB-MAIN-f7fde5b4,advanced project,Minago,Nickel,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
QC-MAIN-ae473a4e,advanced project,Lac Knife,Graphite,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
SK-MAIN-7a11ae49,advanced project,McIlvenna Bay,"Copper, zinc, gold, silver, lead",0,0,9,0,0,0,0,1,2,1,4,1,0,21,0,0,32,128
AB-MAIN-ca9625ce,advanced project,Fortune Minerals Refinery,"Cobalt, gold, bismuth, copper",0,0,9,0,0,0,0,1,0,1,4,1,0,18,0,0,32,128
NT-MAIN-b7cdf82c,advanced project,NICO,"Cobalt, gold, bismuth, copper",0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
ON-MAIN-d47616e5,advanced project,Martison,"Phosphate, niobium",0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
BC-MAIN-e1641dfb,advanced project,Decar,"Nickel, cobalt",0,0,9,0,0,0,0,1,0,1,4,1,0,56,0,0,32,128
ON-MAIN-c06904f0,advanced project,Pakeagama,"Lithium (spodumene), tantalum, tin, niobium, rubidium, cesium",0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
ON-MAIN-64bbe7e6,advanced project,Marathon,"Palladium, platinum, gold, copper, silver",0,0,9,0,0,0,0,1,9,1,4,1,0,14,0,0,32,128
QC-MAIN-22426144,advanced project,REE Recycling Facility (Saint-Bruno),Rare earth elements,0,0,9,0,0,0,0,1,0,1,4,1,0,197,0,0,32,128
MB-MAIN-0d5c2cae,manufacturing,Selkirk Division,,0,0,9,0,0,0,0,1,0,1,4,1,0,38,0,0,32,128
ON-MAIN-92cdea80,manufacturing,Whitby Division,,0,0,9,0,0,0,0,1,0,1,4,1,0,42,0,0,32,128
ON-MAIN-bddeaef0,manufacturing,Cambridge Mill,Steel,0,0,9,0,0,0,12,1,0,1,4,1,0,67,0,0,32,128
MB-MAIN-b4ca1426,manufacturing,Manitoba Mill,Steel,0,0,9,0,0,0,132,1,0,1,4,1,0,36,0,0,32,128
ON-MAIN-21b6ab35,manufacturing,Whitby Mill,Steel,0,0,9,0,0,0,238,1,0,1,4,1,0,42,0,0,32,128
