main_id,facility_type,facility_name,commodities,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
QC-MAIN-d6748d40,advanced project,Matawinie,Graphite,0,0,9,1,0,0,0,1,0,1,4,1,0,114,0,0,32,128
QC-MAIN-69bb36c1,advanced project,Caber Complex,"Zinc, copper, silver, gold",0,0,9,0,0,0,0,1,1,1,4,1,0,11,0,0,32,128
SK-MAIN-60ba74c4,mining,McClean Lake,Uranium,1,0,9,0,0,0,0,1,11,1,4,1,2,2,0,0,32,128
NT-MAIN-b99d4cb2,advanced project,Pine Point,"Zinc, lead",0,0,9,0,0,0,0,1,11,1,4,1,0,2,0,1,32,128
NL-MAIN-a498ddc6,advanced project,Michelin,Uranium,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
ON-MAIN-bfbcd72e,mining,Bell Creek,Gold,1,0,9,0,0,0,1,1,0,1,4,1,0,12,0,1,32,128
ON-MAIN-f3e6ff08,mining,Timmins West,Gold,1,0,9,0,0,0,40,1,7,1,4,1,0,8,0,0,32,128
QC-MAIN-3aa117d8,manufacturing,Alma,Aluminum (pure or alloyed),0,0,9,0,0,0,167,1,0,1,4,1,2,49,0,0,32,128
QC-MAIN-c1c7eb99,manufacturing,Arvida,"Aluminum (pure or alloyed), alumina, aluminum chemicals, composites",0,0,9,0,0,0,348,1,0,1,4,1,2,64,0,0,32,128
QC-MAIN-01c1e81f,manufacturing,Grande-Baie,Aluminum (pure or alloyed),0,0,9,0,0,0,210,1,0,1,4,1,2,81,0,0,32,128
BC-MAIN-eb47f7c7,manufacturing,Kitimat,Aluminum (pure or alloyed),0,0,9,0,0,0,0,1,0,1,4,1,1,64,0,0,32,128
QC-MAIN-c0e3a48b,manufacturing,Laterrière,Aluminum (pure or alloyed),0,0,9,0,0,0,138,1,0,1,4,1,2,64,0,0,32,128
QC-MAIN-92628f16,manufacturing,Vaudreuil,Alumina,0,0,9,0,0,0,57,1,3,1,4,1,2,64,0,2,32,128
QC-MAIN-8d6616b4,manufacturing,Alouette,Aluminum (pure),0,0,9,0,0,0,214,1,0,1,4,1,2,65,0,0,32,128
NT-MAIN-0ec39ce0,mining,Diavik,Diamonds,1,0,9,0,0,0,1,1,2,1,4,1,0,0,0,1,32,128
QC-MAIN-e82266c5,mining,Lac Tio,Ilmenite,1,0,9,0,0,0,0,1,1,1,4,1,2,25,5,0,32,128
QC-MAIN-11c40b1f,advanced project,Lithium Demonstration Plant,Lithium,0,0,9,0,0,0,0,1,1,1,4,1,0,139,0,0,32,128
QC-MAIN-3e146840,manufacturing,Rio Tinto Iron and Titanium,"Steel, titanium dioxide, scandium",0,0,9,0,0,0,0,1,0,1,4,1,1,140,0,0,32,128
QC-MAIN-7b3b4c8b,advanced project,Scandium Demonstration Plant,Scandium,0,0,9,0,0,0,0,1,0,1,4,1,0,139,0,0,32,128
ON-MAIN-eda110b0,advanced project,Georgia Lake,Lithium (spodumene),0,0,9,0,0,0,0,1,0,1,4,1,0,13,0,0,32,128
YT-MAIN-73ce66b5,advanced project,Klaza,"Gold, silver, lead, zinc",0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
BC-MAIN-116ae608,advanced project,Revel Ridge,"Gold, lead, silver, zinc",0,0,9,0,0,0,0,1,0,1,4,1,0,10,0,0,32,128
ON-MAIN-dca9cce7,manufacturing,Ottawa,"Gold, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,137,0,0,32,128
SK-MAIN-d5c9124e,advanced project,Rare Earth Processing Facility,Rare earth elements,0,0,9,0,0,0,0,1,0,1,4,1,0,50,0,0,32,128
QC-MAIN-c4fb59c2,advanced project,Moblan,Lithium (spodumene),0,0,9,0,0,0,0,1,0,1,4,1,0,24,0,0,32,128
QC-MAIN-1186a6d0,advanced project,Authier,Lithium (spodumene),0,0,9,0,0,0,0,1,0,1,4,1,0,27,0,0,32,128
QC-MAIN-dc1a16f9,mining,North American Lithium,Lithium,1,0,9,0,0,0,110,1,3,1,4,1,2,23,1,0,32,128
BC-MAIN-b7591127,advanced project,Iskut,"Gold, copper, silver, iron ore",0,0,9,0,0,0,0,1,0,1,4,1,0,6,0,0,32,128
BC-MAIN-4959ea63,advanced project,KSM,"Gold, copper, silver, molybdenum",0,0,9,0,0,0,0,1,0,1,4,1,0,6,0,0,32,128
YT-MAIN-03a159d7,advanced project,Selwyn,"Zinc, lead",0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
