facility_type,commodity,count
manufacturing,alumina,2
manufacturing,aluminum,9
manufacturing,aluminum chemicals,1
manufacturing,ammonium sulfate,1
manufacturing,bismuth,1
manufacturing,cadmium,2
manufacturing,cobalt,2
manufacturing,composites,1
manufacturing,copper,2
manufacturing,copper anodes,1
manufacturing,copper cathodes,1
manufacturing,copper oxide,1
manufacturing,copper sulfate,1
manufacturing,copper sulfide,1
manufacturing,electrolytic cobalt,1
manufacturing,ferroniobium,1
manufacturing,ferrosilicon,2
manufacturing,germanium,1
manufacturing,gold,5
manufacturing,indium,1
manufacturing,iron ore,1
manufacturing,lead,1
manufacturing,liquid sulfur dioxide,3
manufacturing,magnesium oxide,1
manufacturing,molybdenum,1
manufacturing,nickel,3
manufacturing,nickel sulfate,1
manufacturing,nickel-copper matte containing cobalt,1
manufacturing,platinum group metals,4
manufacturing,precious metals,2
manufacturing,recycled lead,1
manufacturing,scandium,1
manufacturing,selenium,1
manufacturing,selenium cake,1
manufacturing,silicon metal,1
manufacturing,silver,5
manufacturing,steel,15
manufacturing,sulfuric acid,4
manufacturing,tellurium,1
manufacturing,tellurium dioxide cake,1
manufacturing,titanium dioxide,1
manufacturing,uranium,2
manufacturing,vanadium,1
manufacturing,zinc,2
mining,antimony,1
mining,cadmium,1
mining,cesium,1
mining,cobalt,15
mining,copper,30
mining,diamonds,4
mining,gold,62
mining,ilmenite,1
mining,indium,1
mining,iron,8
mining,lead,2
mining,lithium,2
mining,molybdenum,2
mining,nickel,15
mining,niobium,1
mining,platinum group metals,14
mining,selenium,7
mining,silver,36
mining,tellurium,6
mining,uranium,4
mining,zinc,6
project,aluminum,1
project,battery materials,2
project,bismuth,2
project,cesium,1
project,chromite,1
project,cobalt,19
project,copper,54
project,gold,54
project,graphite,6
project,iron ore,10
project,lead,19
project,lithium,18
project,lithium hydroxide,1
project,lithium metal,1
project,magnesium,2
project,manganese,3
project,manganese sulphate,1
project,molybdenum,11
project,nickel,20
project,niobium,6
project,palladium,15
project,phosphate,2
project,platinum,15
project,rare earth elements,12
project,rhenium,1
project,rhodium,3
project,rubidium,1
project,scandium,3
project,silver,44
project,tantalum,5
project,tellurium,1
project,tin,1
project,titanium,4
project,tungsten,5
project,uranium,7
project,vanadium,5
project,zinc,27
project,zircon,1
project,zirconium,1
