substance_id,substance_name
SUBd4dd188e54,Speciated VOC - Other glycol ethers and acetates (and their isomers)
SUBfccb546ec8,Speciated VOC - Pentane (all isomers)
SUB5e96c4d65f,Speciated VOC - Pentene (all isomers)
SUBfa27fe1951,Speciated VOC - Propane
SUBcd8e6158e4,Speciated VOC - Propyl acetate (all isomers)
SUBc4fe19f682,Speciated VOC - Propylene
SUBb8203155e7,Speciated VOC - Propylene glycol methyl ether acetate (all isomers)
SUBa6748c149f,Speciated VOC - Solvent naphtha light aliphatic
SUBc265377133,Speciated VOC - Solvent naphtha medium aliphatic
SUB11536f42a8,Speciated VOC - Stoddard solvent
SUB6855ca23fa,Speciated VOC - Styrene
SUB2aa97e9c63,Speciated VOC - Tetrahydrofuran
SUB5ffb6440b6,Speciated VOC - Toluene
SUBe4773bcd62,"Speciated VOC - Trimethylbenzene (all isomers excluding 1,2,4-trimethylbenzene)"
SUBc9a102d24c,Speciated VOC - VM & P naphtha
SUB3555b0b724,Speciated VOC - Xylene (all isomers)
SUBba84f97e78,Speciated VOC - n-Hexane
SUB2bdc5cc5a2,Speciated VOC - n-Propanol (n-Propyl alcohol)
SUBd1605a269e,Speciated VOC - p-Dichlorobenzene
SUBe2b990f545,Styrene
SUB4cedd6b899,Sulphur dioxide
SUBda6a6d231d,Sulphuric acid
SUB3d85023c46,Thallium (and its compounds)
SUBa7136aa478,Toluene
SUB28f44d0e11,Total particulate matter
SUBba3b5d11c7,Total reduced sulphur (expressed as hydrogen sulphide)
SUBf7dbe2d6dd,Trichloroethylene
SUBbabfa2dbb1,Uranium
SUB8319f60a2f,VOCs
SUB787e5ac1a2,Vanadium (and its compounds)
SUBe849a2ff09,Xylene (all isomers)
SUBae95939c3f,Zinc (and its compounds)
SUB090a1237c1,i-Butyl alcohol
SUBd049575022,n-Hexane
