Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Brucejack,2.0242985468934228e-09,7.455999359574247e-10,1.8864091078808443e-12,4.9350377663798135e-11,4.505159586524303e-11,1.7600164603758567e-11,3.5580820921676596e-13,6.777659472175662e-14,5.273681114766593e-10,3.850233493261291e-12,1.6305905075873724e-11
Canadian Malartic,1.3040714379437847e-11,4.7458104700538346e-12,3.4104083515703223e-13,3.690644991975298e-13,4.0829478184120205e-13,2.0641159190511727e-13,1.7963458475934532e-14,3.758614163570947e-16,1.5471080164103763e-11,2.933049054359806e-13,1.0134184549990573e-13
Casa Berardi,3.4104343714427866e-11,1.2291144382938095e-11,3.385142538156211e-14,1.0069114954042476e-12,8.930760664624187e-13,4.048328142609905e-13,5.3356257972244047e-14,9.150924667220546e-16,1.4150338772423187e-11,1.6211827380085046e-14,2.726291491891742e-13
Detour Lake,5.114621406616943e-11,1.735009983689722e-11,9.32328015205089e-14,1.2533865625921109e-12,1.7573153602958425e-12,7.523666889458597e-13,8.927176323581287e-13,6.081208050579154e-16,2.4314602933777684e-11,3.6600689518388906e-13,1.1099864782706842e-12
Eagle River,1.8976873315904596e-09,7.128631411808304e-10,2.019668367737091e-12,4.7840690104088386e-11,4.502208462730784e-11,1.7996777208948598e-11,4.907413876751953e-12,6.487925679758464e-14,5.407744875545302e-10,4.459587079840841e-12,2.0053324639141532e-11
Éléonore,6.591622962563806e-11,2.2783008114307503e-11,5.873103687427412e-13,1.8120364791940719e-12,3.237350063265888e-12,4.15082853499811e-12,8.862670501176222e-14,1.2885335684532934e-15,2.0919503701849983e-10,3.953099931611722e-13,6.394877936919961e-13
Goldex,5.1689215803936873e-11,1.7578927325711446e-11,6.058243156050231e-14,1.279362117747957e-12,1.7056934718521553e-12,8.55888434100901e-13,3.698502634406006e-14,3.386452604646219e-16,1.8567922657262405e-11,2.0781306199578056e-14,1.2520080389057455e-12
Hemlo (Williams),2.0289479914710506e-09,7.792771830111107e-10,2.174836763544665e-12,5.112948167155652e-11,4.3701879381602864e-11,1.769799780353567e-11,2.0399886538535394e-13,8.08734721762624e-14,4.733916059051827e-10,1.577917223784094e-12,1.5274660430024392e-11
Kiena,7.159385361362957e-10,2.689180156626894e-10,6.840543777792255e-13,1.8073135677361756e-11,1.6549924688858125e-11,6.805955532385987e-12,1.58438435282372e-13,2.3878019523324773e-14,1.7598148818749256e-10,4.0625670048037296e-13,7.807655721005818e-12
Lamaque,3.0482825927769766e-11,1.110825027507688e-11,2.845458962892835e-14,9.43611699253202e-13,7.525739385498156e-13,3.3788343099209497e-13,4.764728168561261e-14,8.76299033938195e-16,1.1597390397339984e-11,1.4739303215355273e-14,2.590887034653771e-13
