Commodity,Activity,Product,Location,Impact_score,Share_%
Copper concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,0.529395505284358,27.368280025079077
Copper concentrate,"consumption market for cement, Portland","cement, Portland",CA,0.19267247619609626,9.960632889823573
Copper concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.14228060613032825,7.355512904517782
Copper concentrate,consumption market for chromium,chromium,RoW,0.13036789117260522,6.739658565809732
Copper concentrate,consumption market for copper sulfate,copper sulfate,CA,0.07179977872708351,3.7118495157718487
Copper concentrate,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,0.06020600337620035,3.1124834705682813
Copper concentrate,"consumption market for steel, unalloyed","steel, unalloyed",CA,0.04854432262425602,2.5096069043782183
Copper concentrate,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,0.047124836746264616,2.436223419606003
Copper concentrate,consumption market for sodium cyanide,sodium cyanide,CA,0.04492865780088865,2.322687056410121
Copper concentrate,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,0.04298167757271337,2.222033576061111
Copper concentrate,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,0.03367713269028562,1.7410143998378116
Gold-silver ingot,"market group for electricity, high voltage","electricity, high voltage",CA,1473.010993479003,27.368279959091545
Gold-silver ingot,"consumption market for cement, Portland","cement, Portland",CA,536.0995186863687,9.960632865807536
Gold-silver ingot,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,395.8871862281034,7.355512886782939
Gold-silver ingot,consumption market for chromium,chromium,RoW,362.740776937223,6.739658549559774
Gold-silver ingot,consumption market for copper sulfate,copper sulfate,CA,199.7785442805096,3.7118495068222264
Gold-silver ingot,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,167.5195651669569,3.1124834630637874
Gold-silver ingot,"consumption market for steel, unalloyed","steel, unalloyed",CA,135.07164337957857,2.509606898327317
Gold-silver ingot,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,131.1220097266702,2.436223413732036
Gold-silver ingot,consumption market for sodium cyanide,sodium cyanide,CA,125.01127456195,2.322687050809901
Gold-silver ingot,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,119.59391976471206,2.2220335707035765
Gold-silver ingot,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,93.70458605423215,1.74101439564006
Lead concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,0.23691101328170863,27.36828076706693
Lead concentrate,"consumption market for cement, Portland","cement, Portland",CA,0.08622330773774659,9.960633159868625
Lead concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.06367232481614293,7.355513103934816
Lead concentrate,consumption market for chromium,chromium,RoW,0.05834123805133484,6.739658748530195
Lead concentrate,consumption market for copper sulfate,copper sulfate,CA,0.03213128589465268,3.71184961640467
Lead concentrate,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,0.02694292853475618,3.11248355495155
