Commodity,Activity,Product,Location,Impact_score,Share_%
Copper concentrate,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,4.6271916058554434e-06,22.841319601394332
Copper concentrate,"market group for electricity, high voltage","electricity, high voltage",CA,4.5975502399196595e-06,22.695000198518432
Copper concentrate,"consumption market for cement, Portland","cement, Portland",CA,2.3100294676273577e-06,11.403055212138899
Copper concentrate,consumption market for chromium,chromium,RoW,1.1264010164702085e-06,5.5602810101863
Copper concentrate,"consumption market for sulfur dioxide, liquid","sulfur dioxide, liquid",CA,7.098508402983493e-07,3.5040541420534934
Copper concentrate,"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",CA-QC,6.424513770534569e-07,3.171348515817727
Copper concentrate,"consumption market for steel, unalloyed","steel, unalloyed",CA,4.870192792312067e-07,2.4040852327973004
Copper concentrate,consumption market for sodium cyanide,sodium cyanide,CA,4.06058925678341e-07,2.0044386505803944
Copper concentrate,"consumption market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",CA,3.4264119083424913e-07,1.6913881280696486
Copper concentrate,"consumption market for quicklime, milled, loose","quicklime, milled, loose",CA,3.280684320433492e-07,1.6194522608374042
Copper concentrate,consumption market for copper sulfate,copper sulfate,CA,2.8172135925253484e-07,1.3906680667996112
Copper concentrate,"technology mix for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",CA,2.318793040777309e-07,1.1446315053575966
Gold-silver ingot,"technology mix for diesel, burned in building machine","diesel, burned in building machine",CA,0.012874880946897642,22.841319834276327
Gold-silver ingot,"market group for electricity, high voltage","electricity, high voltage",CA,0.01279240563789083,22.695000429908607
Gold-silver ingot,"consumption market for cement, Portland","cement, Portland",CA,0.006427517361047164,11.403055328400406
Gold-silver ingot,consumption market for chromium,chromium,RoW,0.0031341427416073774,5.560281066876953
