Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq)
Cu concentrate from Au mine,1.080073689000205,0.41956417106860716,0.00533792567037962,0.000721100837922998
Cu concentrate from Cu mine,1.2656712559078684,2.0313459639248888,0.01297791120811242,0.0022336387032701023
Au-Ag ingot,3005.239696687435,1167.4119447040614,14.852455854240581,2.006419452091091
Pb concentrate,0.48334627820456266,0.18776013550013906,0.002388787432541604,0.00032270150231342257
Zn concentrate,0.488488265362582,0.1897575846499386,0.002414200202202834,0.000326134502968205
Ni concentrate,0.5146312219599398,0.09875409056420167,0.0015393338408890454,0.00037416881019900904
U yellowcake,109.32237041340302,11.806889079053274,0.021704079791029743,0.26374541987667727
