Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq)
Copper Mountain,0.0,0.0,0.0,0.0,0.0
Gibraltar (Cu),0.37574688114405713,0.01535592623658764,8.798711370310575e-05,0.00015490445604369207,2.3514457411585
Highland Valley (Cu),0.0,0.0,0.0,0.0,0.0
Mount Milligan,0.3569142151516514,0.009402579190909201,9.27945879188443e-05,0.00015358850141523834,1.0602558984616337
Mount Polley,0.0,0.0,0.0,0.0,0.0
Red Chris,3.992779133916493,0.15508446662464503,0.000969702140669064,0.0016755727536689464,23.12579043011965
Goldex (Cu),0.9896175572006259,0.22284816342623073,0.00020928517077937678,0.0005147288640285027,4.26257209355208
Kidd Creek,0.0,0.0,0.0,0.0,0.0
LaRonde (Cu),0.42866180849001173,0.21132696365242679,0.00016796026798893745,0.00017864429179792327,4.078385067512272
New Afton,0.2626474695037725,0.007017600432546305,4.497478013960849e-05,0.0001448043860396721,0.6817466939714478
Snow Lake (Cu),0.10006643523403674,0.00711156628171159,1.4697292633681554e-05,4.934543258945847e-05,0.6930337231864598
Casa Berardi,7329.0005549896505,1626.727872223268,2.0256556993237567,3.52857548054642,30963.20510169305
Fox Complex,0.0,0.0,0.0,0.0,0.0
Hemlo,0.0,0.0,0.0,0.0,0.0
Meliadine,3350.639309289018,73.46419025352529,0.2821342047568622,1.9610206735756563,1194.5539505531196
Rainy River,33723.68640148983,1145.8016226754219,5.003978494673014,16.91388766636139,119843.10134095699
Meadowbank complex,10581.723743547273,173.63087769750294,2.2923112902748177,5.1427187702303145,2411.350889853318
Porcupine complex,7372.172876270791,222.3183214037168,1.4212232473382533,3.1072737899234752,28029.952045182697
Canadian Malartic,2403.194018613973,916.7914449579899,1.1668743295322646,0.8383375904509849,17574.82787071541
Detour Lake,12478.356909206987,399.60167427714924,2.370583387413477,5.658597572567635,41007.86181920953
Kiena,5761.104031906883,1113.2122693884116,1.367151926300398,2.9132547880475075,21170.596171807498
Magino,0.0,0.0,0.0,0.0,0.0
Elk,0.0,0.0,0.0,0.0,0.0
Brucejack,23734.88158925141,1051.378365562938,5.115007782339836,10.236203940884948,162631.56554516032
Eagle River,3988.386695182958,87.44707261305338,0.335834509369215,2.334273564386578,1421.9206077647395
Éléonore,8001.776732272541,1320.3987830088934,1.5676387529050189,3.750238940442606,25116.51397664845
Goldex (Au),7428.318295015191,1672.7543399839612,1.5709471049492727,3.8636843397185068,31995.937760975212
Island,4258.08983441834,180.70650558732518,0.9161546522161534,1.6382302757800464,25227.536103308666
LaRonde (Doré),3217.643244542273,1586.2732617058653,1.2607519735686168,1.3409489332362097,30613.382556283846
Lamaque,851.1522699275132,380.55245010413665,0.41337355448818514,0.2749477779460499,7328.739345752168
Macassa,26021.869231604265,570.5405373485464,2.191121963379447,15.229757314309722,9277.192745044362
Musselwhite,6814.918490271622,219.56569139614302,1.2168156166521147,2.72439915085605,28329.257347687148
Red Lake,0.0,0.0,0.0,0.0,0.0
Seabee Gold Operation,37437.45171304019,149.6017199621888,2.385967409803298,6.854456541896736,9539.304335354362
Snow Lake (Doré),751.1238110599832,53.38120422069819,0.1103215704012735,0.37039921924051644,5202.085348139983
Timmins Operation,8760.961787933978,396.9915039741546,1.8044426577452004,3.250584829986326,55244.41482300963
Westwood-Doyon,8797.918754471913,1523.3572928531119,1.7463806945942402,5.120905993499902,29140.83667802997
Eleonore,8001.776732272541,1320.3987830088934,1.5676387529050189,3.750238940442606,25116.51397664845
Nunavik Nickel,0.0,0.0,0.0,0.0,0.0
Thompson,0.0,0.0,0.0,0.0,0.0
Voisey's Bay,0.0,0.0,0.0,0.0,0.0
Raglan,0.0,0.0,0.0,0.0,0.0
Gibraltar (Mo),1.5922954735575028,0.06507351787056075,0.00037286133795406804,0.0006564356902062725,9.96467704495194
Highland Valley (Mo),0.0,0.0,0.0,0.0,0.0
Kidd Creek (Zn),0.0,0.0,0.0,0.0,0.0
LaRonde (Zn),0.16023965910598043,0.07899691315188498,6.278584933901133e-05,6.677968519275568e-05,1.5245561915471626
Snow Lake (Zn),0.03740620523839121,0.0026584009876617415,5.494049390049232e-06,1.844599918628074e-05,0.25906550877515144
Key Lake + McArthur River,0.0,0.0,0.0,0.0,0.0
Cigar Lake + McClean Lake,0.0,0.0,0.0,0.0,0.0
