Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product,site_id,ore_processed_t,dore_t_mass,conc_t_mass
Snow Lake (Doré),558.2545602240936,46.722002055814755,3.90346224005782,2.5579999099822217,0.0,MetalliCan,Doré,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Timmins Operation,19094.563704022177,218.57935311985784,18.26155176580596,3.1155489351899703,6788.2851575498935,MetalliCan,Doré,GRP-147b3123,1574000.0,4.218015459183674,
Westwood-Doyon,9254.465309530702,1108.1924726373836,92.58565880602328,1.3049826001281963,-8289.936420451384,MetalliCan,Doré,QC-MAIN-02884fb5,1034000.0,4.118166876530612,
Eleonore,22997.765706798644,117.58953270402799,9.824200047967679,77.32363746852954,4967.915461769211,MetalliCan,Doré,QC-MAIN-6dc537e6,1661000.0,7.738899920918366,
Nunavik Nickel,0.7391853841945383,0.0,0.0,0.0004505694290272968,0.0,MetalliCan,Ni concentrate,QC-MAIN-5ce331b8,6835294.11764705,,363125.0
Thompson,0.4787638716775735,0.0953987574751558,0.00797023757788895,0.00044368043825379795,0.0,MetalliCan,Ni concentrate,MB-MAIN-e0a6250e,464705.882352941,,49375.0
Voisey's Bay,2.098657144112916,0.03573259363781278,0.0029853351513392523,0.0053826062507339074,0.0,MetalliCan,Ni concentrate,NL-MAIN-2d8801d6,794117.647058823,,84375.0
Raglan,1.081684881813265,0.010291287433957241,0.0008598015719374075,0.0015013493171639053,0.0,MetalliCan,Ni concentrate,QC-MAIN-a97821c0,1500000.0,,151450.0
Gibraltar (Mo),3.5162978850793363,0.3164916100495674,0.026441781686590282,0.002589993607200332,5.2340647491110985,MetalliCan,Mo concentrate,BC-MAIN-6b4800fe,30000000.0,,186436.98475294118
Highland Valley (Mo),3.044349892924185,0.48891720144711215,0.04084734420634284,0.015221273873082364,10.785998047241947,MetalliCan,Mo concentrate,BC-MAIN-bf503b6b,17408000.0,,343098.0392156863
Kidd Creek (Zn),0.12354273112031759,0.00949153310416867,0.0007929848427233321,0.00011228445079117634,0.0,MetalliCan,Zn concentrate,ON-MAIN-f8313ebd,1340000.0,,152533.33333333334
LaRonde (Zn),0.21412317115163013,0.014918550267106756,0.001246393440635707,0.00010456766383731668,0.16475009325246326,MetalliCan,Zn concentrate,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
Snow Lake (Zn),0.027801254826845645,0.0023267704835412684,0.00019439365197199132,0.00012738920677849612,0.0,MetalliCan,Zn concentrate,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Key Lake + McArthur River,8.122988330604988,1.0042049638120787,0.08389785786048165,0.004599873615877676,0.0,MetalliCan,U concentrate,GRP-21eee27d,98408.8710325432,,
Cigar Lake + McClean Lake,4.287157644365793,0.3709454149369762,0.030991210913904332,0.004852971792349876,0.0,MetalliCan,U concentrate,GRP-91aaa60b,43726.856187782,,
