Commodity,Climate change (kg CO2 eq),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product
Cu concentrate from Au mine,1.080073689000205,0.2212120658630053,0.0027289618886505,0.0007211008379229,2.6315006000725134,Ecoinvent,Copper concentrate
Cu concentrate from Cu mine,1.2656712559078684,0.8058750936360992,0.0066049496325939,0.0022336387032701,4.764901327162306,Ecoinvent,Copper concentrate
Au-Ag ingot,3005.239696687435,615.5092083074948,7.593171666388425,2.006419452091091,7321.991653716657,Ecoinvent,Gold-silver doré
Pb concentrate,0.4833462782045626,0.0989951243364697,0.0012212440310419,0.0003227015023134,1.1776289257338135,Ecoinvent,Pb concentrate
Zn concentrate,0.488488265362582,0.100048264142939,0.0012342360595955,0.0003261345029682,1.1901568964204898,Ecoinvent,Zinc concentrate
Fe concentrate,0.0218196620970119,0.0048793282333012,6.48602774813241e-05,1.7347135176378746e-05,0.0350950274671379,Ecoinvent,Fe concentrate
Ni concentrate,0.5146312219599398,0.0443353635391761,0.0008796463825046,0.000374168810199,0.1725517534639031,Ecoinvent,Nickel concentrate
U yellowcake,109.32237041340302,5.644109323021302,0.0376460566283469,0.2637454198766772,52.36467622253622,Ecoinvent,Uranium concentrate (yellowcake)
Cu concentrate from Au mine,1.505641889257911,0.1438949596520862,0.0020366296958806,0.0047242004490304,0.2630889457288895,Regioinvent,Copper concentrate
Cu concentrate from Cu mine,1.2553064608762554,0.8146478239882127,0.0066350019277273,0.0322104559781379,0.8963163650961399,Regioinvent,Copper concentrate
Au-Ag ingot,4189.357556790197,400.3790241617501,5.666799139812214,13.144801806905411,732.0291047663193,Regioinvent,Gold-silver doré
Pb concentrate,0.6737932866021712,0.0643947674527569,0.0009114168547722,0.0021141378295277,0.1177355446423214,Regioinvent,Pb concentrate
Zn concentrate,0.6809613026654074,0.0650798185626903,0.0009211128298914,0.0021366286820117,0.1189880525599294,Regioinvent,Zinc concentrate
Fe concentrate,0.02524327261322,0.0042288878877758,4.744799326775208e-05,0.0002125831971344,0.0035858405288175,Regioinvent,Fe concentrate
Ni concentrate,0.4696742168269099,0.0540641857162246,0.0010429215421166,0.003829273079326,0.103249167191369,Regioinvent,Nickel concentrate
U yellowcake,84.13768808514308,8.076532486829477,0.0380387591111397,0.9874519234841312,19.13049204644764,Regioinvent,Uranium concentrate (yellowcake)
Copper Mountain,2.108913495801401,0.2182702287480055,0.0117102106570955,0.0489336666708251,0.3724666728676548,MetalliCan,Copper concentrate
Gibraltar**,1.7434801477501038,0.1995101003344589,0.007267670348141,0.0047194786870449,0.3810913215866544,MetalliCan,Copper concentrate
Highland Valley**,1.0594463075314036,0.1548667701659271,0.0099697187777713,0.0291270275936327,0.223548074936625,MetalliCan,Copper concentrate
Mount Milligan,1.86185734484328,0.2519720917312645,0.0085561575759558,0.0010798343988083,0.7527065453637343,MetalliCan,Copper concentrate
Mount Polley,2.1412709630024613,0.212715228749258,0.0100792979140379,0.0181953484305231,0.4189646157813846,MetalliCan,Copper concentrate
Goldex**,1.8388336954896995,0.251923738694515,0.0027918969529223,0.0046313134733363,0.4692081587210147,MetalliCan,Copper concentrate
Kidd Creek,0.3764948079038903,0.0335113528322318,0.0021860422680027,0.0027807733486264,0.0128066296982585,MetalliCan,Copper concentrate
LaRonde**,1.059106181766872,0.1966573217674332,0.0035482466649786,0.0034762194053652,0.2056194972648658,MetalliCan,Copper concentrate
New Afton,0.4770698803809335,0.0763261843281739,0.003903955801189,0.0007552232093255,0.1417220000921794,MetalliCan,Copper concentrate
Snow Lake**,1.6985924256564684,0.1127493808037533,0.000674177661164,0.0035403092044535,1.8529139564942496,MetalliCan,Copper concentrate
Casa Berardi,16340.756411080976,2495.832285509703,96.37885151504295,105.74388790337774,1662.5982822966696,MetalliCan,Gold-silver doré
Hemlo,11556.635581784583,840.2276883857859,43.520822053454495,25.2218511591749,1697.7013735024766,MetalliCan,Gold-silver doré
Meliadine,15103.383590171445,527.7134071995599,27.223650288193507,24.596753023477024,1739.2586869913684,MetalliCan,Gold-silver doré
Rainy River,45894.973876682736,3558.5947929624926,159.16812374792335,101.63325770333236,9546.030861641251,MetalliCan,Gold-silver doré
Meadowbank complex,24798.447855562947,656.7838015943961,26.38985085956357,39.97036844017971,3629.409134044624,MetalliCan,Gold-silver doré
Porcupine complex,20869.903368436822,1701.8682877628908,108.72075278294264,61.19879413511784,3276.4678979311816,MetalliCan,Gold-silver doré
Canadian Malartic,15763.658709449668,1573.4582474569663,39.392061769768446,35.036818857046185,2896.3105314586583,MetalliCan,Gold-silver doré
Detour Lake,31039.54609608804,1488.2221979380315,31.517890910479583,116.48320422223816,5512.751731876927,MetalliCan,Gold-silver doré
Kiena,8025.411046869231,2660.137993866688,149.751838681484,5.111816721815936,1376.9433444661886,MetalliCan,Gold-silver doré
Brucejack,54196.72356265069,1250.490158073003,20.39555524768711,48.1198992662278,10942.405223336791,MetalliCan,Gold-silver doré
Eagle River,9811.097059742484,331.7720571490159,8.05499852286436,68.6976976381119,1482.6507175596344,MetalliCan,Gold-silver doré
Éléonore,10042.799401810207,1182.301417337085,12.195608006262612,20.515437738143827,1588.448405055454,MetalliCan,Gold-silver doré
Goldex**,13802.748002468745,1891.00293487565,20.956681109239693,34.76380289130451,3521.99440353764,MetalliCan,Gold-silver doré
Island,9272.665857942924,317.9837423767578,9.695267470242191,204.3260992738685,1281.2350458144583,MetalliCan,Gold-silver doré
LaRonde**,7949.917162165932,1476.1592526817642,26.634031306859665,26.093376696271644,1543.431600302046,MetalliCan,Gold-silver doré
Macassa,24880.515247331143,1357.0261638092666,44.79447525570488,68.06126260831508,5622.825645890901,MetalliCan,Gold-silver doré
Musselwhite,12128.70102661108,490.3390617841951,16.321971575693006,92.15223200021804,1749.6205080967338,MetalliCan,Gold-silver doré
Red Lake,16792.571361279108,1421.576329769538,92.60099140262106,432.9008986134868,2712.496808105824,MetalliCan,Gold-silver doré
Seabee Gold Operation,60454.82357952493,488.1813745482158,24.81652372919895,15.842783913834648,6728.273106675239,MetalliCan,Gold-silver doré
Snow Lake**,12750.061762416612,846.3251951412441,5.060547125916706,26.57445129604157,13908.437935134956,MetalliCan,Gold-silver doré
Timmins Operation,38965.3914717642,863.4747986949283,23.020251213025407,45.051142554726816,4173.306960385173,MetalliCan,Gold-silver doré
Westwood-Doyon,11654.736303029546,2368.542151277726,95.1226366464096,17.133120825756063,2038.712948137408,MetalliCan,Gold-silver doré
Nunavik Nickel,1.055703730886871,0.07214484119306,0.0019038734707551,0.0011891016427297,0.1614984078469225,MetalliCan,Nickel concentrate
Thompson,1.03399257906234,0.1557650265242141,0.0112396337913943,0.0016599253735647,0.2838543571421022,MetalliCan,Nickel concentrate
Voisey's Bay,3.2367571087956266,0.1192723180504145,0.0056504564154877,0.0074324784354274,0.2130387745440987,MetalliCan,Nickel concentrate
Raglan,1.6774434688325304,0.1031635214906098,0.001067376094002,0.0019890538412347,0.1514157797141271,MetalliCan,Nickel concentrate
Gibraltar**,7.388312778016875,0.8454602067433563,0.0307980693548823,0.0199996450859546,1.6149435017031983,MetalliCan,Molybdenum concentrate
Highland Valley**,4.489595599716886,0.6562760020069632,0.042248490454851,0.1234310506914505,0.9473254567462964,MetalliCan,Molybdenum concentrate
Kidd Creek**,0.1407389108413731,0.012527002832368,0.0008171725606968,0.0010394911054562,0.0047872936485838,MetalliCan,Zinc concentrate
LaRonde**,0.3959083966061499,0.0735132002608846,0.0013263832574707,0.0012994584643134,0.0768633845961175,MetalliCan,Zinc concentrate
