Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq)
Cu concentrate from Au mine,1.5056416272615871,3.0218147264025648e-05,1.6516548182412955e-07,6.781177137228791e-07
Cu concentrate from Cu mine,1.2553053692158178,1.9640265389626967e-06,7.878471783895112e-09,1.0111871708137263e-07
Au-Ag ingot,4189.356827801257,0.08408016789093813,0.0004595629657061827,0.001886821546921714
Pb concentrate,0.6737931693555891,1.3522993170003978e-05,7.391358781033301e-08,3.0346603097545966e-07
Zn concentrate,0.6809611841715186,1.3666855082213822e-05,7.46999039334704e-08,3.066944002228651e-07
Ni concentrate,0.4696741951539794,1.1684138485042924e-06,4.768442385245747e-09,4.6542779940512106e-08
U yellowcake,84.13768119535507,0.00018921852343922917,1.038995850744816e-06,3.15111760851254e-06
