Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product,site_id,ore_processed_t,dore_t_mass,conc_t_mass
Copper Mountain,1.3341631567532777,0.131196945894465,0.0109610519183935,0.0318891749800293,0.0,MetalliCan,Cu concentrate,BC-MAIN-599152a0,6862152.0,,63500.0
Gibraltar (Cu),0.8297693636480235,0.0746850892002082,0.0062396818113914,0.0026662262260269,1.2351246663250777,MetalliCan,Cu concentrate,BC-MAIN-6b4800fe,30000000.0,,186436.98475294118
Highland Valley (Cu),0.7183999540219544,0.1153737556664502,0.0096390789279205,0.019029612846807,2.545259443096029,MetalliCan,Cu concentrate,BC-MAIN-bf503b6b,17408000.0,,343098.0392156863
Mount Milligan,0.9648844759965168,0.0848532629991671,0.0070891973819171,0.0025031140577777,3.7206058738645993,MetalliCan,Cu concentrate,BC-MAIN-ed23117f,21680000.0,,93533.69434666667
Mount Polley,1.3048362100299449,0.1100558432705289,0.009194786269445,0.0124451325207158,0.0,MetalliCan,Cu concentrate,BC-MAIN-3f490561,5948239.0,,45578.436133333336
Red Chris,30.421493900604958,0.4998296739712771,0.0417590483657104,0.0201185425732933,0.0,MetalliCan,Cu concentrate,BC-MAIN-8eb8be0d,1139000.0,0.15869132653061224,13333.333333333334
Goldex (Cu),0.4334359904647461,0.0250541928631575,0.0020931913372541,7.744032917118996e-05,0.8642261077960498,MetalliCan,Cu concentrate,QC-MAIN-c0660aec,2886927.328724,4.474542118316694,130.12252666666666
Kidd Creek,0.3304928031223476,0.0253910787864319,0.0021213369946735,0.0011137763205894,0.0,MetalliCan,Cu concentrate,ON-MAIN-f8313ebd,1340000.0,,152533.33333333334
LaRonde (Cu),0.5728071972859065,0.0399090527058265,0.0033342635645419,0.0005871402125667,0.4407278022276415,MetalliCan,Cu concentrate,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
New Afton,0.2797664143145084,0.0434865844430731,0.0036331543009622,0.0003764605498872,1.6583858187907623,MetalliCan,Cu concentrate,BC-MAIN-aa76f6f2,3065000.0,,71667.53600000001
Snow Lake (Cu),0.0743719517081189,0.006224412153809,0.0005200281635093,0.0006819182296618,0.0,MetalliCan,Cu concentrate,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Casa Berardi,20028.088358766832,1110.4623827973774,92.77530518426283,7.856122164024555,0.0,MetalliCan,Doré,QC-MAIN-b86f7d07,1361450.0,3.5165997959183577,
Fox Complex,3268.819580078125,3207.1087794228515,267.9428846906012,33.560261322477395,0.0,MetalliCan,Doré,ON-MAIN-4e0734b5,457000.0,1.453612551020408,
Hemlo,11888.47307527572,492.6520422708563,41.15937963195029,8.02574139955739,338.4690794833732,MetalliCan,Doré,ON-MAIN-6e9be24e,1266009.0,4.476523630102041,
Meliadine,11492.476151133173,0.0,0.0,33.609622153755595,1400.075842781982,MetalliCan,Doré,NU-MAIN-8b0264c9,1918143.0,12.41413683010194,
Rainy River,35432.07400905123,1781.5195883594424,148.83982273287984,30.47051305242231,30057.03315645852,MetalliCan,Doré,ON-MAIN-0aadf28f,8764000.0,8.05342613010203,
Meadowbank complex,14748.349789079888,272.39035273260924,22.75727445852226,38.38567716144183,3027.569808392145,MetalliCan,Doré,GRP-0a2c0d69,3842649.005728,17.66760135719143,
Porcupine complex,21344.73677102681,1264.0852022969193,105.60996692864865,12.92426284092924,22719.319887349386,MetalliCan,Doré,GRP-0d911886,2911000.0,8.251948979591836,
Canadian Malartic,7244.0451143273,412.533135875492,34.46572122586076,25.061470202699116,17008.88491612149,MetalliCan,Doré,QC-MAIN-e7e6a960,17332900.0,29.039084533163262,
Detour Lake,12873.562383150937,269.4859136524974,22.51461858691528,28.69894691285623,10022.145811736931,MetalliCan,Doré,ON-MAIN-aeafbb59,25434853.5024164,24.0082838377551,
Kiena,3560.5656536526567,1772.9969544852063,148.12777000456117,0.0808251530936263,2571.675625092583,MetalliCan,Doré,QC-MAIN-9de9bb0d,191148.0,1.2201776096938775,
Magino,845.8995975018042,144.5418724143383,12.075974907452746,69.62314808955989,0.0,MetalliCan,Doré,ON-MAIN-8825d90d,1165551.0,1.0473627551020408,
Elk,3258.01708984375,2110.903018608442,176.3586598850161,0.0,0.0,MetalliCan,Doré,BC-MAIN-4724f4ba,33245.0,0.12428704693877551,
Brucejack,149411.72753495723,0.0,0.0,17.19293975014864,0.0,MetalliCan,Doré,BC-MAIN-857b7b89,166000.0,0.920409693877551,
Eagle River,10176.743503933134,80.02717664912325,6.685994401082326,27.132206705968574,403.8722855167944,MetalliCan,Doré,ON-MAIN-cb85213a,222627.0,2.7760508515306124,
Éléonore,22997.765706798644,117.589532704028,9.82420004796768,408.278768859112,4967.915461769211,MetalliCan,Doré,QC-MAIN-6dc537e6,1661000.0,7.738899920918366,
Goldex (Au),3253.4795204953725,188.06305964431888,15.712020856558864,0.5812865983767521,6487.098762374371,MetalliCan,Doré,QC-MAIN-c0660aec,2886927.328724,4.474542118316694,130.12252666666666
Island,37281.5369437957,0.0,0.0,157.04112518780494,-4438.827148589829,MetalliCan,Doré,ON-MAIN-687b8c8d,439008.0,4.1704080612244905,
LaRonde (Doré),4299.634761946009,299.5673722036099,25.027820336750665,4.407222121304928,3308.213852388348,MetalliCan,Doré,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
Lamaque,2690.516021728516,944.714137731462,78.92761235875514,0.0,5239.195737573027,MetalliCan,Doré,QC-MAIN-f9e41c2a,838419.0,7.932820721938775,
Macassa,3852.318930636276,503.8351365787457,42.09368700066625,19.872845709541583,16164.579564786169,MetalliCan,Doré,ON-MAIN-1f126a43,441588.0,7.253304461734694,
Musselwhite,27341.839796268625,170.84707024434465,14.27368389589219,67.87544115457557,3758.953868409677,MetalliCan,Doré,ON-MAIN-fefeaee4,1028000.0,5.712887755102041,
Red Lake,22490.87458458088,1080.561617148851,90.27719769705436,316.520801389882,27393.254587631905,MetalliCan,Doré,ON-MAIN-7f050560,841000.0,3.5769025,
Seabee Gold Operation,35817.99609375,264.6017873774599,22.10656787932203,8.428189775524055,4584.447456368798,MetalliCan,Doré,GRP-14bfbb82,122000.0,1.2300799484693878,
Snow Lake (Doré),558.2545602240936,46.72200205581476,3.90346224005782,5.118649809264866,0.0,MetalliCan,Doré,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Timmins Operation,19094.563704022177,218.57935311985784,18.26155176580596,8.957272473940556,6788.2851575498935,MetalliCan,Doré,GRP-147b3123,1574000.0,4.218015459183674,
Westwood-Doyon,9254.465309530702,1108.1924726373836,92.58565880602328,6.8705521969886565,-8289.936420451384,MetalliCan,Doré,QC-MAIN-02884fb5,1034000.0,4.118166876530612,
