Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq)
Copper Mountain,2.1929023454046375,0.2183423787393679,0.011681213419296956,0.006547894079499516,5.728625106107984
Gibraltar (Cu),1.8375780484173176,0.19878353320046555,0.007203429369879265,0.0012482799792601807,5.025337323667202
Highland Valley (Cu),1.098015384247974,0.15521168559234844,0.009968481525695619,0.0038231939440225527,3.8079306369786536
Mount Milligan,1.9486133037496727,0.24942212687035759,0.008451306271213961,0.0008100652742361604,13.18063971899079
Mount Polley,2.2329228912242645,0.21211464544934858,0.010033894863665689,0.0050209949035780925,6.46531275577712
Goldex (Cu),2.334641216829433,0.3133088061068689,0.00282423906807966,0.0013340577827539155,7.391369232146872
Kidd Creek,0.4098097732218715,0.03357761941456352,0.0021867912033221608,0.0003576580452549651,0.11866829491368946
LaRonde (Cu),1.183262401946967,0.2641109168631594,0.0036048740894802644,0.0004746124473449415,4.970725005531676
New Afton,0.6025980793288314,0.07703902319880346,0.0038975621090902054,0.0002412970377812502,2.345253741152945
Snow Lake (Cu),1.7632746004829185,0.1557253933937357,0.000681939685630541,0.0009922833020916705,14.65976703949309
Casa Berardi,18664.15050797257,2983.0101970027486,96.83401411886473,3.9086275513269824,31009.5652575586
Hemlo,12953.705237466404,856.7395882043444,43.61369568894009,6.119608254712901,27196.30970733054
Meliadine,16497.238090066472,503.18537877889855,27.263963385959112,22.252960711712383,6681.261622875347
Rainy River,54192.955336888284,3618.293724458821,159.55848776991334,24.18499226700024,150030.4475266859
Meadowbank complex,27645.690471335594,612.172498974458,26.37501518448348,35.013727243844755,14218.957973497454
Porcupine complex,23038.96494842457,1739.066060486876,108.97867966808535,8.367013707770191,74020.52376502007
Canadian Malartic,17328.416457206353,1833.816638603415,39.43075272913802,15.04081666225568,51232.74000424519
Detour Lake,34336.10215771406,1462.5848203427752,31.23515958312422,25.94529152562221,78923.2122492129
Kiena,9269.218269543911,2983.337622556467,150.30187072215512,2.9940799411411305,23742.271796898916
Brucejack,56778.02700171402,1376.8233955336532,20.509884580019666,22.18556143693218,167683.85132583603
Eagle River,11251.522891266053,332.9494051765231,8.118089270590113,11.872249653271659,19407.03765945742
Éléonore,13879.934832563129,1591.7134495395298,12.576731699117033,42.86836686480499,30420.236831909046
Goldex (Au),17524.40402077126,2351.7746823888283,21.199449136887036,10.013773122577094,55481.475570824
Island,10019.341469562032,346.9525020140434,9.774065560169328,24.725195827241837,25240.14160143677
LaRonde (Doré),8881.864952384347,1982.4828775724602,27.05909097584553,3.5625603333661537,37311.5103815943
Macassa,32252.338916020788,1199.7543831514608,45.140181366546194,21.27197265947831,39079.067874477245
Musselwhite,14369.232620450366,519.2945514243129,16.483903154263835,13.7716362747995,32369.7493873802
Red Lake,18094.635021450136,1454.5460576903479,92.83950586714175,33.51251836685465,60213.66346332105
Seabee Gold Operation,61694.65325507088,499.5128875084473,25.13359038967922,10.212088083831851,21486.552487796172
Snow Lake (Doré),13235.582437375295,1168.9139486391193,5.118810833166544,7.448327920927465,110039.89648709446
Timmins Operation,41508.93666275213,921.0693671853888,23.16253232065485,12.364648682337458,78858.12136763893
Westwood-Doyon,14052.79797517361,2790.974017024371,95.65055737899021,6.581441671882781,29170.903169516474
Nunavik Nickel,1.1861198105004587,0.08285143120129691,0.0019155826774502089,0.0010767674166823381,1.620382877843781
Thompson,1.1057362071306576,0.1597962359108289,0.011269043451528795,0.0007292894097805504,1.9061827408587533
Voisey's Bay,3.344492582771518,0.13657157274191467,0.005684486655905528,0.003852483855518713,6.513877130716082
Raglan,1.7731626045529152,0.14049551271534952,0.0010965476613202434,0.002015956695610612,2.7247948992277315
Gibraltar (Mo),7.787069665344133,0.8423812470569912,0.03052583656802602,0.005289812357250137,21.295777443452153
Highland Valley (Mo),4.653039047849635,0.6577376436590807,0.042243247378692214,0.016201476268090546,16.136795841615935
Kidd Creek (Zn),0.15319250133716691,0.012551774188676139,0.000817452522978875,0.0001336974732145242,0.04435983433935009
LaRonde (Zn),0.4423196929725421,0.09872827783179287,0.0013475513641262539,0.00017741663731498313,1.8581250714245243
Snow Lake (Zn),0.6591361867942913,0.058212284037902115,0.00025491839668879263,0.0003709290868933198,5.4800216068992995
Key Lake + McArthur River,28.66876278692957,1.152595579755147,0.09061733447098165,0.005270949128633101,219.98643793757674
Cigar Lake + McClean Lake,15.71045903630214,0.43953005500470227,0.0337257038952964,0.004848522729929887,74.44488870794521
Market for Doré,20309.718612678826,1401.4671231395237,40.182790510413355,16.65251735519476,55328.37316866778
Market for Cu concentrate,1.5536571389600964,0.17370178964746505,0.00831543387718687,0.0026061883813416724,5.620115116267016
Market for Ni concentrate,1.1382190252636695,0.07775676489229519,0.0020848610795138217,0.0011616606310233264,1.8070110108294557
Market for U concentrate,21.264018309948842,0.7451295817469106,0.05810783253219477,0.005029562761384119,136.81984121605956
Market for Mo concentrate,5.835372135513001,0.7273956235473772,0.03782277923589194,0.012084981294738041,18.083054634508244
Market for Zn concentrate,0.3907708148765492,0.03963782922769668,0.0006169404472276468,0.0002354907479904043,2.50188002248035
