Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product,site_id,ore_processed_t,dore_t_mass,conc_t_mass
Copper Mountain,0.0,0.0,0.0,0.0,0.0,MetalliCan,Cu concentrate,BC-MAIN-599152a0,6862152.0,,63500.0
Gibraltar (Cu),0.37574688114405835,0.015355926236587346,8.798711370310648e-05,0.0001549044560436925,2.3514457411585,MetalliCan,Cu concentrate,BC-MAIN-6b4800fe,30000000.0,,186436.98475294118
Highland Valley (Cu),0.0,0.0,0.0,0.0,0.0,MetalliCan,Cu concentrate,BC-MAIN-bf503b6b,17408000.0,,343098.0392156863
Mount Milligan,0.3569142151516507,0.009402579190908877,9.279458791884346e-05,0.00015358850141523796,1.0602558984616337,MetalliCan,Cu concentrate,BC-MAIN-ed23117f,21680000.0,,93533.69434666667
Mount Polley,0.0,0.0,0.0,0.0,0.0,MetalliCan,Cu concentrate,BC-MAIN-3f490561,5948239.0,,45578.436133333336
Red Chris,3.9927791339165193,0.15508446662464773,0.000969702140669085,0.0016755727536689594,23.12579043011965,MetalliCan,Cu concentrate,BC-MAIN-8eb8be0d,1139000.0,0.15869132653061224,13333.333333333334
Goldex (Cu),0.9896175572006276,0.22284816342623318,0.00020928517077937765,0.0005147288640285036,4.262572093552308,MetalliCan,Cu concentrate,QC-MAIN-c0660aec,2886927.328724,4.474542118316694,130.12252666666666
Kidd Creek,0.0,0.0,0.0,0.0,0.0,MetalliCan,Cu concentrate,ON-MAIN-f8313ebd,1340000.0,,152533.33333333334
LaRonde (Cu),0.42866180849001195,0.21132696365242795,0.00016796026798893788,0.0001786442917979235,4.078385067512272,MetalliCan,Cu concentrate,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
New Afton,0.2626474695037733,0.007017600432546223,4.4974780139609306e-05,0.00014480438603967256,0.681746693971462,MetalliCan,Cu concentrate,BC-MAIN-aa76f6f2,3065000.0,,71667.53600000001
Snow Lake (Cu),0.10006643523403663,0.0071115662817115115,1.4697292633680822e-05,4.9345432589458317e-05,0.6930337231864314,MetalliCan,Cu concentrate,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Casa Berardi,7329.000554989665,1626.7278722232732,2.025655699323753,3.5285754805464262,30963.205101691186,MetalliCan,Doré,QC-MAIN-b86f7d07,1361450.0,3.5165997959183577,
Fox Complex,0.0,0.0,0.0,0.0,0.0,MetalliCan,Doré,ON-MAIN-4e0734b5,457000.0,1.453612551020408,
Hemlo,0.0,0.0,0.0,0.0,0.0,MetalliCan,Doré,ON-MAIN-6e9be24e,1266009.0,4.476523630102041,
Meliadine,3350.639309289018,73.4641902535214,0.28213420475685985,1.9610206735756557,1194.5539505531196,MetalliCan,Doré,NU-MAIN-8b0264c9,1918143.0,12.41413683010194,
Rainy River,33723.68640148987,1145.8016226753412,5.0039784946729515,16.9138876663614,119843.10134096444,MetalliCan,Doré,ON-MAIN-0aadf28f,8764000.0,8.05342613010203,
Meadowbank complex,10581.723743547302,173.63087769748813,2.2923112902748297,5.142718770230326,2411.3508898530854,MetalliCan,Doré,GRP-0a2c0d69,3842649.005728,17.66760135719143,
Porcupine complex,7372.172876270805,222.31832140372373,1.4212232473382422,3.107273789923482,28029.95204518363,MetalliCan,Doré,GRP-0d911886,2911000.0,8.251948979591836,
Canadian Malartic,2403.1940186139836,916.7914449579878,1.1668743295322628,0.8383375904509889,17574.82787071448,MetalliCan,Doré,QC-MAIN-e7e6a960,17332900.0,29.039084533163262,
Detour Lake,12478.356909207012,399.60167427714794,2.370583387413493,5.65859757256765,41007.86181920953,MetalliCan,Doré,ON-MAIN-aeafbb59,25434853.5024164,24.0082838377551,
Kiena,3791.4732675234436,83.12966206009952,0.31925378903783425,2.219026512436098,1351.717971427017,MetalliCan,Doré,QC-MAIN-9de9bb0d,191148.0,1.2201776096938775,
Magino,0.0,0.0,0.0,0.0,0.0,MetalliCan,Doré,ON-MAIN-8825d90d,1165551.0,1.0473627551020408,
Elk,0.0,0.0,0.0,0.0,0.0,MetalliCan,Doré,BC-MAIN-4724f4ba,33245.0,0.12428704693877551,
Brucejack,23734.881589251465,1051.3783655629277,5.115007782339781,10.236203940884963,162631.56554516032,MetalliCan,Doré,BC-MAIN-857b7b89,166000.0,0.920409693877551,
Eagle River,3988.3866951829605,87.44707261305481,0.3358345093692183,2.334273564386579,1421.9206077647395,MetalliCan,Doré,ON-MAIN-cb85213a,222627.0,2.7760508515306124,
Éléonore,8001.776732272537,1320.3987830089693,1.5676387529049762,3.7502389404425944,25116.51397664845,MetalliCan,Doré,QC-MAIN-6dc537e6,1661000.0,7.738899920918366,
Goldex (Au),7428.318295015196,1672.754339983963,1.5709471049492763,3.863684339718509,31995.937760975212,MetalliCan,Doré,QC-MAIN-c0660aec,2886927.328724,4.474542118316694,130.12252666666666
Island,4258.089834418349,180.70650558732743,0.916154652216159,1.6382302757800504,25227.5361033082,MetalliCan,Doré,ON-MAIN-687b8c8d,439008.0,4.1704080612244905,
LaRonde (Doré),3217.6432445422756,1586.2732617058696,1.2607519735686168,1.3409489332362117,30613.382556283846,MetalliCan,Doré,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
Lamaque,851.1522699275148,380.55245010413785,0.4133735544881869,0.2749477779460503,7328.739345752168,MetalliCan,Doré,QC-MAIN-f9e41c2a,838419.0,7.932820721938775,
Macassa,26021.869231604305,570.5405373485569,2.19112196337949,15.229757314309744,9277.192745043896,MetalliCan,Doré,ON-MAIN-1f126a43,441588.0,7.253304461734694,
Musselwhite,6814.918490271627,219.56569139615968,1.2168156166520951,2.7243991508560494,28329.257347687148,MetalliCan,Doré,ON-MAIN-fefeaee4,1028000.0,5.712887755102041,
Red Lake,0.0,0.0,0.0,0.0,0.0,MetalliCan,Doré,ON-MAIN-7f050560,841000.0,3.5769025,
Seabee Gold Operation,37437.45171303992,149.6017199621762,2.3859674098027708,6.854456541896567,9539.304335353896,MetalliCan,Doré,GRP-14bfbb82,122000.0,1.2300799484693878,
Snow Lake (Doré),751.123811059985,53.38120422069842,0.1103215704012745,0.370399219240517,5202.085348140448,MetalliCan,Doré,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
