Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Aluminium primary ingot,"aluminium production, primary, liquid, prebake",CA,Total EQ,PDF.m2.yr,7.977868448404632,97.75610074473622
Aluminium primary ingot,"market for silicon, metallurgical grade",GLO,Total EQ,PDF.m2.yr,0.11287874319863547,1.3831496299329993
Aluminium primary ingot,"market for heat, district or industrial, natural gas",CA-QC,Total EQ,PDF.m2.yr,0.018267848487927677,0.22384345501868336
Aluminium primary ingot,"heat production, light fuel oil, at industrial furnace 1MW",CA-QC,Total EQ,PDF.m2.yr,0.016770944681098774,0.2055012774944591
Aluminium primary ingot,market for aluminium casting facility,GLO,Total EQ,PDF.m2.yr,0.012354573692637457,0.15138566878691148
Aluminium primary ingot,market for dross from Al electrolysis,CA,Total EQ,PDF.m2.yr,0.012290839600754076,0.15060470876640977
Aluminium primary ingot,"market for argon, liquid",RoW,Total EQ,PDF.m2.yr,0.0032635746746317814,0.03998992171211758
Aluminium primary ingot,"market for electricity, medium voltage, aluminium industry",CA,Total EQ,PDF.m2.yr,0.0021416022782047646,0.026241932844255803
Aluminium primary ingot,market for corrugated board box,CA-QC,Total EQ,PDF.m2.yr,0.00188685282213714,0.023120383065255184
Aluminium primary ingot,market for cryolite,GLO,Total EQ,PDF.m2.yr,0.001250810476120499,0.01532669480663832
Aluminium primary ingot,market for filter dust from Al electrolysis,RoW,Total EQ,PDF.m2.yr,0.0008990362196547327,0.011016260274297937
Aluminium primary ingot,"market for refractory, fireclay, packed",GLO,Total EQ,PDF.m2.yr,0.0005289548951397514,0.00648150171353644
Aluminium primary ingot,"market for nitrogen, liquid",RoW,Total EQ,PDF.m2.yr,0.00023262012668220792,0.002850390011600986
Aluminium primary ingot,market for stone wool,GLO,Total EQ,PDF.m2.yr,0.00017327922409881338,0.0021232615450510104
Aluminium primary ingot,"market for palm oil, crude",GLO,Total EQ,PDF.m2.yr,0.0001571579056320552,0.0019257204045362727
Aluminium primary ingot,"market for inert waste, for final disposal",RoW,Total EQ,PDF.m2.yr,1.756998364942917e-05,0.00021529223035263715
Aluminium primary ingot,"market for chlorine, liquid",RoW,Total EQ,PDF.m2.yr,1.005080601764699e-05,0.00012315665669109655
Aluminium primary ingot,"aluminium production, primary, liquid, prebake",CA,Total HH,DALY,7.670708817250713e-05,98.04807902735307
Aluminium primary ingot,"market for silicon, metallurgical grade",GLO,Total HH,DALY,1.084228213814076e-06,1.3858757531332038
Aluminium primary ingot,"market for heat, district or industrial, natural gas",CA-QC,Total HH,DALY,1.706223049979755e-07,0.2180918301402374
Aluminium primary ingot,"heat production, light fuel oil, at industrial furnace 1MW",CA-QC,Total HH,DALY,1.4497187038310913e-07,0.18530508382875674
Aluminium primary ingot,"market for electricity, medium voltage, aluminium industry",CA,Total HH,DALY,3.4592919940387725e-08,0.04421715683528826
Aluminium primary ingot,"market for argon, liquid",RoW,Total HH,DALY,3.3370786837377704e-08,0.04265500911308052
Aluminium primary ingot,market for aluminium casting facility,GLO,Total HH,DALY,2.3106920210821786e-08,0.029535590424372468
Aluminium primary ingot,market for cryolite,GLO,Total HH,DALY,1.1018193956084401e-08,0.014083610491319185
Aluminium primary ingot,market for corrugated board box,CA-QC,Total HH,DALY,1.0387174071719757e-08,0.013277031999500082
Aluminium primary ingot,"market for refractory, fireclay, packed",GLO,Total HH,DALY,4.837439807731502e-09,0.006183283603359593
Aluminium primary ingot,market for filter dust from Al electrolysis,RoW,Total HH,DALY,2.4033409127745336e-09,0.003071984158953461
Aluminium primary ingot,"market for nitrogen, liquid",RoW,Total HH,DALY,2.350952534980931e-09,0.0030050205975877854
Aluminium primary ingot,"market for palm oil, crude",GLO,Total HH,DALY,1.7177734652781254e-09,0.0021956822046993742
Aluminium primary ingot,market for dross from Al electrolysis,CA,Total HH,DALY,1.6618035768963497e-09,0.002124140706124079
Aluminium primary ingot,market for stone wool,GLO,Total HH,DALY,1.5787913144048508e-09,0.002018033264596621
Aluminium primary ingot,"market for inert waste, for final disposal",RoW,Total HH,DALY,1.2587018295909975e-10,0.00016088903828817872
Aluminium primary ingot,"market for chlorine, liquid",RoW,Total HH,DALY,9.456405685987187e-11,0.00012087310757113282
Aluminium primary liquid,"market for aluminium oxide, metallurgical",RoW,Total EQ,PDF.m2.yr,4.872097845602255,76.54947306267475
Aluminium primary liquid,"market for electricity, medium voltage, aluminium industry",CA,Total EQ,PDF.m2.yr,0.9886941270001226,15.534173746189428
Aluminium primary liquid,"market for anode, prebake, for aluminium electrolysis",GLO,Total EQ,PDF.m2.yr,0.29739528259366865,4.6726180169841145
Aluminium primary liquid,market for blasting,GLO,Total EQ,PDF.m2.yr,0.0680711444438338,1.0695208518137989
Aluminium primary liquid,"market for cathode, for aluminium electrolysis",GLO,Total EQ,PDF.m2.yr,0.05808051429889521,0.9125499745048711
Aluminium primary liquid,market for aluminium fluoride,GLO,Total EQ,PDF.m2.yr,0.023143893302465843,0.36363244193088007
Aluminium primary liquid,market for reinforcing steel,GLO,Total EQ,PDF.m2.yr,0.015534570654508535,0.2440762143007665
Aluminium primary liquid,market for aluminium electrolysis facility,GLO,Total EQ,PDF.m2.yr,0.014440180783511504,0.2268813691632515
Aluminium primary liquid,market for coke,RoW,Total EQ,PDF.m2.yr,0.007248324529983521,0.1138842939819717
Aluminium primary liquid,market for refractory spent pot liner from Al electrolysis,CA,Total EQ,PDF.m2.yr,0.006075581977702554,0.0954583864447664
Aluminium primary liquid,"market for refractory, fireclay, packed",GLO,Total EQ,PDF.m2.yr,0.005780721354027284,0.09082559250577615
Aluminium primary liquid,market for cryolite,GLO,Total EQ,PDF.m2.yr,0.005003241904481996,0.07860998352873737
Aluminium primary liquid,market for cast iron,GLO,Total EQ,PDF.m2.yr,0.0015410070167609252,0.024212008637185204
Aluminium primary liquid,market for pitch,RoW,Total EQ,PDF.m2.yr,0.0011146554324331722,0.017513253777574688
Aluminium primary liquid,market for waste asphalt,RoW,Total EQ,PDF.m2.yr,0.00024771095703703767,0.0038919873602604404
Aluminium primary liquid,market for scrap steel,RoW,Total EQ,PDF.m2.yr,0.00016155587368321979,0.002538335105850444
Aluminium primary liquid,"market for inert waste, for final disposal",RoW,Total EQ,PDF.m2.yr,6.86643039173092e-06,0.00010788404604455632
Aluminium primary liquid,market for inert waste,RoW,Total EQ,PDF.m2.yr,2.074684653178264e-06,3.259704997824864e-05
Aluminium primary liquid,"market for aluminium oxide, metallurgical",RoW,Total HH,DALY,4.0029870311495796e-05,67.41886264539094
Aluminium primary liquid,"market for electricity, medium voltage, aluminium industry",CA,Total HH,DALY,1.5970200036180895e-05,26.897232348751633
Aluminium primary liquid,"market for anode, prebake, for aluminium electrolysis",GLO,Total HH,DALY,2.4219889258633953e-06,4.079147332999207
Aluminium primary liquid,"market for cathode, for aluminium electrolysis",GLO,Total HH,DALY,2.420432753684163e-07,0.4076526406236571
Aluminium primary liquid,market for aluminium fluoride,GLO,Total HH,DALY,2.0080996438871103e-07,0.33820692651758105
Aluminium primary liquid,market for reinforcing steel,GLO,Total HH,DALY,1.5558028222013908e-07,0.26203046864027607
Aluminium primary liquid,market for coke,RoW,Total HH,DALY,1.3622895841391734e-07,0.22943870075429618
Aluminium primary liquid,"market for refractory, fireclay, packed",GLO,Total HH,DALY,5.28663064702086e-08,0.08903816641795544
Aluminium primary liquid,market for cryolite,GLO,Total HH,DALY,4.4072775824337604e-08,0.07422798017031831
Aluminium primary liquid,market for aluminium electrolysis facility,GLO,Total HH,DALY,3.884017238395335e-08,0.06541515689909837
Aluminium primary liquid,market for refractory spent pot liner from Al electrolysis,CA,Total HH,DALY,2.6029139736855536e-08,0.043838638073048934
Aluminium primary liquid,market for blasting,GLO,Total HH,DALY,2.3787767641243146e-08,0.040063688110048234
Aluminium primary liquid,market for cast iron,GLO,Total HH,DALY,2.258195883307541e-08,0.03803284819520802
Aluminium primary liquid,market for pitch,RoW,Total HH,DALY,8.175358240922892e-09,0.013769051711450566
Aluminium primary liquid,market for scrap steel,RoW,Total HH,DALY,1.1593854373142343e-09,0.0019526530299276933
Aluminium primary liquid,market for waste asphalt,RoW,Total HH,DALY,5.951534910268612e-10,0.001002365762172901
Aluminium primary liquid,"market for inert waste, for final disposal",RoW,Total HH,DALY,4.9190646213899224e-11,8.28475684464182e-05
Aluminium primary liquid,market for inert waste,RoW,Total HH,DALY,3.2895969163958756e-12,5.540384741179239e-06
Cadmium,market for cadmium sludge from zinc electrolysis,GLO,Total EQ,PDF.m2.yr,6.374146912066827,96.09158776894515
Cadmium,"market for chemical factory, organics",GLO,Total EQ,PDF.m2.yr,0.18088400310216793,2.7268638925132898
Cadmium,"market for electricity, medium voltage",CA-QC,Total EQ,PDF.m2.yr,0.061240165390580734,0.9232082047675292
Cadmium,market for sulfuric acid,RoW,Total EQ,PDF.m2.yr,0.0171367546753227,0.25834013377402815
