site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,data_source,value_normalized,reference_mass_unit
BC-MAIN-3f490561,Carbon stock change,Cu concentrate,land_concentrate_economic,1.0,t,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,MetalliCan,0.00014422310490770792,kg
BC-MAIN-4724f4ba,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit mining at Elk,Open-pit,Au–Ag free-milling,MetalliCan,3.2580170334619485,kg
BC-MAIN-599152a0,Carbon stock change,Cu concentrate,land_concentrate_economic,1.0,t,Open-pit mining and beneficiation at Copper Mountain,"Open-pit, concentrator",Cu Porphyry,MetalliCan,0.00019485120808411025,kg
BC-MAIN-6b4800fe,Carbon stock change,Cu concentrate,land_concentrate_economic,0.9761434843455175,t,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator",Cu polymetallic,MetalliCan,0.00010222119711613347,kg
BC-MAIN-6b4800fe,Carbon stock change,Mo concentrate,land_concentrate_economic,0.02385651565448254,t,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator",Cu polymetallic,MetalliCan,0.0004331808411124264,kg
BC-MAIN-8eb8be0d,Carbon stock change,Cu concentrate,land_concentrate_economic,0.9179884916984788,t,Open-pit mining and beneficiation at Red Chris,"Open-pit, concentrator",Au–Ag polymetallic,MetalliCan,0.00020377893723240017,kg
BC-MAIN-8eb8be0d,Carbon stock change,Doré,land_concentrate_economic,0.08201150830152126,t,Open-pit mining and beneficiation at Red Chris,"Open-pit, concentrator",Au–Ag polymetallic,MetalliCan,1.529615942932497,kg
BC-MAIN-aa76f6f2,Carbon stock change,Cu concentrate,land_concentrate_economic,1.0,t,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,MetalliCan,2.5327627218470758e-05,kg
BC-MAIN-bf503b6b,Carbon stock change,Cu concentrate,land_concentrate_economic,0.9785607445570883,t,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,MetalliCan,0.00015791161985625432,kg
BC-MAIN-bf503b6b,Carbon stock change,Mo concentrate,land_concentrate_economic,0.021439255442911746,t,Open-pit mining and beneficiation at Highland Valley,"Open-pit, concentrator",Cu polymetallic,MetalliCan,0.0006691790963183878,kg
BC-MAIN-ed23117f,Carbon stock change,Cu concentrate,land_concentrate_economic,1.0,t,Open-pit mining and beneficiation at Mount Milligan,"Open-pit, concentrator",Cu Porphyry,MetalliCan,8.895702384723054e-05,kg
MB-MAIN-e0a6250e,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Open-pit and underground mining and beneficiation at Thompson (T-1 and T-3),"Open-pit, underground, concentrator",Ni–Cu sulfide,MetalliCan,8.89000326087421e-05,kg
NL-MAIN-2d8801d6,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Open-pit and underground mining and beneficiation at Voisey’s Bay,"Open-pit, underground, concentrator",Ni–Cu sulfide,MetalliCan,5.2028794482133335e-06,kg
ON-MAIN-0aadf28f,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,MetalliCan,2.3345991546624107,kg
ON-MAIN-1f126a43,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Macassa,"Underground, concentrator",Au–Ag free-milling,MetalliCan,0.27877334377943114,kg
ON-MAIN-28f3f0fc,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Underground mining at Totten,Underground,Ni–Cu sulfide,MetalliCan,1.269049747917665e-05,kg
ON-MAIN-48fe2205,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Underground mining at Garson,Underground,Ni–Cu sulfide,MetalliCan,6.304587609700002e-05,kg
ON-MAIN-4e0734b5,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit and underground mining and beneficiation at Fox Complex,"Open-pit, underground, concentrator",Au–Ag free-milling,MetalliCan,3.2688194617694464,kg
ON-MAIN-52224e1e,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Underground mining at Creighton,Underground,Ni–Cu sulfide,MetalliCan,3.792791244583673e-05,kg
ON-MAIN-6e9be24e,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit and underground mining and beneficiation at Hemlo (Williams),"Open-pit, underground, concentrator",Au–Ag free-milling,MetalliCan,0.7173308438847498,kg
ON-MAIN-7607a50e,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,MetalliCan,0.18716107479473432,kg
ON-MAIN-7f050560,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Red Lake,"Underground, concentrator",Au–Ag refractory,MetalliCan,0.9754846392502685,kg
ON-MAIN-8825d90d,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit mining and beneficiation at Magino,"Open-pit, concentrator",Au–Ag free-milling,MetalliCan,0.15995082004262998,kg
ON-MAIN-aeafbb59,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Au–Ag free-milling,MetalliCan,0.20404155850637765,kg
ON-MAIN-cb85213a,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Au–Ag free-milling,MetalliCan,0.07690607216389968,kg
ON-MAIN-ed85ac94,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,and beneficiation at Strathcona,Concentrator,Ni–Cu sulfide,MetalliCan,2.3493361694769144e-05,kg
ON-MAIN-f080c409,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,MetalliCan,0.0005934653415745432,kg
ON-MAIN-f8313ebd,Carbon stock change,Cu concentrate,land_concentrate_economic,0.7230258878971872,t,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,MetalliCan,4.362569522674933e-05,kg
ON-MAIN-f8313ebd,Carbon stock change,Zn concentrate,land_concentrate_economic,0.2769741121028128,t,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,MetalliCan,1.6307882605836142e-05,kg
ON-MAIN-fefeaee4,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,MetalliCan,0.0,kg
QC-MAIN-02884fb5,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,MetalliCan,0.7099815967276768,kg
QC-MAIN-6dc537e6,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,MetalliCan,0.0,kg
QC-MAIN-9de9bb0d,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Au–Ag free-milling,MetalliCan,0.0,kg
QC-MAIN-a555d9b9,Carbon stock change,Nb concentrate,land_concentrate_economic,,t,Underground mining and beneficiation at Niobec,"Underground, concentrator",Nb mine,MetalliCan,,kg
QC-MAIN-a97821c0,Carbon stock change,Ni concentrate,land_concentrate_economic,1.0,t,Underground mining and beneficiation at Raglan,"Underground, concentrator",Ni–Cu sulfide,MetalliCan,0.0,kg
QC-MAIN-b86f7d07,Carbon stock change,Doré,land_concentrate_economic,1.0,t,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,MetalliCan,0.8731258038085787,kg
QC-MAIN-c0660aec,Carbon stock change,Cu concentrate,land_concentrate_economic,0.003859237362487364,t,Underground mining and beneficiation at Goldex,"Underground, concentrator",Au–Ag polymetallic,MetalliCan,1.0944120541294378e-05,kg
QC-MAIN-c0660aec,Carbon stock change,Doré,land_concentrate_economic,0.9961407626375127,t,Underground mining and beneficiation at Goldex,"Underground, concentrator",Au–Ag polymetallic,MetalliCan,0.08214932067413518,kg
QC-MAIN-de3d8b7b,Carbon stock change,Pb concentrate,land_concentrate_economic,1.0,t,Refining at Canadian Electrolytic Zinc Limited (CEZinc),Refinery,Zn refinery,MetalliCan,3.088281791774089e-06,kg
QC-MAIN-e51eda66,Carbon stock change,Cu concentrate,land_concentrate_economic,0.09772240804218515,t,Underground mining and beneficiation at LaRonde,"Underground, concentrator",Au–Ag polymetallic,MetalliCan,5.578556637566961e-05,kg
QC-MAIN-e51eda66,Carbon stock change,Zn concentrate,land_concentrate_economic,0.06548662801881933,t,Underground mining and beneficiation at LaRonde,"Underground, concentrator",Au–Ag polymetallic,MetalliCan,2.0853409047718408e-05,kg
