main_id,facility_group_id,flow_type,subflow_type,mass,site_id,activity_name,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
BC-MAIN-aa76f6f2,,Material use,2'' balls,980.0,BC-MAIN-aa76f6f2,"Au and Cu, Underground mining and beneficiation at New Afton",3065000.0,0.00031973898858075043,Ore processed,1,ore
ON-MAIN-0aadf28f,,Material use,2.5'' balls,5977.02,ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River",8764000.0,0.0006819968051118211,Ore processed,1,ore
BC-MAIN-aa76f6f2,,Material use,3/4'' balls,179.0,BC-MAIN-aa76f6f2,"Au and Cu, Underground mining and beneficiation at New Afton",3065000.0,5.840130505709625e-05,Ore processed,1,ore
ON-MAIN-0aadf28f,,Material use,5.5'' balls,2819.39,ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River",8764000.0,0.00032170127795527157,Ore processed,1,ore
BC-MAIN-aa76f6f2,,Material use,Anti-scalant,38.0,BC-MAIN-aa76f6f2,"Au and Cu, Underground mining and beneficiation at New Afton",3065000.0,1.2398042414355628e-05,Ore processed,1,ore
ON-MAIN-0aadf28f,,Material use,Anti-scalant,231.23982,ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River",8764000.0,2.6385191693290736e-05,Ore processed,1,ore
QC-MAIN-02884fb5,,Material use,Anti-scalant,35.4,QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",1034000.0,3.4235976789168274e-05,Ore processed,1,ore
QC-MAIN-02884fb5,,Material use,Carbon,60.4,QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",1034000.0,5.841392649903288e-05,Ore processed,1,ore
ON-MAIN-0aadf28f,,Material use,Caustic soda,526.21,ON-MAIN-0aadf28f,"Au, Open-pit and underground mining and beneficiation at Rainy River",8764000.0,6.004221816522137e-05,Ore processed,1,ore
QC-MAIN-02884fb5,,Material use,Caustic soda,86.6,QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",1034000.0,8.375241779497098e-05,Ore processed,1,ore
QC-MAIN-6dc537e6,,Material use,Cement,27374.0,QC-MAIN-6dc537e6,"Au and Ag, Underground mining and beneficiation at Éléonore",1661000.0,0.01648043347381096,Ore processed,1,ore
ON-MAIN-fefeaee4,,Material use,Cement,9417.6,ON-MAIN-fefeaee4,"Au, Underground mining and beneficiation at Musselwhite",1028000.0,0.009161089494163424,Ore processed,1,ore
