compartment_id,substance_id,substance_name,compartment_name,release_pathway,flow_direction
compb30db82f,95-63-6,"1,2,4-Trimethylbenzene",Air,Other,Emission
comp7d3e3488,57-97-6,"7,12-Dimethylbenz[a]anthracene",Air,Fugitive Emissions,Emission
compa50ae012,194-59-2,"7H-Dibenzo[c,g]carbazole",Air,Stack Emissions,Emission
comp7d3e3488,83-32-9,Acenaphthene,Air,Fugitive Emissions,Emission
compa50ae012,83-32-9,Acenaphthene,Air,Stack Emissions,Emission
comp7d3e3488,208-96-8,Acenaphthylene,Air,Fugitive Emissions,Emission
compa50ae012,208-96-8,Acenaphthylene,Air,Stack Emissions,Emission
compa50ae012,75-07-0,Acetaldehyde,Air,Stack Emissions,Emission
compa50ae012,7429-90-5,Aluminum (fume or dust only),Air,Stack Emissions,Emission
comp82641eec,7664-41-7,Ammonia,Air,Unspecified,Emission
comp7d3e3488,NA - 16,Ammonia (total),Air,Fugitive Emissions,Emission
compa50ae012,NA - 16,Ammonia (total),Air,Stack Emissions,Emission
comp1dcc546c,NA - 16,Ammonia (total),Air,Storage / Handling,Emission
comp7d3e3488,120-12-7,Anthracene,Air,Fugitive Emissions,Emission
compb30db82f,120-12-7,Anthracene,Air,Other,Emission
compa50ae012,120-12-7,Anthracene,Air,Stack Emissions,Emission
comp7d3e3488,NA - 01,Antimony (and its compounds),Air,Fugitive Emissions,Emission
compa50ae012,NA - 01,Antimony (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 01,Antimony (and its compounds),Air,Storage / Handling,Emission
comp7d3e3488,NA - 02,Arsenic,Air,Fugitive Emissions,Emission
compb30db82f,NA - 02,Arsenic,Air,Other,Emission
compa50ae012,NA - 02,Arsenic,Air,Stack Emissions,Emission
comp1dcc546c,NA - 02,Arsenic,Air,Storage / Handling,Emission
comp82641eec,NA - 02,Arsenic,Air,Unspecified,Emission
comp7d3e3488,NA - 02,Arsenic (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 02,Arsenic (and its compounds),Air,Other,Emission
compa50ae012,NA - 02,Arsenic (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 02,Arsenic (and its compounds),Air,Storage / Handling,Emission
comp82641eec,NA - 02,Arsenic (and its compounds),Air,Unspecified,Emission
comp7d3e3488,56-55-3,Benz[a]anthracene,Air,Fugitive Emissions,Emission
compb30db82f,56-55-3,Benz[a]anthracene,Air,Other,Emission
compa50ae012,56-55-3,Benz[a]anthracene,Air,Stack Emissions,Emission
comp7d3e3488,71-43-2,Benzene,Air,Fugitive Emissions,Emission
compa50ae012,71-43-2,Benzene,Air,Stack Emissions,Emission
comp1dcc546c,71-43-2,Benzene,Air,Storage / Handling,Emission
comp7d3e3488,50-32-8,Benzo[a]pyrene,Air,Fugitive Emissions,Emission
compb30db82f,50-32-8,Benzo[a]pyrene,Air,Other,Emission
compa50ae012,50-32-8,Benzo[a]pyrene,Air,Stack Emissions,Emission
comp7d3e3488,205-99-2,Benzo[b]fluoranthene,Air,Fugitive Emissions,Emission
compb30db82f,205-99-2,Benzo[b]fluoranthene,Air,Other,Emission
compa50ae012,205-99-2,Benzo[b]fluoranthene,Air,Stack Emissions,Emission
comp7d3e3488,192-97-2,Benzo[e]pyrene,Air,Fugitive Emissions,Emission
compb30db82f,192-97-2,Benzo[e]pyrene,Air,Other,Emission
compa50ae012,192-97-2,Benzo[e]pyrene,Air,Stack Emissions,Emission
comp7d3e3488,191-24-2,Benzo[ghi]perylene,Air,Fugitive Emissions,Emission
compb30db82f,191-24-2,Benzo[ghi]perylene,Air,Other,Emission
compa50ae012,191-24-2,Benzo[ghi]perylene,Air,Stack Emissions,Emission
comp7d3e3488,205-82-3,Benzo[j]fluoranthene,Air,Fugitive Emissions,Emission
compb30db82f,205-82-3,Benzo[j]fluoranthene,Air,Other,Emission
compa50ae012,205-82-3,Benzo[j]fluoranthene,Air,Stack Emissions,Emission
comp7d3e3488,207-08-9,Benzo[k]fluoranthene,Air,Fugitive Emissions,Emission
compb30db82f,207-08-9,Benzo[k]fluoranthene,Air,Other,Emission
compa50ae012,207-08-9,Benzo[k]fluoranthene,Air,Stack Emissions,Emission
comp82641eec,124-38-9,Biogenic CO2,Air,Unspecified,Emission
comp82641eec,74-82-8,CH4,Air,Unspecified,Emission
comp7d3e3488,630-08-0,CO,Air,Fugitive Emissions,Emission
compb30db82f,630-08-0,CO,Air,Other,Emission
comp3ca42ad5,630-08-0,CO,Air,Spills,Emission
compa50ae012,630-08-0,CO,Air,Stack Emissions,Emission
comp82641eec,630-08-0,CO,Air,Unspecified,Emission
comp82641eec,124-38-9,CO2,Air,Unspecified,Emission
comp7d3e3488,NA - 03,Cadmium (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 03,Cadmium (and its compounds),Air,Other,Emission
compa50ae012,NA - 03,Cadmium (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 03,Cadmium (and its compounds),Air,Storage / Handling,Emission
comp7d3e3488,7789-75-5,Calcium fluoride,Air,Fugitive Emissions,Emission
compb30db82f,7789-75-5,Calcium fluoride,Air,Other,Emission
compa50ae012,7789-75-5,Calcium fluoride,Air,Stack Emissions,Emission
comp7d3e3488,75-15-0,Carbon disulphide,Air,Fugitive Emissions,Emission
compa50ae012,75-15-0,Carbon disulphide,Air,Stack Emissions,Emission
comp7d3e3488,630-08-0,Carbon monoxide,Air,Fugitive Emissions,Emission
compb30db82f,630-08-0,Carbon monoxide,Air,Other,Emission
comp3ca42ad5,630-08-0,Carbon monoxide,Air,Spills,Emission
compa50ae012,630-08-0,Carbon monoxide,Air,Stack Emissions,Emission
comp82641eec,630-08-0,Carbon monoxide,Air,Unspecified,Emission
comp7d3e3488,463-58-1,Carbonyl sulphide,Air,Fugitive Emissions,Emission
compa50ae012,463-58-1,Carbonyl sulphide,Air,Stack Emissions,Emission
compa50ae012,7782-50-5,Chlorine,Air,Stack Emissions,Emission
comp7d3e3488,NA - 04,Chromium (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 04,Chromium (and its compounds),Air,Other,Emission
compa50ae012,NA - 04,Chromium (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 04,Chromium (and its compounds),Air,Storage / Handling,Emission
comp7d3e3488,218-01-9,Chrysene,Air,Fugitive Emissions,Emission
compb30db82f,218-01-9,Chrysene,Air,Other,Emission
compa50ae012,218-01-9,Chrysene,Air,Stack Emissions,Emission
comp7d3e3488,NA - 05,Cobalt (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 05,Cobalt (and its compounds),Air,Other,Emission
compa50ae012,NA - 05,Cobalt (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 05,Cobalt (and its compounds),Air,Storage / Handling,Emission
comp7d3e3488,NA - 06,Copper (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 06,Copper (and its compounds),Air,Other,Emission
compa50ae012,NA - 06,Copper (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 06,Copper (and its compounds),Air,Storage / Handling,Emission
comp7d3e3488,NA - 07,Cyanides (ionic),Air,Fugitive Emissions,Emission
compa50ae012,NA - 07,Cyanides (ionic),Air,Stack Emissions,Emission
comp7d3e3488,226-36-8,"Dibenz[a,h]acridine",Air,Fugitive Emissions,Emission
comp7d3e3488,53-70-3,"Dibenz[a,h]anthracene",Air,Fugitive Emissions,Emission
compb30db82f,53-70-3,"Dibenz[a,h]anthracene",Air,Other,Emission
compa50ae012,53-70-3,"Dibenz[a,h]anthracene",Air,Stack Emissions,Emission
comp7d3e3488,224-42-0,"Dibenz[a,j]acridine",Air,Fugitive Emissions,Emission
comp7d3e3488,5385-75-1,"Dibenzo[a,e]fluoranthene",Air,Fugitive Emissions,Emission
compa50ae012,5385-75-1,"Dibenzo[a,e]fluoranthene",Air,Stack Emissions,Emission
comp7d3e3488,192-65-4,"Dibenzo[a,e]pyrene",Air,Fugitive Emissions,Emission
compa50ae012,192-65-4,"Dibenzo[a,e]pyrene",Air,Stack Emissions,Emission
comp7d3e3488,189-64-0,"Dibenzo[a,h]pyrene",Air,Fugitive Emissions,Emission
comp7d3e3488,189-55-9,"Dibenzo[a,i]pyrene",Air,Fugitive Emissions,Emission
compb30db82f,189-55-9,"Dibenzo[a,i]pyrene",Air,Other,Emission
compa50ae012,189-55-9,"Dibenzo[a,i]pyrene",Air,Stack Emissions,Emission
comp7d3e3488,NA - D/F,Dioxins and furans - total,Air,Fugitive Emissions,Emission
compa50ae012,NA - D/F,Dioxins and furans - total,Air,Stack Emissions,Emission
comp82641eec,Direct dust emissions,Direct dust emissions,Air,Unspecified,Emission
comp7d3e3488,100-41-4,Ethylbenzene,Air,Fugitive Emissions,Emission
compb30db82f,100-41-4,Ethylbenzene,Air,Other,Emission
compa50ae012,100-41-4,Ethylbenzene,Air,Stack Emissions,Emission
comp7d3e3488,74-85-1,Ethylene,Air,Fugitive Emissions,Emission
compa50ae012,74-85-1,Ethylene,Air,Stack Emissions,Emission
comp7d3e3488,107-21-1,Ethylene glycol,Air,Fugitive Emissions,Emission
compb30db82f,107-21-1,Ethylene glycol,Air,Other,Emission
comp7d3e3488,206-44-0,Fluoranthene,Air,Fugitive Emissions,Emission
compb30db82f,206-44-0,Fluoranthene,Air,Other,Emission
compa50ae012,206-44-0,Fluoranthene,Air,Stack Emissions,Emission
comp7d3e3488,86-73-7,Fluorene,Air,Fugitive Emissions,Emission
compa50ae012,86-73-7,Fluorene,Air,Stack Emissions,Emission
comp82641eec,Direct dust emissions,Fluoride emissions,Air,Unspecified,Emission
compa50ae012,7782-41-4,Fluorine,Air,Stack Emissions,Emission
comp82641eec,NA - GHG,GHG,Air,Unspecified,Emission
comp7d3e3488,118-74-1,Hexachlorobenzene,Air,Fugitive Emissions,Emission
compa50ae012,118-74-1,Hexachlorobenzene,Air,Stack Emissions,Emission
comp7d3e3488,NA - 19,Hexavalent chromium (and its compounds),Air,Fugitive Emissions,Emission
compa50ae012,NA - 19,Hexavalent chromium (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 19,Hexavalent chromium (and its compounds),Air,Storage / Handling,Emission
comp7d3e3488,7647-01-0,Hydrochloric acid,Air,Fugitive Emissions,Emission
compa50ae012,7647-01-0,Hydrochloric acid,Air,Stack Emissions,Emission
comp1dcc546c,7647-01-0,Hydrochloric acid,Air,Storage / Handling,Emission
comp7d3e3488,74-90-8,Hydrogen cyanide,Air,Fugitive Emissions,Emission
compa50ae012,74-90-8,Hydrogen cyanide,Air,Stack Emissions,Emission
comp7d3e3488,7664-39-3,Hydrogen fluoride,Air,Fugitive Emissions,Emission
compa50ae012,7664-39-3,Hydrogen fluoride,Air,Stack Emissions,Emission
comp1dcc546c,7664-39-3,Hydrogen fluoride,Air,Storage / Handling,Emission
comp82641eec,7664-39-3,Hydrogen fluoride,Air,Unspecified,Emission
comp7d3e3488,7783-06-4,Hydrogen sulphide,Air,Fugitive Emissions,Emission
compa50ae012,7783-06-4,Hydrogen sulphide,Air,Stack Emissions,Emission
comp1dcc546c,7783-06-4,Hydrogen sulphide,Air,Storage / Handling,Emission
comp7d3e3488,193-39-5,"Indeno[1,2,3-cd]pyrene",Air,Fugitive Emissions,Emission
compb30db82f,193-39-5,"Indeno[1,2,3-cd]pyrene",Air,Other,Emission
compa50ae012,193-39-5,"Indeno[1,2,3-cd]pyrene",Air,Stack Emissions,Emission
comp7d3e3488,67-63-0,Isopropyl alcohol,Air,Fugitive Emissions,Emission
comp7d3e3488,NA - 08,Lead,Air,Fugitive Emissions,Emission
compb30db82f,NA - 08,Lead,Air,Other,Emission
compa50ae012,NA - 08,Lead,Air,Stack Emissions,Emission
comp1dcc546c,NA - 08,Lead,Air,Storage / Handling,Emission
comp82641eec,NA - 08,Lead,Air,Unspecified,Emission
comp7d3e3488,NA - 08,Lead (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 08,Lead (and its compounds),Air,Other,Emission
compa50ae012,NA - 08,Lead (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 08,Lead (and its compounds),Air,Storage / Handling,Emission
comp82641eec,NA - 08,Lead (and its compounds),Air,Unspecified,Emission
comp7d3e3488,NA - 09,Manganese,Air,Fugitive Emissions,Emission
compb30db82f,NA - 09,Manganese,Air,Other,Emission
compa50ae012,NA - 09,Manganese,Air,Stack Emissions,Emission
comp1dcc546c,NA - 09,Manganese,Air,Storage / Handling,Emission
comp82641eec,NA - 09,Manganese,Air,Unspecified,Emission
comp7d3e3488,NA - 09,Manganese (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 09,Manganese (and its compounds),Air,Other,Emission
compa50ae012,NA - 09,Manganese (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 09,Manganese (and its compounds),Air,Storage / Handling,Emission
comp82641eec,NA - 09,Manganese (and its compounds),Air,Unspecified,Emission
comp7d3e3488,NA - 10,Mercury,Air,Fugitive Emissions,Emission
compb30db82f,NA - 10,Mercury,Air,Other,Emission
compa50ae012,NA - 10,Mercury,Air,Stack Emissions,Emission
comp1dcc546c,NA - 10,Mercury,Air,Storage / Handling,Emission
comp82641eec,NA - 10,Mercury,Air,Unspecified,Emission
comp7d3e3488,NA - 10,Mercury (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 10,Mercury (and its compounds),Air,Other,Emission
compa50ae012,NA - 10,Mercury (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 10,Mercury (and its compounds),Air,Storage / Handling,Emission
comp82641eec,NA - 10,Mercury (and its compounds),Air,Unspecified,Emission
comp7d3e3488,67-56-1,Methanol,Air,Fugitive Emissions,Emission
compb30db82f,67-56-1,Methanol,Air,Other,Emission
compa50ae012,67-56-1,Methanol,Air,Stack Emissions,Emission
comp82641eec,10024-97-2,N2O,Air,Unspecified,Emission
comp82641eec,10102-44-0,NO2,Air,Unspecified,Emission
comp82641eec,NA - NOx,NOx,Air,Unspecified,Emission
comp82641eec,NA - NOx,NOx (excluding NO2),Air,Unspecified,Emission
comp7d3e3488,91-20-3,Naphthalene,Air,Fugitive Emissions,Emission
compb30db82f,91-20-3,Naphthalene,Air,Other,Emission
compa50ae012,91-20-3,Naphthalene,Air,Stack Emissions,Emission
comp1dcc546c,91-20-3,Naphthalene,Air,Storage / Handling,Emission
comp7d3e3488,NA - 11,Nickel (and its compounds),Air,Fugitive Emissions,Emission
compb30db82f,NA - 11,Nickel (and its compounds),Air,Other,Emission
compa50ae012,NA - 11,Nickel (and its compounds),Air,Stack Emissions,Emission
comp1dcc546c,NA - 11,Nickel (and its compounds),Air,Storage / Handling,Emission
compa50ae012,NA - 17,Nitrate ion in solution at pH >= 6.0,Air,Stack Emissions,Emission
compa50ae012,7697-37-2,Nitric acid,Air,Stack Emissions,Emission
comp7d3e3488,11104-93-1,Nitrogen oxides (expressed as nitrogen dioxide),Air,Fugitive Emissions,Emission
compb30db82f,11104-93-1,Nitrogen oxides (expressed as nitrogen dioxide),Air,Other,Emission
comp3ca42ad5,11104-93-1,Nitrogen oxides (expressed as nitrogen dioxide),Air,Spills,Emission
compa50ae012,11104-93-1,Nitrogen oxides (expressed as nitrogen dioxide),Air,Stack Emissions,Emission
