commodities,mining_method,subflow_type_agg,n,min,max,mean,std,p05,p50,p95,best_dist,AIC,BIC,KS_p,params_json
"Copper, gold, silver",Concentrator,Diesel,1,11.798048192462073,11.798048192462073,11.798048192462073,0.0,11.798048192462073,11.798048192462073,11.798048192462073,insufficient_data,,,,{}
"Copper, gold, silver",Concentrator,Electricity,1,286.790499540086,286.790499540086,286.790499540086,0.0,286.790499540086,286.790499540086,286.790499540086,insufficient_data,,,,{}
"Copper, gold, silver",Concentrator,Gasoline,1,0.05362749178391851,0.05362749178391851,0.05362749178391851,0.0,0.05362749178391851,0.05362749178391851,0.05362749178391851,insufficient_data,,,,{}
"Copper, gold, silver",Concentrator,LPG-Propane,1,1.474756024057759,1.474756024057759,1.474756024057759,0.0,1.474756024057759,1.474756024057759,1.474756024057759,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Diesel,1,56.121766666666666,56.121766666666666,56.121766666666666,0.0,56.121766666666666,56.121766666666666,56.121766666666666,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Electricity,1,56.522166666666664,56.522166666666664,56.522166666666664,0.0,56.522166666666664,56.522166666666664,56.522166666666664,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Gasoline,1,1.2930333333333333,1.2930333333333333,1.2930333333333333,0.0,1.2930333333333333,1.2930333333333333,1.2930333333333333,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",LPG-Propane,1,0.0151,0.0151,0.0151,0.0,0.0151,0.0151,0.0151,insufficient_data,,,,{}
"Copper, molybdenum, silver","Open-pit, concentrator",Natural gas,1,6.232566666666667,6.232566666666667,6.232566666666667,0.0,6.232566666666667,6.232566666666667,6.232566666666667,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Diesel,1,239.9020654152803,239.9020654152803,239.9020654152803,0.0,239.9020654152803,239.9020654152803,239.9020654152803,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Electricity,1,804.9092849519743,804.9092849519743,804.9092849519743,0.0,804.9092849519743,804.9092849519743,804.9092849519743,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Explosives,1,10.588653817983971,10.588653817983971,10.588653817983971,0.0,10.588653817983971,10.588653817983971,10.588653817983971,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Gasoline,1,6.441082302718312,6.441082302718312,6.441082302718312,0.0,6.441082302718312,6.441082302718312,6.441082302718312,insufficient_data,,,,{}
Gold,"Open-pit, concentrator",Natural gas,1,179.8606315525143,179.8606315525143,179.8606315525143,0.0,179.8606315525143,179.8606315525143,179.8606315525143,insufficient_data,,,,{}
Gold,"Open-pit, underground, concentrator",Diesel,1,237.75502385844018,237.75502385844018,237.75502385844018,0.0,237.75502385844018,237.75502385844018,237.75502385844018,insufficient_data,,,,{}
Gold,"Open-pit, underground, concentrator",Electricity,1,488.938072320181,488.938072320181,488.938072320181,0.0,488.938072320181,488.938072320181,488.938072320181,insufficient_data,,,,{}
Gold,"Underground, concentrator",Diesel,6,45.03364629692618,490.0451866973237,228.3840810342356,192.11454503659203,45.94494564124461,152.60808659660353,487.86654910893196,lognormal,80.79127574378158,80.37479468223769,0.8245037788392706,"{'mu_log': 4.972154755619624, 'sigma_log': 1.0082132348873365, 'scale': 144.33756471252744}"
Gold,"Underground, concentrator",Electricity,6,46.84443798825567,1155.6677248576934,475.41678635920925,372.78788343646204,90.91220761218918,332.0129462659275,1057.4625802166354,weibull_min,89.58099426387894,89.16451320233504,0.8811493548335696,"{'shape': 1.2381288224157563, 'scale': 509.07154930679644}"
