main_id,facility_group_id,company_id,year,flow_type,subflow_type_agg,value_normalized_sum,tech_attr_id,level,geography,reported_company_nrcan,name,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,method,comment,source,source_id,value_%,archetype_id,ore_type,mining_method,mining_submethod,mining_depth
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Aviation fuel,26.900028249027237,TA-8eb8be0d-2023-1,Site-specific,Canada,Newmont Corporation,Musselwhite,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill ore grade,Reported,,Operating_statistics_2024,SRC_NewmontCorporation_Operating_statistics_2024,0.0005700999999999999,ARCH-8eb8be0d-1,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Diesel,311.65865860869815,TA-8eb8be0d-2023-1,Site-specific,Canada,Newmont Corporation,Musselwhite,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill ore grade,Reported,,Operating_statistics_2024,SRC_NewmontCorporation_Operating_statistics_2024,0.0005700999999999999,ARCH-8eb8be0d-1,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Electricity,501.1495956051194,TA-8eb8be0d-2023-1,Site-specific,Canada,Newmont Corporation,Musselwhite,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill ore grade,Reported,,Operating_statistics_2024,SRC_NewmontCorporation_Operating_statistics_2024,0.0005700999999999999,ARCH-8eb8be0d-1,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,Gasoline,5.289528210116732,TA-8eb8be0d-2023-1,Site-specific,Canada,Newmont Corporation,Musselwhite,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill ore grade,Reported,,Operating_statistics_2024,SRC_NewmontCorporation_Operating_statistics_2024,0.0005700999999999999,ARCH-8eb8be0d-1,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,
BC-MAIN-8eb8be0d,nan,CMP-4a434d72,2023,Energy,LPG-Propane,223.6302227140078,TA-8eb8be0d-2023-1,Site-specific,Canada,Newmont Corporation,Musselwhite,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill ore grade,Reported,,Operating_statistics_2024,SRC_NewmontCorporation_Operating_statistics_2024,0.0005700999999999999,ARCH-8eb8be0d-1,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Diesel,186.64948897717937,TA-0aadf28f-2023-1,Site-specific,Canada,New Gold Inc,Rainy River,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production,9.9e-05,ARCH-0aadf28f-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Electricity,333.09242355089003,TA-0aadf28f-2023-1,Site-specific,Canada,New Gold Inc,Rainy River,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production,9.9e-05,ARCH-0aadf28f-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Explosives,6.757474669100867,TA-0aadf28f-2023-1,Site-specific,Canada,New Gold Inc,Rainy River,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production,9.9e-05,ARCH-0aadf28f-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Gasoline,4.476711709265177,TA-0aadf28f-2023-1,Site-specific,Canada,New Gold Inc,Rainy River,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production,9.9e-05,ARCH-0aadf28f-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,LPG-Propane,10.656406564240074,TA-0aadf28f-2023-1,Site-specific,Canada,New Gold Inc,Rainy River,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production,9.9e-05,ARCH-0aadf28f-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Aviation fuel,13.04160077062011,TA-538513cd-2023-1,Site-specific,Canada,Newmont Corporation,Éléonore,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill ore grade,Reported,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023,0.00047850000000000003,ARCH-538513cd-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Diesel,231.98542889825404,TA-538513cd-2023-1,Site-specific,Canada,Newmont Corporation,Éléonore,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill ore grade,Reported,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023,0.00047850000000000003,ARCH-538513cd-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Electricity,539.2902210957255,TA-538513cd-2023-1,Site-specific,Canada,Newmont Corporation,Éléonore,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill ore grade,Reported,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023,0.00047850000000000003,ARCH-538513cd-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Gasoline,6.031377423239012,TA-538513cd-2023-1,Site-specific,Canada,Newmont Corporation,Éléonore,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill ore grade,Reported,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023,0.00047850000000000003,ARCH-538513cd-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,LPG-Propane,85.72737757375076,TA-538513cd-2023-1,Site-specific,Canada,Newmont Corporation,Éléonore,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill ore grade,Reported,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023,0.00047850000000000003,ARCH-538513cd-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Diesel,48.6788436741999,TA-687b8c8d-2023-1,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.00022,ARCH-687b8c8d-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Electricity,333.9844693293751,TA-687b8c8d-2023-1,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.00022,ARCH-687b8c8d-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Gasoline,0.7380004565596044,TA-687b8c8d-2023-1,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.00022,ARCH-687b8c8d-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
