env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key,unit_normalized,facility_name,province,facility_type,mining_processing_type,commodities,substance_name
npri-1568-2023-1,2023,Air,NA - 16,Emission,Stack Emissions,tonnes,0.636,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,1.440256528710019e-06,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Ammonia (total)
npri-1568-2023-2,2023,Air,NA - 02,Emission,Stack Emissions,kg,0.116,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.626882976892488e-07,main_id,kg/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Arsenic (and its compounds)
npri-1568-2023-3,2023,Air,630-08-0,Emission,Stack Emissions,tonnes,76.208,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,0.0001725771533646748,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Carbon monoxide
npri-1568-2023-4,2023,Air,NA - 04,Emission,Stack Emissions,tonnes,0.00105,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.377782004945786e-09,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Chromium (and its compounds)
npri-1568-2023-5,2023,Air,NA - 05,Emission,Stack Emissions,kg,0.18,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,4.076197722764205e-07,main_id,kg/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Cobalt (and its compounds)
npri-1568-2023-6,2023,Air,NA - 06,Emission,Stack Emissions,tonnes,0.00105,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.377782004945786e-09,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Copper (and its compounds)
npri-1568-2023-7,2023,Air,NA - 07,Emission,Stack Emissions,tonnes,0.098,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.219263204616067e-07,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Cyanides (ionic)
npri-1568-2023-8,2023,Air,NA - 08,Emission,Stack Emissions,kg,0.29,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,6.56720744223122e-07,main_id,kg/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Lead (and its compounds)
npri-1568-2023-9,2023,Air,NA - 09,Emission,Stack Emissions,tonnes,0.012,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.71746514850947e-08,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Manganese (and its compounds)
npri-1568-2023-10,2023,Air,7697-37-2,Emission,Stack Emissions,tonnes,0.105,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.377782004945787e-07,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Nitric acid
npri-1568-2023-11,2023,Air,11104-93-1,Emission,Stack Emissions,tonnes,140.902,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,0.0003190802286294011,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Nitrogen oxides (expressed as nitrogen dioxide)
npri-1568-2023-12,2023,Air,NA - 22,Emission,Stack Emissions,tonnes,0.001,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,2.264554290424559e-09,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Phosphorus (total)
