env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key,unit_normalized,facility_name,province,facility_type,mining_processing_type,commodities,substance_name
npri-1568-2023-13,2023,Air,NA - M09,Emission,Stack Emissions,tonnes,21.207,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,4.802440283703361e-05,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",PM10 - Particulate Matter <= 10 Micrometers
npri-1568-2023-14,2023,Air,NA - M10,Emission,Stack Emissions,tonnes,21.207,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,4.802440283703361e-05,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",PM2.5 - Particulate Matter <= 2.5 Micrometers
npri-1568-2023-15,2023,Air,NA - 37,Emission,Stack Emissions,kg,0.008,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,1.811643432339647e-08,main_id,kg/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Thallium (and its compounds)
npri-1568-2023-16,2023,Air,NA - M08,Emission,Stack Emissions,tonnes,21.207,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,4.802440283703361e-05,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Total particulate matter
npri-1568-2023-17,2023,Air,NA - 40,Emission,Stack Emissions,tonnes,0.00158,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,3.577995778870803e-09,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Vanadium (and its compounds)
npri-1568-2023-18,2023,Air,NA - 14,Emission,Stack Emissions,tonnes,0.0008,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,441588.0,,441588.0,1.811643432339647e-09,main_id,tonnes/t,Macassa,Ontario,mining,"Underground, concentrator","Au, Ag",Zinc (and its compounds)
npri-25188-2023-1,2023,Air,630-08-0,Emission,Stack Emissions,tonnes,3.03,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,19594928.0,,19594928.0,1.546318516710038e-07,main_id,tonnes/t,Canadian Malartic,Quebec,mining,"Open-pit, concentrator","Au, Ag",Carbon monoxide
npri-25188-2023-2,2023,Air,11104-93-1,Emission,Stack Emissions,tonnes,9.03,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,19594928.0,,19594928.0,4.608335381482391e-07,main_id,tonnes/t,Canadian Malartic,Quebec,mining,"Open-pit, concentrator","Au, Ag",Nitrogen oxides (expressed as nitrogen dioxide)
npri-25188-2023-3,2023,Air,NA - M09,Emission,Stack Emissions,tonnes,1.73,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,19594928.0,,19594928.0,8.828815293426952e-08,main_id,tonnes/t,Canadian Malartic,Quebec,mining,"Open-pit, concentrator","Au, Ag",PM10 - Particulate Matter <= 10 Micrometers
npri-25188-2023-4,2023,Air,NA - M10,Emission,Stack Emissions,tonnes,0.61,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,19594928.0,,19594928.0,3.113050479185226e-08,main_id,tonnes/t,Canadian Malartic,Quebec,mining,"Open-pit, concentrator","Au, Ag",PM2.5 - Particulate Matter <= 2.5 Micrometers
npri-25188-2023-5,2023,Air,NA - M08,Emission,Stack Emissions,tonnes,7.86,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,19594928.0,,19594928.0,4.011242092851783e-07,main_id,tonnes/t,Canadian Malartic,Quebec,mining,"Open-pit, concentrator","Au, Ag",Total particulate matter
npri-25188-2023-6,2023,Air,NA - M16,Emission,Stack Emissions,tonnes,0.5,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,19594928.0,,19594928.0,2.551680720643628e-08,main_id,tonnes/t,Canadian Malartic,Quebec,mining,"Open-pit, concentrator","Au, Ag",Volatile Organic Compounds (Total)
npri-24216-2023-1,2023,Air,NA - 02,Emission,Stack Emissions,kg,4.104485,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,kg/t,Meadowbank,Nunavut,mining,Concentrator,Au,Arsenic (and its compounds)
npri-24216-2023-2,2023,Air,NA - 03,Emission,Stack Emissions,kg,0.420661,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,kg/t,Meadowbank,Nunavut,mining,Concentrator,Au,Cadmium (and its compounds)
npri-24216-2023-3,2023,Air,630-08-0,Emission,Stack Emissions,tonnes,565.29706,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Carbon monoxide
npri-24216-2023-4,2023,Air,NA - 04,Emission,Stack Emissions,tonnes,0.000809,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Chromium (and its compounds)
npri-24216-2023-5,2023,Air,NA - 05,Emission,Stack Emissions,kg,0.007625,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,kg/t,Meadowbank,Nunavut,mining,Concentrator,Au,Cobalt (and its compounds)
npri-24216-2023-6,2023,Air,NA - 06,Emission,Stack Emissions,tonnes,0.000166,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Copper (and its compounds)
npri-24216-2023-7,2023,Air,NA - 08,Emission,Stack Emissions,kg,0.806544,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,kg/t,Meadowbank,Nunavut,mining,Concentrator,Au,Lead (and its compounds)
npri-24216-2023-8,2023,Air,NA - 09,Emission,Stack Emissions,tonnes,0.002635,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Manganese (and its compounds)
npri-24216-2023-9,2023,Air,NA - 11,Emission,Stack Emissions,tonnes,0.000482,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Nickel (and its compounds)
npri-24216-2023-10,2023,Air,11104-93-1,Emission,Stack Emissions,tonnes,2137.153436,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Nitrogen oxides (expressed as nitrogen dioxide)
npri-24216-2023-11,2023,Air,NA - M09,Emission,Stack Emissions,tonnes,37.240894,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,PM10 - Particulate Matter <= 10 Micrometers
npri-24216-2023-12,2023,Air,NA - M10,Emission,Stack Emissions,tonnes,35.679527,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,PM2.5 - Particulate Matter <= 2.5 Micrometers
npri-24216-2023-13,2023,Air,NA - 12,Emission,Stack Emissions,kg,0.415012,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,kg/t,Meadowbank,Nunavut,mining,Concentrator,Au,Selenium (and its compounds)
npri-24216-2023-14,2023,Air,NA - M08,Emission,Stack Emissions,tonnes,45.905494,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Total particulate matter
npri-24216-2023-15,2023,Air,NA - M16,Emission,Stack Emissions,tonnes,57.203572,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Volatile Organic Compounds (Total)
npri-24216-2023-16,2023,Air,NA - 14,Emission,Stack Emissions,tonnes,0.000111,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,,,,,,tonnes/t,Meadowbank,Nunavut,mining,Concentrator,Au,Zinc (and its compounds)
npri-8757-2023-1,2023,Air,NA - 02,Emission,Stack Emissions,kg,0.37,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,1.281639466011558e-07,main_id,kg/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Arsenic (and its compounds)
npri-8757-2023-2,2023,Air,NA - 04,Emission,Stack Emissions,tonnes,1e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,3.463890448679885e-13,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Chromium (and its compounds)
npri-8757-2023-3,2023,Air,NA - 05,Emission,Stack Emissions,kg,0.00012,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,4.156668538415863e-11,main_id,kg/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Cobalt (and its compounds)
npri-8757-2023-4,2023,Air,NA - 06,Emission,Stack Emissions,tonnes,3e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,1.039167134603966e-12,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Copper (and its compounds)
npri-8757-2023-5,2023,Air,NA - 08,Emission,Stack Emissions,kg,9.36,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,3.242201459964373e-06,main_id,kg/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Lead (and its compounds)
npri-8757-2023-6,2023,Air,NA - 09,Emission,Stack Emissions,tonnes,3e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,1.039167134603966e-12,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Manganese (and its compounds)
npri-8757-2023-7,2023,Air,NA - 11,Emission,Stack Emissions,tonnes,1e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,3.463890448679885e-13,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Nickel (and its compounds)
npri-8757-2023-8,2023,Air,NA - M08,Emission,Stack Emissions,tonnes,0.019,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,6.581391852491782e-09,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Total particulate matter
npri-8757-2023-9,2023,Air,NA - 40,Emission,Stack Emissions,tonnes,1e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,3.463890448679885e-13,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Vanadium (and its compounds)
npri-8757-2023-10,2023,Air,NA - 14,Emission,Stack Emissions,tonnes,6e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2886927.328724,,2886927.328724,2.078334269207931e-12,main_id,tonnes/t,Goldex,Quebec,mining,"Underground, concentrator","Au, Ag",Zinc (and its compounds)
npri-11454-2023-1,2023,Air,NA - 16,Emission,Stack Emissions,tonnes,0.483,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,1.100207741089001e-06,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Ammonia (total)
npri-26132-2023-1,2023,Air,NA - 01,Emission,Stack Emissions,tonnes,7e-06,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,2.432204894499638e-12,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Antimony (and its compounds)
npri-11454-2023-2,2023,Air,NA - 02,Emission,Stack Emissions,kg,1.8225,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,4.151404985786136e-06,main_id,kg/t,Island,Ontario,mining,"Underground, concentrator",Au,Arsenic (and its compounds)
npri-26132-2023-2,2023,Air,NA - 02,Emission,Stack Emissions,kg,0.032638,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,1.13403290495256e-08,main_id,kg/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Arsenic (and its compounds)
npri-11454-2023-3,2023,Air,NA - 03,Emission,Stack Emissions,kg,0.0138,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,3.143450688825716e-08,main_id,kg/t,Island,Ontario,mining,"Underground, concentrator",Au,Cadmium (and its compounds)
npri-26132-2023-3,2023,Air,NA - 03,Emission,Stack Emissions,kg,0.106318,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,3.694102285334465e-08,main_id,kg/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Cadmium (and its compounds)
npri-26132-2023-4,2023,Air,75-15-0,Emission,Stack Emissions,tonnes,30.228766,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,1.050322180284061e-05,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Carbon disulphide
npri-11454-2023-4,2023,Air,630-08-0,Emission,Stack Emissions,tonnes,96.4102,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,0.0002196092098549457,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Carbon monoxide
npri-26132-2023-5,2023,Air,630-08-0,Emission,Stack Emissions,tonnes,214.673254,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,7.458990558528057e-05,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Carbon monoxide
npri-11454-2023-5,2023,Air,NA - 04,Emission,Stack Emissions,tonnes,0.002,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,4.555725635979299e-09,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Chromium (and its compounds)
npri-26132-2023-6,2023,Air,NA - 04,Emission,Stack Emissions,tonnes,0.000909,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,3.158391784428816e-10,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Chromium (and its compounds)
npri-11454-2023-6,2023,Air,NA - 05,Emission,Stack Emissions,kg,0.3701,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,8.430370289379692e-07,main_id,kg/t,Island,Ontario,mining,"Underground, concentrator",Au,Cobalt (and its compounds)
npri-26132-2023-7,2023,Air,NA - 05,Emission,Stack Emissions,kg,0.096206,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,3.342752915431889e-08,main_id,kg/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Cobalt (and its compounds)
npri-11454-2023-7,2023,Air,NA - 06,Emission,Stack Emissions,tonnes,0.0013,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,2.961221663386544e-09,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Copper (and its compounds)
npri-26132-2023-8,2023,Air,NA - 06,Emission,Stack Emissions,tonnes,0.001595,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,5.541952581038461e-10,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Copper (and its compounds)
npri-11454-2023-8,2023,Air,NA - 08,Emission,Stack Emissions,kg,0.3765,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,8.57615350973103e-07,main_id,kg/t,Island,Ontario,mining,"Underground, concentrator",Au,Lead (and its compounds)
npri-26132-2023-9,2023,Air,NA - 08,Emission,Stack Emissions,kg,0.327258,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,1.137083584805947e-07,main_id,kg/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Lead (and its compounds)
npri-11454-2023-9,2023,Air,NA - 09,Emission,Stack Emissions,tonnes,0.0169,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,3.849588162402507e-08,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Manganese (and its compounds)
npri-26132-2023-10,2023,Air,NA - 09,Emission,Stack Emissions,tonnes,0.009174,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,3.187578243162811e-09,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Manganese (and its compounds)
npri-11454-2023-10,2023,Air,NA - 10,Emission,Stack Emissions,tonnes,1.55e-05,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,3.530687367883957e-11,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Mercury (and its compounds)
npri-11454-2023-11,2023,Air,NA - 11,Emission,Stack Emissions,tonnes,0.0017,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,3.872366790582404e-09,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Nickel (and its compounds)
npri-26132-2023-11,2023,Air,NA - 11,Emission,Stack Emissions,tonnes,0.000378,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,1.313390643029805e-10,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Nickel (and its compounds)
npri-26132-2023-12,2023,Air,NA - 17,Emission,Stack Emissions,tonnes,0.0002,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,6.949156841427538e-11,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Nitrate ion in solution at pH >= 6.0
npri-11454-2023-12,2023,Air,11104-93-1,Emission,Stack Emissions,tonnes,440.1722,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,439008.0,,439008.0,0.001002651887892703,main_id,tonnes/t,Island,Ontario,mining,"Underground, concentrator",Au,Nitrogen oxides (expressed as nitrogen dioxide)
npri-26132-2023-13,2023,Air,11104-93-1,Emission,Stack Emissions,tonnes,33.825137,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,2878047.0,,2878047.0,1.175280910978869e-05,main_id,tonnes/t,Young-Davidson,Ontario,mining,"Underground, concentrator",Au,Nitrogen oxides (expressed as nitrogen dioxide)
