main_id,facility_group_id,facility_name,facility_group_name,province,facility_type,mining_processing_type,archetypes,biosphere_data?,technosphere_data?,land_data?,commodities,Create_LCI?,Main_product,Stream,ore_processed_t,dore_t_mass,concentrate_t_mass,tailings_t_mass,% tailings,Au_t,Ag_t,Cu_t,Ni_t,Co_t,Mo_t,Zn_t,Pb_t,Fe_t,Pt_t,Pd_t,U_t,Nb_t,Cu_conc,Ni_conc,Mo_conc,Zn_conc,Pb_conc,Fe_conc,Pt_conc,Pd_conc,U_conc,Nb_conc,activity_name,site_id
QC-MAIN-089f3c60,,Bloom Lake,,Quebec,mining,Open-pit,Magnetite concentrator,NPRI+GHG+Land,,,Iron,Yes,Fe,Fe concentrate,11187000.0,,,11187000.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,QC-MAIN-089f3c60
BC-MAIN-857b7b89,,Brucejack,,British Columbia,mining,"Underground, concentrator",,NPRI+GHG+Water,Energy,,"Gold, silver",Yes,Au,,166000.0,0.920409693877551,,165999.07959030612,0.9999944553325467,0.9020015,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,"Au, Underground mining and beneficiation at Brucejack",BC-MAIN-857b7b89
QC-MAIN-de3d8b7b,,Canadian Electrolytic Zinc Limited (CEZinc),,Quebec,manufacturing,Refinery,,,,,"Lead, zinc",No,Zn (Pb),,,,,0.0,,,,,,,,752600.0,244600.0,,,,,,0.0,0.0,,,,,,,,,"Zn and Pb, refining at Canadian Electrolytic Zinc Limited (CEZinc)",QC-MAIN-de3d8b7b
QC-MAIN-e7e6a960,,Canadian Malartic,,Quebec,mining,"Open-pit, concentrator",Hybrid free-miling-refactory,NPRI+GHG+Land,Energy,,"Gold, silver",Yes,Au (Ag),Au-Ag dore,17332900.0,29.039084533163262,,17332870.96091547,0.9999983246235088,18.7851143425,9.6731885,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",QC-MAIN-e7e6a960
NL-MAIN-dd723db4,,Carol Lake,,Newfoundland and Labrador,mining,"Open-pit, concentrator",Fe concentrator + pellet plant,NPRI+GHG+Land,Energy,,Iron,No,Fe,"Fe concentrate, Fe pellets",16478000.0,,,16478000.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,NL-MAIN-dd723db4
QC-MAIN-b86f7d07,,Casa Berardi,,Quebec,mining,"Open-pit, underground, concentrator",Free-miling,NPRI+GHG+Land,Energy,,"Gold, silver",Yes,Au,Au-Ag dore,1361450.0,3.5165997959183577,,1361446.483400204,0.999997417012098,2.69356309999999,0.7527047,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,"Au and Ag, Open-pit and underground mining and beneficiation at Casa Berardi",QC-MAIN-b86f7d07
SK-MAIN-91cf5448,,Cigar Lake,,Saskatchewan,mining,Underground,High-grade U acid-leach mills ,NPRI+GHG+Land,,,Uranium,No,U,U ore slurry,43726.856187782,,,43726.856187782,1.0,,,,,,,,,,,,6849.2392,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,"U, Underground mining at Cigar Lake",SK-MAIN-91cf5448
ON-MAIN-f080c409,GRP-dc07540b,Copper Cliff Complex (mine),Sudbury Operation,Ontario,mining,Underground,"Ni-Cu Porphyry sulfide, flotation-based",NPRI+Land,,,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Yes,Ni+Cu,Ni-Cu bulk concentrates,748000.0,,54693.75,693306.25,0.9211117020797086,,,10098.0,8751.0,,,,,,,,,,,54693.75,0.0,0.0,0.0,0.0,,,,0.0,"Cu and Ni, Underground mining at Copper Cliff Complex (mine)",ON-MAIN-f080c409
ON-MAIN-63b394c3,GRP-dc07540b,Copper Cliff Complex (refinery),Sudbury Operation,Ontario,manufacturing,"Smelter, refinery, plant",Cu-Ni smelter and refinery,NPRI+GHG,,,"Nickel (oxide sinter, pellets, powder, sulfide), copper cathodes, gold, silver, selenium cake, tellurium dioxide cake, platinum group metals (in residues), liquid sulfur dioxide, sulfuric acid",No,Ni+Cu,Ni-Cu bulk concentrates,,,,0.0,,,,57900.0,38200.0,,,,,,,,,,,238750.0,,,,,,,,,"Cu and Ni, refining smelting at Copper Cliff Complex (refinery)",ON-MAIN-63b394c3
BC-MAIN-599152a0,,Copper Mountain,,British Columbia,mining,"Open-pit, concentrator","Cu-Au Porphyry sulfide, flotation-based",NPRI+GHG+Land,Energy,,"Copper, gold, silver",Yes,"Cu (Au, Ag)",Cu concentrates with Au and Ag credits,6862152.0,,63500.0,6798652.0,0.9906599131710228,0.275203767999999,6.789334187,19050.0,,,,,,,,,,,63500.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,"Au and Ag and Cu, Open-pit mining and beneficiation at Copper Mountain",BC-MAIN-599152a0
