tCO2eq_estimated,value,difference,ratio
6283.1679065491,70400.0,-64116.8320934509,0.0892495441271179
119997.15761543655,129509.99999999999,-9512.842384563439,0.9265474296613123
40875.43207633776,27340.0,13535.432076337762,1.4950779837724126
102581.64417029532,95700.0,6881.644170295316,1.0719085075265968
23612.499458939594,15908.3,7704.1994589395945,1.484288042024578
74891.21346548651,72492.0,2399.2134654865076,1.03309625152412
374101.62411073374,253810.0,120291.62411073374,1.4739435960392961
63357.174756773464,57797.1544138831,5560.020342890362,1.0961988596025902
27013.283569857984,73557.369225595,-46544.08565573701,0.3672410236289208
11954.403159240683,27322.0,-15367.596840759317,0.43753763118515054
30049.933466104398,28000.0,2049.9334661043977,1.0732119095037285
146455.53884009106,110500.0,35955.53884009106,1.32538949176553
232225.8431097768,138130.0,94095.84310977679,1.6812122139272916
113706.43058039623,124990.0,-11283.569419603766,0.9097242225809764
7015.546929735239,25320.0,-18304.45307026476,0.27707531318069667
20238.818309734826,20110.0,128.81830973482647,1.006405684223512
124842.74883,19250.0,105592.74883,6.485337601558442
10558.860176517977,21630.0,-11071.139823482023,0.4881581218917234
9108.190113087676,26800.0,-17691.809886912324,0.33985784004058495
35578.00105986152,56110.0,-20531.99894013848,0.6340759411844862
291924.3013799793,294610.0,-2685.698620020703,0.9908838850683253
36251.555083860076,12400.0,23851.555083860076,2.9235125067629095
36676.523887664356,36870.0,-193.47611233564385,0.9947524786456294
14662.91350190787,16420.0,-1757.0864980921306,0.8929910780699067
36931.11693861183,37250.0,-318.8830613881728,0.991439380902331
10809.171920431903,4109.0,6700.171920431903,2.630608887912364
30198.711343158313,33410.0,-3211.288656841687,0.9038824107500243
9150.177149098128,14210.0,-5059.822850901872,0.6439252040181652
28000.73411985165,45470.0,-17469.26588014835,0.6158067763327831
181786.2801864825,195810.0,-14023.719813517499,0.9283809825161253
13637.623399832786,18188.0,-4550.376600167214,0.7498143501117652
6679.33873725765,7271.0,-591.6612627423501,0.9186272503448838
