main_id,facility_group_id,substance_name,unit,value,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,Reference product,normalization_key
ON-MAIN-0aadf28f,,PM2.5 - Particulate Matter <= 2.5 Micrometers,tonnes,4.584,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,0.5808150400640605,Au,metal_mass
ON-MAIN-0aadf28f,,Total particulate matter,tonnes,40.55,ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Au,7.89235760749999,1.0,5.1378817352961725,Au,metal_mass
ON-MAIN-1f126a43,,Arsenic (and its compounds),kg,0.31,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.04361136807106985,Au,metal_mass
ON-MAIN-1f126a43,,Chromium (and its compounds),tonnes,0.00234,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.00032919548802033373,Au,metal_mass
ON-MAIN-1f126a43,,Cobalt (and its compounds),kg,0.55,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.07737500786802716,Au,metal_mass
ON-MAIN-1f126a43,,Copper (and its compounds),tonnes,0.00157,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.00022087047700509568,Au,metal_mass
ON-MAIN-1f126a43,,Lead (and its compounds),kg,1.31,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.18429320055839196,Au,metal_mass
ON-MAIN-1f126a43,,Manganese (and its compounds),tonnes,0.03,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.004220454974619663,Au,metal_mass
ON-MAIN-1f126a43,,Nickel (and its compounds),tonnes,0.00133,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.00018710683720813838,Au,metal_mass
ON-MAIN-1f126a43,,Phosphorus (total),tonnes,0.047,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.006612046126904138,Au,metal_mass
ON-MAIN-1f126a43,,PM10 - Particulate Matter <= 10 Micrometers,tonnes,16.363,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,2.301976824990051,Au,metal_mass
ON-MAIN-1f126a43,,PM2.5 - Particulate Matter <= 2.5 Micrometers,tonnes,2.306,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.32441230571576474,Au,metal_mass
ON-MAIN-1f126a43,,Selenium (and its compounds),kg,0.01689,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.00237611615071087,Au,metal_mass
ON-MAIN-1f126a43,,Thallium (and its compounds),kg,0.029,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.004079773142132341,Au,metal_mass
ON-MAIN-1f126a43,,Total particulate matter,tonnes,34.147,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,4.803862533944588,Au,metal_mass
ON-MAIN-1f126a43,,Vanadium (and its compounds),tonnes,0.00436,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.0006133727896447243,Au,metal_mass
ON-MAIN-1f126a43,,Zinc (and its compounds),tonnes,0.00225,ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Au,7.1082383725,1.0,0.0003165341230964747,Au,metal_mass
QC-MAIN-e7e6a960,,Arsenic (and its compounds),kg,4.54,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.14675086518459474,Au,metal_mass
