activity_name,functional_unit,site_id,subflow_type,value_normalized,unit,province
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Diesel,5.57798537e-05,MJ,British Columbia
"Au, Open-pit and underground mining at Porcupine complex",Ore processed,GRP-0d911886,Diesel,0.0002140233145365854,MJ,Ontario
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Diesel,0.00017361787310170017,MJ,Ontario
"Au and Cu, Open-pit mining and beneficiation at Red Chris",Ore processed,BC-MAIN-8eb8be0d,Diesel,0.00119553455514662,MJ,British Columbia
"Au, Underground mining and beneficiation at Red Lake",Ore processed,ON-MAIN-7f050560,Diesel,0.00013305580974910819,MJ,Ontario
"Fe, Open-pit mining and beneficiation at Scully",Ore processed,NL-MAIN-b64bae7a,Diesel,0.00012134831460674156,MJ,Newfoundland and Labrador
"Au, Underground mining and beneficiation at Seabee Gold Operation",Ore processed,GRP-14bfbb82,Diesel,0.0010791393442622951,MJ,Saskatchewan
"Au and Ag and Cu and Zn, Underground mining and beneficiation at Snow Lake",Ore processed,GRP-a13779f8,Diesel,0.00024781133058428305,MJ,Manitoba
"Au and Ag, Underground mining and beneficiation at Timmins Operation",Ore processed,GRP-147b3123,Diesel,0.000244145997458704,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Diesel,0.0002001411992263056,MJ,Quebec
"Au, Underground mining and beneficiation at Young-Davidson",Ore processed,ON-MAIN-7607a50e,Diesel,4.86788436741999e-05,MJ,Ontario
"Au and Ag, Open-pit and underground mining and beneficiation at Casa Berardi",Ore processed,QC-MAIN-b86f7d07,Diesel|Mobile equipment,0.0002780432849491107,MJ,Quebec
"Ag and Zn and Pb, Underground mining and beneficiation at Keno Hill Silver District",Ore processed,YT-MAIN-44857446,Diesel|Mobile equipment,0.0004375020654423374,MJ,Yukon
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,Diesel|Mobile equipment,0.00022856352253467537,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,Diesel|Stationary equipment,2.158825122045182e-07,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Timmins Operation",Ore processed,GRP-147b3123,Dynamite,3.106607369758576e-06,MJ,Ontario
"Au and Ag and Cu, Open-pit mining and beneficiation at Copper Mountain",Ore processed,BC-MAIN-599152a0,Electricity consumption,0.000286790499540086,MJ,British Columbia
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Electricity consumption,0.00033309242355089005,MJ,Ontario
"Au and Ag and Cu and Zn, Underground mining and beneficiation at Snow Lake",Ore processed,GRP-a13779f8,Electricity consumption,0.0004889665717107238,MJ,Manitoba
"Au, Underground mining and beneficiation at Brucejack",Ore processed,BC-MAIN-857b7b89,Electricity consumption|Generated on-site,0.0005194284180457832,MJ,British Columbia
"Au, Underground mining and beneficiation at Eagle River",Ore processed,ON-MAIN-cb85213a,Electricity consumption|Generated on-site,0.0005528809713107574,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Éléonore",Ore processed,QC-MAIN-6dc537e6,Electricity consumption|Generated on-site,2.1258921131848284e-06,MJ,Quebec
"Au, Underground mining and beneficiation at Island",Ore processed,ON-MAIN-687b8c8d,Electricity consumption|Generated on-site,1.6332276404985786e-06,MJ,Ontario
"Au and Ag, Open-pit mining and beneficiation at Kiena",Ore processed,QC-MAIN-9de9bb0d,Electricity consumption|Generated on-site,0.00020122732123799362,MJ,Quebec
"Au and Ag, Open-pit and underground mining at Meadowbank complex",Ore processed,GRP-0a2c0d69,Electricity consumption|Generated on-site,0.00015456902504356462,MJ,Nunavut
"Au and Ag, Open-pit and underground mining and beneficiation at Meliadine",Ore processed,NU-MAIN-8b0264c9,Electricity consumption|Generated on-site,0.00024907201058523796,MJ,Nunavut
"Au, Underground mining and beneficiation at Musselwhite",Ore processed,ON-MAIN-fefeaee4,Electricity consumption|Generated on-site,3.7052376284656905e-06,MJ,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Electricity consumption|Generated on-site,1.840609347471452e-05,MJ,British Columbia
"Au, Open-pit and underground mining at Porcupine complex",Ore processed,GRP-0d911886,Electricity consumption|Generated on-site,3.126948892473899e-05,MJ,Ontario
"Au and Cu, Open-pit mining and beneficiation at Red Chris",Ore processed,BC-MAIN-8eb8be0d,Electricity consumption|Generated on-site,4.853877699736613e-06,MJ,British Columbia
"Au, Underground mining and beneficiation at Seabee Gold Operation",Ore processed,GRP-14bfbb82,Electricity consumption|Generated on-site,1.3360573770491803e-05,MJ,Saskatchewan
"Au, Underground mining and beneficiation at Young-Davidson",Ore processed,ON-MAIN-7607a50e,Electricity consumption|Generated on-site,1.65042474983904e-07,MJ,Ontario
"Au, Underground mining and beneficiation at Brucejack",Ore processed,BC-MAIN-857b7b89,Electricity consumption|Grid electricity,0.00342776858313253,MJ,British Columbia
"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",Ore processed,QC-MAIN-e7e6a960,Electricity consumption|Grid electricity,0.000123924302737933,MJ,Quebec
"Au and Ag, Open-pit mining and beneficiation at Detour Lake",Ore processed,ON-MAIN-aeafbb59,Electricity consumption|Grid electricity,0.00011761232172679124,MJ,Ontario
"Au, Underground mining and beneficiation at Eagle River",Ore processed,ON-MAIN-cb85213a,Electricity consumption|Grid electricity,0.0006234615208397904,MJ,Ontario
