env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id
GHG-10052-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,780520.0,,NL-MAIN-dd723db4,,CMP-2da4630a,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10101-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,170090.0,,NT-MAIN-6c1d6ee6,,CMP-caa580a0,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10240-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,158000.0,,QC-MAIN-a97821c0,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10350-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,110500.0,,NL-MAIN-b64bae7a,,CMP-8a99044e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10381-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,172620.0,,NT-MAIN-0ec39ce0,,CMP-7a096012,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10385-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,184180.0,,BC-MAIN-bf503b6b,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10468-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,36870.0,,ON-MAIN-fefeaee4,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10569-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,18830.0,,MB-MAIN-e0a6250e,,CMP-9617aef4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10570-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,173790.0,,NL-MAIN-2d8801d6,,CMP-9617aef4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10613-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,49470.0,,BC-MAIN-3f490561,,CMP-0dfcd91e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10617-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,25320.0,,ON-MAIN-1f126a43,,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
