env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id,site_id
GHG-10091-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,23770.1698,,ON-MAIN-4c35e094,,CMP-3775c12e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-4c35e094
GHG-10103-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,771.0,,QC-MAIN-5398dfac,,CMP-89ae3b2b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-5398dfac
GHG-10103-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,112551.0,,QC-MAIN-5398dfac,,CMP-89ae3b2b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-5398dfac
GHG-10103-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,297.8,,QC-MAIN-5398dfac,,CMP-89ae3b2b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-5398dfac
GHG-10119-2023-1,2023,Air,124-38-9,Emission,Flaring / Torchage,tonnes,785.8346,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-d3a4aba9
GHG-10119-2023-2,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,211002.4599,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-d3a4aba9
GHG-10119-2023-3,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,83198.1936,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-d3a4aba9
GHG-10119-2023-4,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,1772.9661,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-d3a4aba9
GHG-10119-2023-5,2023,Air,124-38-9,Emission,Venting / Évacuation,tonnes,601.1804,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-d3a4aba9
GHG-10128-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,55929.09877,,ON-MAIN-21b6ab35,,CMP-a70130b4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-21b6ab35
