Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
LaRonde (Doré),0.044063121749247536,0.013540992987077654,4.4452642824619354e-05,0.0016453079606386235,0.000989650072853943,0.0003018372985324723,2.1874829765021735e-05,1.2631520318388868e-07,0.004872152351360565,8.208261237656724e-05,0.0365301177603623
Macassa,0.14658497293576628,0.0512765567097788,0.00022725976621220311,0.003820610157999676,0.006025242106671843,0.0022333143937189855,0.00030330207216972856,3.9703200188255376e-07,0.02909151906929072,0.00017479003627542561,0.03826065835509107
Musselwhite,0.07100334875558696,0.022610451142802093,0.00020522494754123498,0.0017688430893681598,0.00522790134787319,0.0015104347875912233,0.0006785958862680967,2.905908310268969e-07,0.018834069868495115,0.0003383618111450783,0.0316918491077689
Red Lake,0.08173426169828887,0.02373174050209747,0.010176742817949348,0.005936824263424383,0.27618340738001945,0.08876272473833793,0.0006395716710898066,2.508563194397127e-07,0.045831672090920185,9.580502873605666e-05,0.05895264476311901
Seabee Gold Operation,0.3284744443998212,0.09925692084312743,0.00017491684719786276,0.0019362545945816093,0.004623147648866962,0.0007739786378940098,5.7114396633420874e-06,5.096603012428711e-07,0.0139660370651391,0.000184174749064902,0.021036572484395055
Snow Lake (Doré),0.06764978269830486,0.02128695656118713,0.00010855398390661234,0.0012278743029565733,0.0024711962506527825,0.0005259026142250014,1.947634857320447e-05,1.3926153375234202e-07,0.010186322583494728,1.3493839842342246e-05,0.10773539682274347
Timmins Operation,0.21137467228066179,0.06572743667051187,0.05391650169519701,0.007825536865883748,0.847696884099686,0.00256944081345221,0.001326800359301052,5.663675111242202e-07,0.016909875657821587,0.00019528702804624498,0.07720664294917778
Westwood-Doyon,0.06774300659104503,0.021460267746437625,3.812517238011035e-05,0.0011370503186598673,0.0011658820060567205,0.0005286419362221562,2.1821943112269223e-05,2.2025415849958691e-07,0.009000770095632065,1.915145491054494e-05,0.028559994410873202
Nunavik Nickel,5.897118742215928e-06,1.8760095966076525e-06,8.738338385113812e-09,1.2931328472926454e-06,2.661928304960419e-07,5.1948865388599854e-08,1.0202160466425998e-09,1.1462677843217749e-11,1.4725855534955197e-06,2.1879802861389862e-08,1.5864481694600747e-06
Thompson,5.835275063845403e-06,1.5598457285185724e-06,3.963219480518428e-07,1.1383576826942612e-06,1.7888079563201257e-06,5.180364008625233e-08,5.332324694220071e-10,1.1238556464647511e-11,9.9737514223361e-07,8.557047616976329e-09,1.8662626970689577e-06
Voisey's Bay,1.6804089844957094e-05,5.311952708935337e-06,4.4871183060462615e-08,7.387174377104861e-07,9.834668560810772e-07,3.1211374652365063e-07,5.14095519824622e-10,4.344926664305816e-11,5.2686513080841655e-06,1.7776150010480748e-07,6.377460902240971e-06
Raglan,8.879470223802034e-06,2.7860150587206055e-06,1.5329344774858125e-08,7.234354641898164e-07,1.7930350476219548e-07,4.370059604411328e-08,1.834253026345839e-09,2.5144451815007255e-11,2.757019445860705e-06,7.83487065367269e-08,2.6677311511605914e-06
Gibraltar (Mo),3.874009725799914e-05,1.149812485745346e-05,3.147359899145964e-08,3.5394822562396084e-06,9.406977631914492e-07,2.482777434394536e-07,4.073829945055375e-09,1.1780226778222908e-10,7.234339754406159e-06,3.516674649771408e-08,2.0849792727572255e-05
Highland Valley (Mo),2.4526810124928176e-05,6.293629225667788e-06,1.1870533848515314e-08,1.144655645729483e-06,3.3572400162200705e-07,8.939015919343068e-08,1.4373300737683064e-09,6.671870370755733e-11,2.215711575110596e-05,1.5673001895091318e-08,1.5798852588422307e-05
Kidd Creek (Zn),8.492179334912326e-07,2.1689820936323351e-07,6.630771375914716e-10,2.4778890803421105e-08,1.4033174486224233e-08,1.6112567070237474e-09,1.5259123774973692e-11,2.725203233757244e-13,1.8284447133986263e-07,3.140286528332561e-09,4.3430832889799124e-08
LaRonde (Zn),2.1943574434340366e-06,6.743457463229071e-07,2.2137557043727008e-09,8.19368579689971e-08,4.928488767474875e-08,1.5031593431515957e-08,1.089373481619223e-09,6.2905372709362895e-12,2.426347361948908e-07,4.0877402435795406e-09,1.8192114706298704e-06
Snow Lake (Zn),3.368980549857818e-06,1.060097161762618e-06,5.406022647788462e-09,6.114852865130441e-08,1.230663533386384e-07,2.619011638968305e-08,9.69928312404723e-10,6.935268365202183e-12,5.072820873098747e-07,6.719974875685815e-10,5.365256795618204e-06
Key Lake + McArthur River,0.0001492831663543516,4.5980055070334005e-05,1.8428721289568415e-07,6.311991185002988e-07,2.664642905054613e-06,3.6296403690992e-07,2.435422018089073e-09,2.705296058611193e-10,7.20854250344925e-06,1.0229111715373542e-07,0.00021537939368756792
Cigar Lake + McClean Lake,8.177357519021413e-05,2.5281854153865415e-05,2.186500587542899e-07,2.9099094832801736e-07,3.937796021790823e-06,2.0201851686637015e-07,1.3408364568563229e-09,1.4894909271754134e-10,6.630832846481492e-06,5.855009739846305e-08,7.288583397857323e-05
Market for Doré,0.10010700359794922,0.031776897526824326,0.003464069282818673,0.0048660736324106,0.0826699842335471,0.02173260093182485,0.00033585571972335576,3.1247740383376535e-07,0.022773958663832847,0.00029547890982497556,0.054169664177953436
Market for Cu concentrate,7.947632071588852e-06,2.2727581265016705e-06,2.0077146469197426e-08,5.019533538972676e-07,5.133199076806845e-07,1.4363049339962875e-07,7.372376935932826e-10,2.362150097032887e-11,3.564219490792735e-06,1.2864861583978559e-08,5.502416410501948e-06
Market for Ni concentrate,5.7042084958871725e-06,1.788975458989748e-06,3.16942989037446e-08,7.664742970182022e-07,3.242244210619514e-07,5.97373357369428e-08,7.88776187113376e-10,1.3393791773324968e-11,1.5886853892567623e-06,3.870680810474677e-08,1.7691678612024664e-06
Market for U concentrate,0.0001107062598421645,3.415251253107484e-05,2.0392313118486813e-07,4.3679445995105755e-07,3.392159083696068e-06,2.709951750194477e-07,1.8099445991477114e-09,2.0105503187858713e-10,6.878422899541475e-06,7.729625065330637e-08,0.000133954505204116
Market for Mo concentrate,2.988886356757272e-05,8.25705847735105e-06,1.926591550456712e-08,2.0481192957069897e-06,5.639542210330581e-07,1.4933151618730683e-07,2.4319665064956173e-09,8.599030485405186e-11,1.6527403098588166e-05,2.3027141678373315e-08,1.7704352048763953e-05
Market for Zn concentrate,2.022155872606053e-06,6.111832943159198e-07,2.7942625377143283e-09,4.5038055728088124e-08,6.300853517205169e-08,1.3189196477737805e-08,5.174806917117093e-10,3.6364951535608265e-12,3.220568083980339e-07,2.1387045285385437e-09,2.4494846472035165e-06
